row_index,source_scenario_id,expert_move,legal_move_signature,sample_weight,split
108,NB48_LOSS_118,Ascension,ascension,1.6335,Training
109,NB48_LOSS_118,Quick Attack,ascension | quick attack,1.8785,Training
110,NB48_LOSS_122,Ascension,ascension,1.6335,Training
111,NB48_LOSS_122,Bind Down,bind down,0.99,Training
112,NB48_LOSS_122,Bind Down,bind down,0.99,Training
113,NB48_LOSS_122,Quick Attack,ascension | quick attack,1.8785,Training
114,NB48_LOSS_122,Ascension,ascension,1.6335,Training
115,NB48_LOSS_122,Quick Attack,ascension | quick attack,1.8785,Training
116,NB48_LOSS_122,Ascension,ascension,1.6335,Training
117,NB48_LOSS_122,Pass,pass,1.6335,Training
118,NB48_LOSS_122,Ascension,ascension,1.6335,Training
119,NB48_LOSS_122,Quick Attack,ascension | quick attack,1.8785,Training
120,NB48_LOSS_123,Ascension,ascension,1.21,Training
121,NB48_LOSS_123,Live Coal,live coal,1.3365,Training
122,NB48_LOSS_123,Live Coal,live coal,1.3365,Training
123,NB48_LOSS_123,Quick Attack,ascension | quick attack,1.3915,Training
124,NB48_LOSS_123,Ascension,ascension,1.21,Training
125,NB48_LOSS_123,Quick Attack,ascension | quick attack,1.3915,Training
126,NB48_LOSS_123,Ascension,ascension,1.21,Training
127,NB48_LOSS_123,Pass,pass,1.21,Training
128,NB48_LOSS_123,Quick Attack,ascension | quick attack,1.3915,Training
129,NB48_LOSS_123,Ascension,ascension,1.21,Training
130,NB48_LOSS_126,Ascension,ascension,1.6335,Training
131,NB48_LOSS_126,Live Coal,live coal,0.99,Training
132,NB48_LOSS_126,Live Coal,live coal,0.99,Training
133,NB48_LOSS_126,Quick Attack,ascension | quick attack,1.8785,Training
134,NB48_LOSS_126,Ascension,ascension,1.6335,Training
135,NB48_LOSS_126,Quick Attack,ascension | quick attack,1.8785,Training
136,NB48_LOSS_126,Ascension,ascension,1.6335,Training
137,NB48_LOSS_126,Pass,pass,1.6335,Training
138,NB48_LOSS_126,Ascension,ascension,1.6335,Training
139,NB48_LOSS_126,Quick Attack,ascension | quick attack,1.8785,Training
140,NB48_LOSS_128,Ascension,ascension,1.6335,Training
141,NB48_LOSS_128,Bind Down,bind down,0.99,Training
142,NB48_LOSS_128,Bind Down,bind down,0.99,Training
143,NB48_LOSS_128,Quick Attack,ascension | quick attack,1.8785,Training
144,NB48_LOSS_128,Ascension,ascension,1.6335,Training
145,NB48_LOSS_128,Quick Attack,ascension | quick attack,1.8785,Training
146,NB48_LOSS_128,Ascension,ascension,1.6335,Training
147,NB48_LOSS_128,Pass,pass,1.6335,Training
148,NB48_LOSS_128,Ascension,ascension,1.6335,Training
149,NB48_LOSS_128,Quick Attack,ascension | quick attack,1.8785,Training
150,NB48_LOSS_130,Ascension,ascension,1.6335,Training
151,NB48_LOSS_130,Pass,pass,0.99,Training
152,NB48_LOSS_130,Tuck Tail,tuck tail,0.99,Training
153,NB48_LOSS_130,Quick Attack,ascension | quick attack,1.8785,Training
154,NB48_LOSS_130,Ascension,ascension,1.6335,Training
155,NB48_LOSS_130,Quick Attack,ascension | quick attack,1.8785,Training
156,NB48_LOSS_130,Ascension,ascension,1.6335,Training
157,NB48_LOSS_130,Pass,pass,1.6335,Training
158,NB48_LOSS_130,Ascension,ascension,1.6335,Training
159,NB48_LOSS_130,Quick Attack,ascension | quick attack,1.8785,Training
160,NB48_LOSS_134,Ascension,ascension,1.6335,Training
161,NB48_LOSS_134,Bind Down,bind down,0.99,Training
162,NB48_LOSS_134,Bind Down,bind down,0.99,Training
163,NB48_LOSS_134,Quick Attack,ascension | quick attack,1.8785,Training
164,NB48_LOSS_134,Ascension,ascension,1.6335,Training
165,NB48_LOSS_134,Quick Attack,ascension | quick attack,1.8785,Training
166,NB48_LOSS_134,Ascension,ascension,1.6335,Training
167,NB48_LOSS_134,Pass,pass,1.6335,Training
168,NB48_LOSS_134,Ascension,ascension,1.6335,Training
169,NB48_LOSS_134,Quick Attack,ascension | quick attack,1.8785,Training
170,NB48_LOSS_135,Ascension,ascension,1.21,Training
171,NB48_LOSS_135,Live Coal,live coal,1.3365,Training
172,NB48_LOSS_135,Live Coal,live coal,1.3365,Training
173,NB48_LOSS_135,Quick Attack,ascension | quick attack,1.3915,Training
174,NB48_LOSS_135,Ascension,ascension,1.21,Training
175,NB48_LOSS_135,Quick Attack,ascension | quick attack,1.3915,Training
176,NB48_LOSS_135,Ascension,ascension,1.21,Training
177,NB48_LOSS_135,Pass,pass,1.21,Training
178,NB48_LOSS_135,Quick Attack,ascension | quick attack,1.3915,Training
179,NB48_LOSS_135,Ascension,ascension,1.21,Training
180,NB48_LOSS_138,Ascension,ascension,1.6335,Training
181,NB48_LOSS_138,Live Coal,live coal,0.99,Training
182,NB48_LOSS_138,Live Coal,live coal,0.99,Training
183,NB48_LOSS_138,Quick Attack,ascension | quick attack,1.8785,Training
184,NB48_LOSS_138,Ascension,ascension,1.6335,Training
185,NB48_LOSS_138,Quick Attack,ascension | quick attack,1.8785,Training
186,NB48_LOSS_138,Ascension,ascension,1.6335,Training
187,NB48_LOSS_138,Pass,pass,1.6335,Training
188,NB48_LOSS_138,Ascension,ascension,1.6335,Training
189,NB48_LOSS_138,Quick Attack,ascension | quick attack,1.8785,Training
190,NB48_LOSS_140,Ascension,ascension,1.6335,Test
191,NB48_LOSS_140,Bind Down,bind down,0.99,Test
192,NB48_LOSS_140,Bind Down,bind down,0.99,Test
193,NB48_LOSS_140,Quick Attack,ascension | quick attack,1.8785,Test
194,NB48_LOSS_140,Ascension,ascension,1.6335,Test
195,NB48_LOSS_140,Quick Attack,ascension | quick attack,1.8785,Test
196,NB48_LOSS_140,Ascension,ascension,1.6335,Test
197,NB48_LOSS_140,Pass,pass,1.6335,Test
198,NB48_LOSS_140,Ascension,ascension,1.6335,Test
199,NB48_LOSS_140,Quick Attack,ascension | quick attack,1.8785,Test
200,NB48_LOSS_142,Ascension,ascension,1.6335,Training
201,NB48_LOSS_142,Pass,pass,0.99,Training
202,NB48_LOSS_142,Tuck Tail,tuck tail,0.99,Training
203,NB48_LOSS_142,Quick Attack,ascension | quick attack,1.8785,Training
204,NB48_LOSS_142,Ascension,ascension,1.6335,Training
205,NB48_LOSS_142,Quick Attack,ascension | quick attack,1.8785,Training
206,NB48_LOSS_142,Ascension,ascension,1.6335,Training
207,NB48_LOSS_142,Pass,pass,1.6335,Training
208,NB48_LOSS_142,Ascension,ascension,1.6335,Training
209,NB48_LOSS_142,Quick Attack,ascension | quick attack,1.8785,Training
210,NB48_LOSS_146,Ascension,ascension,1.6335,Training
211,NB48_LOSS_146,Bind Down,bind down,0.99,Training
212,NB48_LOSS_146,Bind Down,bind down,0.99,Training
213,NB48_LOSS_146,Quick Attack,ascension | quick attack,1.8785,Training
214,NB48_LOSS_146,Ascension,ascension,1.6335,Training
215,NB48_LOSS_146,Quick Attack,ascension | quick attack,1.8785,Training
216,NB48_LOSS_146,Ascension,ascension,1.6335,Training
217,NB48_LOSS_146,Pass,pass,1.6335,Training
218,NB48_LOSS_146,Ascension,ascension,1.6335,Training
219,NB48_LOSS_146,Quick Attack,ascension | quick attack,1.8785,Training
220,NB48_LOSS_147,Ascension,ascension,1.21,Training
221,NB48_LOSS_147,Live Coal,live coal,1.3365,Training
222,NB48_LOSS_147,Live Coal,live coal,1.3365,Training
223,NB48_LOSS_147,Quick Attack,ascension | quick attack,1.3915,Training
224,NB48_LOSS_147,Ascension,ascension,1.21,Training
225,NB48_LOSS_147,Quick Attack,ascension | quick attack,1.3915,Training
226,NB48_LOSS_147,Ascension,ascension,1.21,Training
227,NB48_LOSS_147,Pass,pass,1.21,Training
228,NB48_LOSS_147,Quick Attack,ascension | quick attack,1.3915,Training
229,NB48_LOSS_147,Ascension,ascension,1.21,Training
230,NB48_LOSS_150,Ascension,ascension,1.6335,Training
231,NB48_LOSS_150,Live Coal,live coal,0.99,Training
232,NB48_LOSS_150,Live Coal,live coal,0.99,Training
233,NB48_LOSS_150,Quick Attack,ascension | quick attack,1.8785,Training
234,NB48_LOSS_150,Ascension,ascension,1.6335,Training
235,NB48_LOSS_150,Quick Attack,ascension | quick attack,1.8785,Training
236,NB48_LOSS_150,Ascension,ascension,1.6335,Training
237,NB48_LOSS_150,Pass,pass,1.6335,Training
238,NB48_LOSS_150,Ascension,ascension,1.6335,Training
239,NB48_LOSS_150,Quick Attack,ascension | quick attack,1.8785,Training
240,NB48_LOSS_152,Ascension,ascension,1.6335,Training
241,NB48_LOSS_152,Bind Down,bind down,0.99,Training
242,NB48_LOSS_152,Bind Down,bind down,0.99,Training
243,NB48_LOSS_152,Quick Attack,ascension | quick attack,1.8785,Training
244,NB48_LOSS_152,Ascension,ascension,1.6335,Training
245,NB48_LOSS_152,Quick Attack,ascension | quick attack,1.8785,Training
246,NB48_LOSS_152,Ascension,ascension,1.6335,Training
247,NB48_LOSS_152,Pass,pass,1.6335,Training
248,NB48_LOSS_152,Ascension,ascension,1.6335,Training
249,NB48_LOSS_152,Quick Attack,ascension | quick attack,1.8785,Training
250,NB48_LOSS_154,Ascension,ascension,1.6335,Training
251,NB48_LOSS_154,Pass,pass,0.99,Training
252,NB48_LOSS_154,Tuck Tail,tuck tail,0.99,Training
253,NB48_LOSS_154,Quick Attack,ascension | quick attack,1.8785,Training
254,NB48_LOSS_154,Ascension,ascension,1.6335,Training
255,NB48_LOSS_154,Quick Attack,ascension | quick attack,1.8785,Training
256,NB48_LOSS_154,Ascension,ascension,1.6335,Training
257,NB48_LOSS_154,Pass,pass,1.6335,Training
258,NB48_LOSS_154,Ascension,ascension,1.6335,Training
259,NB48_LOSS_154,Quick Attack,ascension | quick attack,1.8785,Training
260,NB48_LOSS_158,Ascension,ascension,1.6335,Training
261,NB48_LOSS_158,Bind Down,bind down,0.99,Training
262,NB48_LOSS_158,Bind Down,bind down,0.99,Training
263,NB48_LOSS_158,Quick Attack,ascension | quick attack,1.8785,Training
264,NB48_LOSS_158,Ascension,ascension,1.6335,Training
265,NB48_LOSS_158,Quick Attack,ascension | quick attack,1.8785,Training
266,NB48_LOSS_158,Ascension,ascension,1.6335,Training
267,NB48_LOSS_158,Pass,pass,1.6335,Training
268,NB48_LOSS_158,Ascension,ascension,1.6335,Training
269,NB48_LOSS_158,Quick Attack,ascension | quick attack,1.8785,Training
270,NB48_LOSS_159,Ascension,ascension,1.21,Training
271,NB48_LOSS_159,Live Coal,live coal,1.3365,Training
272,NB48_LOSS_159,Live Coal,live coal,1.3365,Training
273,NB48_LOSS_159,Quick Attack,ascension | quick attack,1.3915,Training
274,NB48_LOSS_159,Ascension,ascension,1.21,Training
275,NB48_LOSS_159,Quick Attack,ascension | quick attack,1.3915,Training
276,NB48_LOSS_159,Ascension,ascension,1.21,Training
277,NB48_LOSS_159,Pass,pass,1.21,Training
278,NB48_LOSS_159,Quick Attack,ascension | quick attack,1.3915,Training
279,NB48_LOSS_159,Ascension,ascension,1.21,Training
280,NB48_LOSS_162,Ascension,ascension,1.6335,Validation
281,NB48_LOSS_162,Live Coal,live coal,0.99,Validation
282,NB48_LOSS_162,Live Coal,live coal,0.99,Validation
283,NB48_LOSS_162,Quick Attack,ascension | quick attack,1.8785,Validation
284,NB48_LOSS_162,Ascension,ascension,1.6335,Validation
285,NB48_LOSS_162,Quick Attack,ascension | quick attack,1.8785,Validation
286,NB48_LOSS_162,Ascension,ascension,1.6335,Validation
287,NB48_LOSS_162,Pass,pass,1.6335,Validation
288,NB48_LOSS_162,Ascension,ascension,1.6335,Validation
289,NB48_LOSS_162,Quick Attack,ascension | quick attack,1.8785,Validation
290,NB48_LOSS_164,Ascension,ascension,1.6335,Training
291,NB48_LOSS_164,Bind Down,bind down,0.99,Training
292,NB48_LOSS_164,Bind Down,bind down,0.99,Training
293,NB48_LOSS_164,Quick Attack,ascension | quick attack,1.8785,Training
294,NB48_LOSS_164,Ascension,ascension,1.6335,Training
295,NB48_LOSS_164,Quick Attack,ascension | quick attack,1.8785,Training
296,NB48_LOSS_164,Ascension,ascension,1.6335,Training
297,NB48_LOSS_164,Pass,pass,1.6335,Training
298,NB48_LOSS_164,Ascension,ascension,1.6335,Training
299,NB48_LOSS_164,Quick Attack,ascension | quick attack,1.8785,Training
300,NB48_LOSS_166,Ascension,ascension,1.6335,Validation
301,NB48_LOSS_166,Pass,pass,0.99,Validation
302,NB48_LOSS_166,Tuck Tail,tuck tail,0.99,Validation
303,NB48_LOSS_166,Quick Attack,ascension | quick attack,1.8785,Validation
304,NB48_LOSS_166,Ascension,ascension,1.6335,Validation
305,NB48_LOSS_166,Quick Attack,ascension | quick attack,1.8785,Validation
306,NB48_LOSS_166,Ascension,ascension,1.6335,Validation
307,NB48_LOSS_166,Pass,pass,1.6335,Validation
308,NB48_LOSS_166,Ascension,ascension,1.6335,Validation
309,NB48_LOSS_166,Quick Attack,ascension | quick attack,1.8785,Validation
310,NB48_LOSS_170,Ascension,ascension,1.6335,Training
311,NB48_LOSS_170,Bind Down,bind down,0.99,Training
312,NB48_LOSS_170,Bind Down,bind down,0.99,Training
313,NB48_LOSS_170,Quick Attack,ascension | quick attack,1.8785,Training
314,NB48_LOSS_170,Ascension,ascension,1.6335,Training
315,NB48_LOSS_170,Quick Attack,ascension | quick attack,1.8785,Training
316,NB48_LOSS_170,Ascension,ascension,1.6335,Training
317,NB48_LOSS_170,Pass,pass,1.6335,Training
318,NB48_LOSS_170,Ascension,ascension,1.6335,Training
319,NB48_LOSS_170,Quick Attack,ascension | quick attack,1.8785,Training
320,NB48_LOSS_171,Ascension,ascension,1.21,Validation
321,NB48_LOSS_171,Live Coal,live coal,1.3365,Validation
322,NB48_LOSS_171,Live Coal,live coal,1.3365,Validation
323,NB48_LOSS_171,Quick Attack,ascension | quick attack,1.3915,Validation
324,NB48_LOSS_171,Ascension,ascension,1.21,Validation
325,NB48_LOSS_171,Quick Attack,ascension | quick attack,1.3915,Validation
326,NB48_LOSS_171,Ascension,ascension,1.21,Validation
327,NB48_LOSS_171,Pass,pass,1.21,Validation
328,NB48_LOSS_171,Quick Attack,ascension | quick attack,1.3915,Validation
329,NB48_LOSS_171,Ascension,ascension,1.21,Validation
330,NB48_LOSS_174,Ascension,ascension,1.6335,Training
331,NB48_LOSS_174,Live Coal,live coal,0.99,Training
332,NB48_LOSS_174,Live Coal,live coal,0.99,Training
333,NB48_LOSS_174,Quick Attack,ascension | quick attack,1.8785,Training
334,NB48_LOSS_174,Ascension,ascension,1.6335,Training
335,NB48_LOSS_174,Quick Attack,ascension | quick attack,1.8785,Training
336,NB48_LOSS_174,Ascension,ascension,1.6335,Training
337,NB48_LOSS_174,Pass,pass,1.6335,Training
338,NB48_LOSS_174,Ascension,ascension,1.6335,Training
339,NB48_LOSS_174,Quick Attack,ascension | quick attack,1.8785,Training
340,NB48_LOSS_176,Ascension,ascension,1.6335,Validation
341,NB48_LOSS_176,Bind Down,bind down,0.99,Validation
342,NB48_LOSS_176,Bind Down,bind down,0.99,Validation
343,NB48_LOSS_176,Quick Attack,ascension | quick attack,1.8785,Validation
344,NB48_LOSS_176,Ascension,ascension,1.6335,Validation
345,NB48_LOSS_176,Quick Attack,ascension | quick attack,1.8785,Validation
346,NB48_LOSS_176,Ascension,ascension,1.6335,Validation
347,NB48_LOSS_176,Pass,pass,1.6335,Validation
348,NB48_LOSS_176,Ascension,ascension,1.6335,Validation
349,NB48_LOSS_176,Quick Attack,ascension | quick attack,1.8785,Validation
350,NB48_LOSS_178,Ascension,ascension,1.6335,Training
351,NB48_LOSS_178,Pass,pass,0.99,Training
352,NB48_LOSS_178,Tuck Tail,tuck tail,0.99,Training
353,NB48_LOSS_178,Quick Attack,ascension | quick attack,1.8785,Training
354,NB48_LOSS_178,Ascension,ascension,1.6335,Training
355,NB48_LOSS_178,Quick Attack,ascension | quick attack,1.8785,Training
356,NB48_LOSS_178,Ascension,ascension,1.6335,Training
357,NB48_LOSS_178,Pass,pass,1.6335,Training
358,NB48_LOSS_178,Ascension,ascension,1.6335,Training
359,NB48_LOSS_178,Quick Attack,ascension | quick attack,1.8785,Training
360,NB48_LOSS_182,Ascension,ascension,1.6335,Training
361,NB48_LOSS_182,Bind Down,bind down,0.99,Training
362,NB48_LOSS_182,Bind Down,bind down,0.99,Training
363,NB48_LOSS_182,Quick Attack,ascension | quick attack,1.8785,Training
364,NB48_LOSS_182,Ascension,ascension,1.6335,Training
365,NB48_LOSS_182,Quick Attack,ascension | quick attack,1.8785,Training
366,NB48_LOSS_182,Ascension,ascension,1.6335,Training
367,NB48_LOSS_182,Pass,pass,1.6335,Training
368,NB48_LOSS_182,Ascension,ascension,1.6335,Training
369,NB48_LOSS_182,Quick Attack,ascension | quick attack,1.8785,Training
370,NB48_LOSS_183,Ascension,ascension,1.21,Training
371,NB48_LOSS_183,Live Coal,live coal,1.3365,Training
372,NB48_LOSS_183,Live Coal,live coal,1.3365,Training
373,NB48_LOSS_183,Quick Attack,ascension | quick attack,1.3915,Training
374,NB48_LOSS_183,Ascension,ascension,1.21,Training
375,NB48_LOSS_183,Quick Attack,ascension | quick attack,1.3915,Training
376,NB48_LOSS_183,Ascension,ascension,1.21,Training
377,NB48_LOSS_183,Pass,pass,1.21,Training
378,NB48_LOSS_183,Quick Attack,ascension | quick attack,1.3915,Training
379,NB48_LOSS_183,Ascension,ascension,1.21,Training
380,NB48_LOSS_186,Ascension,ascension,1.6335,Training
381,NB48_LOSS_186,Live Coal,live coal,0.99,Training
382,NB48_LOSS_186,Live Coal,live coal,0.99,Training
383,NB48_LOSS_186,Quick Attack,ascension | quick attack,1.8785,Training
384,NB48_LOSS_186,Ascension,ascension,1.6335,Training
385,NB48_LOSS_186,Quick Attack,ascension | quick attack,1.8785,Training
386,NB48_LOSS_186,Ascension,ascension,1.6335,Training
387,NB48_LOSS_186,Pass,pass,1.6335,Training
388,NB48_LOSS_186,Ascension,ascension,1.6335,Training
389,NB48_LOSS_186,Quick Attack,ascension | quick attack,1.8785,Training
390,NB48_LOSS_188,Ascension,ascension,1.6335,Training
391,NB48_LOSS_188,Bind Down,bind down,0.99,Training
392,NB48_LOSS_188,Bind Down,bind down,0.99,Training
393,NB48_LOSS_188,Quick Attack,ascension | quick attack,1.8785,Training
394,NB48_LOSS_188,Ascension,ascension,1.6335,Training
395,NB48_LOSS_188,Quick Attack,ascension | quick attack,1.8785,Training
396,NB48_LOSS_188,Ascension,ascension,1.6335,Training
397,NB48_LOSS_188,Pass,pass,1.6335,Training
398,NB48_LOSS_188,Ascension,ascension,1.6335,Training
399,NB48_LOSS_188,Quick Attack,ascension | quick attack,1.8785,Training
400,NB48_LOSS_190,Ascension,ascension,1.6335,Training
401,NB48_LOSS_190,Pass,pass,0.99,Training
402,NB48_LOSS_190,Tuck Tail,tuck tail,0.99,Training
403,NB48_LOSS_190,Quick Attack,ascension | quick attack,1.8785,Training
404,NB48_LOSS_190,Ascension,ascension,1.6335,Training
405,NB48_LOSS_190,Quick Attack,ascension | quick attack,1.8785,Training
406,NB48_LOSS_190,Ascension,ascension,1.6335,Training
407,NB48_LOSS_190,Pass,pass,1.6335,Training
408,NB48_LOSS_190,Ascension,ascension,1.6335,Training
409,NB48_LOSS_190,Quick Attack,ascension | quick attack,1.8785,Training
410,NB48_LOSS_194,Ascension,ascension,1.6335,Training
411,NB48_LOSS_194,Bind Down,bind down,0.99,Training
412,NB48_LOSS_194,Bind Down,bind down,0.99,Training
413,NB48_LOSS_194,Quick Attack,ascension | quick attack,1.8785,Training
414,NB48_LOSS_194,Ascension,ascension,1.6335,Training
415,NB48_LOSS_194,Quick Attack,ascension | quick attack,1.8785,Training
416,NB48_LOSS_194,Ascension,ascension,1.6335,Training
417,NB48_LOSS_194,Pass,pass,1.6335,Training
418,NB48_LOSS_194,Ascension,ascension,1.6335,Training
419,NB48_LOSS_194,Quick Attack,ascension | quick attack,1.8785,Training
420,NB48_LOSS_195,Ascension,ascension,1.21,Training
421,NB48_LOSS_195,Live Coal,live coal,1.3365,Training
422,NB48_LOSS_195,Live Coal,live coal,1.3365,Training
423,NB48_LOSS_195,Quick Attack,ascension | quick attack,1.3915,Training
424,NB48_LOSS_195,Ascension,ascension,1.21,Training
425,NB48_LOSS_195,Quick Attack,ascension | quick attack,1.3915,Training
426,NB48_LOSS_195,Ascension,ascension,1.21,Training
427,NB48_LOSS_195,Pass,pass,1.21,Training
428,NB48_LOSS_195,Quick Attack,ascension | quick attack,1.3915,Training
429,NB48_LOSS_195,Ascension,ascension,1.21,Training
430,NB48_LOSS_198,Ascension,ascension,1.6335,Training
431,NB48_LOSS_198,Live Coal,live coal,0.99,Training
432,NB48_LOSS_198,Live Coal,live coal,0.99,Training
433,NB48_LOSS_198,Quick Attack,ascension | quick attack,1.8785,Training
434,NB48_LOSS_198,Ascension,ascension,1.6335,Training
