scenario_id,condition_id,turn_sequence,turn_number,acting_side,pokemon_name,move_name,damage,score,search_depth,nodes,player_hp_after,opponent_hp_after,next_side
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,30.0,Opponent
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,30.0,Player
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,20.0,Opponent
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,20.0,Player
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,10.0,Opponent
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,10.0,Player
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,0.0,Opponent
T52_S002__BASELINE,BASELINE,1,1,Opponent,Eevee,Quick Attack,20.0,0.852,0,1,60.0,50.0,Player
T52_S002__BASELINE,BASELINE,2,2,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,60.0,40.0,Opponent
T52_S002__BASELINE,BASELINE,3,3,Opponent,Eevee,Quick Attack,20.0,0.88,0,1,40.0,40.0,Player
T52_S002__BASELINE,BASELINE,4,4,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,40.0,30.0,Opponent
T52_S002__BASELINE,BASELINE,5,5,Opponent,Eevee,Quick Attack,20.0,0.98,0,1,20.0,30.0,Player
T52_S002__BASELINE,BASELINE,6,6,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,20.0,Opponent
T52_S002__BASELINE,BASELINE,7,7,Opponent,Eevee,Quick Attack,20.0,0.994,0,1,0.0,20.0,Player
T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,Quick Attack,20.0,0.958,0,1,20.0,50.0,Player
T52_S002__HP_PRESSURE,HP_PRESSURE,2,2,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,40.0,Opponent
T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Eevee,Quick Attack,20.0,0.98,0,1,0.0,40.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,50.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,40.0,Opponent
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,40.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,30.0,Opponent
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,30.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,20.0,Opponent
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,20.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,10.0,Opponent
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,10.0,Player
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,10,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,80.0,0.0,Opponent
T52_S003__BASELINE,BASELINE,1,1,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,30.0,Opponent
T52_S003__BASELINE,BASELINE,2,2,Opponent,Eevee,Quick Attack,20.0,0.868,0,1,60.0,30.0,Player
T52_S003__BASELINE,BASELINE,3,3,Player,Charmander,Live Coal,20.0,1.0,0,1,60.0,10.0,Opponent
T52_S003__BASELINE,BASELINE,4,4,Opponent,Eevee,Quick Attack,20.0,0.866,0,1,40.0,10.0,Player
T52_S003__BASELINE,BASELINE,5,5,Player,Charmander,Live Coal,20.0,1.0,0,1,40.0,0.0,Opponent
T52_S003__HP_PRESSURE,HP_PRESSURE,1,1,Player,Charmander,Live Coal,20.0,1.0,0,1,40.0,30.0,Opponent
T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Eevee,Quick Attack,20.0,0.962,0,1,20.0,30.0,Player
T52_S003__HP_PRESSURE,HP_PRESSURE,3,3,Player,Charmander,Live Coal,20.0,1.0,0,1,20.0,10.0,Opponent
T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Eevee,Quick Attack,20.0,0.962,0,1,0.0,10.0,Player
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,30.0,Opponent
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,30.0,Player
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,10.0,Opponent
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,10.0,Player
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,0.0,Opponent
T52_S004__BASELINE,BASELINE,1,1,Opponent,Eevee,Quick Attack,20.0,0.852,0,1,60.0,50.0,Player
T52_S004__BASELINE,BASELINE,2,2,Player,Charmander,Live Coal,20.0,1.0,0,1,60.0,30.0,Opponent
T52_S004__BASELINE,BASELINE,3,3,Opponent,Eevee,Quick Attack,20.0,0.868,0,1,40.0,30.0,Player
T52_S004__BASELINE,BASELINE,4,4,Player,Charmander,Live Coal,20.0,1.0,0,1,40.0,10.0,Opponent
T52_S004__BASELINE,BASELINE,5,5,Opponent,Eevee,Quick Attack,20.0,0.95,0,1,20.0,10.0,Player
T52_S004__BASELINE,BASELINE,6,6,Player,Charmander,Live Coal,20.0,1.0,0,1,20.0,0.0,Opponent
T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,Quick Attack,20.0,0.956,0,1,20.0,50.0,Player
T52_S004__HP_PRESSURE,HP_PRESSURE,2,2,Player,Charmander,Live Coal,20.0,1.0,0,1,20.0,30.0,Opponent
T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Eevee,Quick Attack,20.0,0.98,0,1,0.0,30.0,Player
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,50.0,Player
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,30.0,Opponent
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,30.0,Player
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,10.0,Opponent
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Opponent,Eevee,Ascension,0.0,1.0,0,1,80.0,10.0,Player
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Player,Charmander,Live Coal,20.0,1.0,0,1,80.0,0.0,Opponent
T52_S005__BASELINE,BASELINE,1,1,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,2,2,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,50.0,80.0,Player
T52_S005__BASELINE,BASELINE,3,3,Player,Meowth,Tuck Tail,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,4,4,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,40.0,80.0,Player
T52_S005__BASELINE,BASELINE,5,5,Player,Meowth,Tuck Tail,0.0,1.0,0,1,40.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,6,6,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,30.0,80.0,Player
T52_S005__BASELINE,BASELINE,7,7,Player,Meowth,Tuck Tail,0.0,1.0,0,1,30.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,8,8,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,80.0,Player
T52_S005__BASELINE,BASELINE,9,9,Player,Meowth,Tuck Tail,0.0,1.0,0,1,20.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,10,10,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,10.0,80.0,Player
T52_S005__BASELINE,BASELINE,11,11,Player,Meowth,Tuck Tail,0.0,1.0,0,1,10.0,80.0,Opponent
T52_S005__BASELINE,BASELINE,12,12,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,0.0,80.0,Player
T52_S005__HP_PRESSURE,HP_PRESSURE,1,1,Player,Meowth,Tuck Tail,0.0,1.0,0,1,30.0,80.0,Opponent
T52_S005__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,80.0,Player
T52_S005__HP_PRESSURE,HP_PRESSURE,3,3,Player,Meowth,Tuck Tail,0.0,1.0,0,1,20.0,80.0,Opponent
T52_S005__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,10.0,80.0,Player
T52_S005__HP_PRESSURE,HP_PRESSURE,5,5,Player,Meowth,Tuck Tail,0.0,1.0,0,1,10.0,80.0,Opponent
T52_S005__HP_PRESSURE,HP_PRESSURE,6,6,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,0.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,10,10,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,11,11,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,12,12,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,13,13,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,14,14,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,15,15,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,16,16,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,17,17,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,18,18,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,19,19,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,20,20,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__BASELINE,BASELINE,1,1,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,50.0,80.0,Player
T52_S006__BASELINE,BASELINE,2,2,Player,Meowth,Tuck Tail,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S006__BASELINE,BASELINE,3,3,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,40.0,80.0,Player
T52_S006__BASELINE,BASELINE,4,4,Player,Meowth,Tuck Tail,0.0,1.0,0,1,40.0,80.0,Opponent
T52_S006__BASELINE,BASELINE,5,5,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,30.0,80.0,Player
T52_S006__BASELINE,BASELINE,6,6,Player,Meowth,Tuck Tail,0.0,1.0,0,1,30.0,80.0,Opponent
T52_S006__BASELINE,BASELINE,7,7,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,80.0,Player
T52_S006__BASELINE,BASELINE,8,8,Player,Meowth,Tuck Tail,0.0,1.0,0,1,20.0,80.0,Opponent
T52_S006__BASELINE,BASELINE,9,9,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,10.0,80.0,Player
T52_S006__BASELINE,BASELINE,10,10,Player,Meowth,Tuck Tail,0.0,1.0,0,1,10.0,80.0,Opponent
T52_S006__BASELINE,BASELINE,11,11,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,0.0,80.0,Player
T52_S006__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,80.0,Player
T52_S006__HP_PRESSURE,HP_PRESSURE,2,2,Player,Meowth,Tuck Tail,0.0,1.0,0,1,20.0,80.0,Opponent
T52_S006__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,10.0,80.0,Player
T52_S006__HP_PRESSURE,HP_PRESSURE,4,4,Player,Meowth,Tuck Tail,0.0,1.0,0,1,10.0,80.0,Opponent
T52_S006__HP_PRESSURE,HP_PRESSURE,5,5,Opponent,Bulbasaur,Bind Down,10.0,1.0,0,1,0.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,10,10,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,11,11,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,12,12,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,13,13,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,14,14,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,15,15,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,16,16,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,17,17,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,18,18,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,19,19,Opponent,Bulbasaur,Pass,0.0,1.0,0,1,60.0,80.0,Player
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,20,20,Player,Meowth,Tuck Tail,0.0,1.0,0,1,60.0,80.0,Opponent
T52_S007__BASELINE,BASELINE,1,1,Opponent,Eevee,Quick Attack,20.0,0.962,0,1,0.0,20.0,Player
T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Eevee,Quick Attack,20.0,0.962,0,1,0.0,20.0,Player
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Eevee,Ascension,0.0,1.0,0,1,20.0,20.0,Player
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,10.0,Opponent
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Eevee,Ascension,0.0,1.0,0,1,20.0,10.0,Player
T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Bulbasaur,Bind Down,10.0,1.0,0,1,20.0,0.0,Opponent
T52_S008__BASELINE,BASELINE,1,1,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__BASELINE,BASELINE,2,2,Opponent,Charmander,Live Coal,20.0,1.0,0,1,30.0,80.0,Player
T52_S008__BASELINE,BASELINE,3,3,Player,Eevee,Ascension,0.0,1.0,0,1,30.0,80.0,Opponent
T52_S008__BASELINE,BASELINE,4,4,Opponent,Charmander,Live Coal,20.0,1.0,0,1,10.0,80.0,Player
T52_S008__BASELINE,BASELINE,5,5,Player,Eevee,Ascension,0.0,1.0,0,1,10.0,80.0,Opponent
T52_S008__BASELINE,BASELINE,6,6,Opponent,Charmander,Live Coal,20.0,1.0,0,1,0.0,80.0,Player
T52_S008__HP_PRESSURE,HP_PRESSURE,1,1,Player,Eevee,Ascension,0.0,1.0,0,1,25.0,80.0,Opponent
T52_S008__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Charmander,Live Coal,20.0,1.0,0,1,5.0,80.0,Player
T52_S008__HP_PRESSURE,HP_PRESSURE,3,3,Player,Eevee,Ascension,0.0,1.0,0,1,5.0,80.0,Opponent
T52_S008__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Charmander,Live Coal,20.0,1.0,0,1,0.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,10,10,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,11,11,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,12,12,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,13,13,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,14,14,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,15,15,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,16,16,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,17,17,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,18,18,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,19,19,Player,Eevee,Ascension,0.0,1.0,0,1,50.0,80.0,Opponent
T52_S008__ENERGY_PRESSURE,ENERGY_PRESSURE,20,20,Opponent,Charmander,Pass,0.0,1.0,0,1,50.0,80.0,Player
