section4r_row_id,scenario_id,condition_id,turn_number,acting_side,active_card,official_card_id,acting_energy,attack_name,normalized_attack_name,energy_requirement,energy_ready,action_legal,energy_ready_but_not_legal,legal_without_energy_ready,base_damage
11,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
11,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
12,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
13,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
13,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
14,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
15,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
15,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
16,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
17,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
17,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
18,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
19,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
19,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
20,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
21,T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
21,T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
22,T52_S002__BASELINE,BASELINE,2,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
23,T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
23,T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
24,T52_S002__BASELINE,BASELINE,4,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
25,T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
25,T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
26,T52_S002__BASELINE,BASELINE,6,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
27,T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
27,T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
28,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
28,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
29,T52_S002__HP_PRESSURE,HP_PRESSURE,2,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
30,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
30,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
31,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
31,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
32,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
33,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
33,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
34,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
35,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
35,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
36,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
37,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
37,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
38,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
39,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
39,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
40,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
41,T52_S003__BASELINE,BASELINE,1,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
42,T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
42,T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
43,T52_S003__BASELINE,BASELINE,3,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
44,T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
44,T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
45,T52_S003__BASELINE,BASELINE,5,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
46,T52_S003__HP_PRESSURE,HP_PRESSURE,1,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
47,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
47,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
48,T52_S003__HP_PRESSURE,HP_PRESSURE,3,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
49,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
49,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
50,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
51,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
51,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
52,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
53,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
53,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
54,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
55,T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
55,T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
56,T52_S004__BASELINE,BASELINE,2,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
57,T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
57,T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
58,T52_S004__BASELINE,BASELINE,4,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
59,T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
59,T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
60,T52_S004__BASELINE,BASELINE,6,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
61,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
61,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
62,T52_S004__HP_PRESSURE,HP_PRESSURE,2,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
63,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
63,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
64,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
64,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
65,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
66,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
66,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
67,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
68,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
68,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
69,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Charmander,788,,Live Coal,live coal,1,False,True,False,True,20
70,T52_S005__BASELINE,BASELINE,1,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
71,T52_S005__BASELINE,BASELINE,2,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
72,T52_S005__BASELINE,BASELINE,3,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
73,T52_S005__BASELINE,BASELINE,4,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
74,T52_S005__BASELINE,BASELINE,5,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
75,T52_S005__BASELINE,BASELINE,6,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
76,T52_S005__BASELINE,BASELINE,7,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
77,T52_S005__BASELINE,BASELINE,8,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
78,T52_S005__BASELINE,BASELINE,9,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
79,T52_S005__BASELINE,BASELINE,10,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
80,T52_S005__BASELINE,BASELINE,11,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
81,T52_S005__BASELINE,BASELINE,12,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
82,T52_S005__HP_PRESSURE,HP_PRESSURE,1,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
83,T52_S005__HP_PRESSURE,HP_PRESSURE,2,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
84,T52_S005__HP_PRESSURE,HP_PRESSURE,3,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
85,T52_S005__HP_PRESSURE,HP_PRESSURE,4,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
86,T52_S005__HP_PRESSURE,HP_PRESSURE,5,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
87,T52_S005__HP_PRESSURE,HP_PRESSURE,6,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
88,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
89,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
90,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
91,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
92,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
93,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
94,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
95,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
96,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
97,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
98,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,11,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
99,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,12,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
100,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,13,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
101,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,14,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
102,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,15,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
103,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,16,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
104,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,17,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
105,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,18,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
106,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,19,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
107,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,20,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
108,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,21,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
109,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,22,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
110,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,23,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
111,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,24,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
112,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,25,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
113,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,26,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
114,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,27,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
115,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,28,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
116,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,29,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
117,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,30,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
118,T52_S006__BASELINE,BASELINE,1,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
119,T52_S006__BASELINE,BASELINE,2,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
120,T52_S006__BASELINE,BASELINE,3,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
121,T52_S006__BASELINE,BASELINE,4,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
122,T52_S006__BASELINE,BASELINE,5,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
123,T52_S006__BASELINE,BASELINE,6,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
124,T52_S006__BASELINE,BASELINE,7,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
125,T52_S006__BASELINE,BASELINE,8,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
126,T52_S006__BASELINE,BASELINE,9,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
127,T52_S006__BASELINE,BASELINE,10,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
128,T52_S006__BASELINE,BASELINE,11,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
129,T52_S006__HP_PRESSURE,HP_PRESSURE,1,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
130,T52_S006__HP_PRESSURE,HP_PRESSURE,2,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
131,T52_S006__HP_PRESSURE,HP_PRESSURE,3,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
132,T52_S006__HP_PRESSURE,HP_PRESSURE,4,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
133,T52_S006__HP_PRESSURE,HP_PRESSURE,5,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,True,False,True,10
134,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
135,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
136,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
137,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
138,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
139,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
140,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
141,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
142,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
143,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
144,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,11,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
145,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,12,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
146,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,13,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
147,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,14,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
148,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,15,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
149,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,16,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
150,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,17,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
151,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,18,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
152,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,19,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
153,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,20,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
154,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,21,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
155,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,22,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
156,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,23,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
157,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,24,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
158,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,25,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
159,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,26,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
160,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,27,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
161,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,28,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
162,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,29,Opponent,Bulbasaur,650,,Bind Down,bind down,1,False,False,False,False,10
163,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,30,Player,Meowth,1071,,Tuck Tail,tuck tail,3,False,True,False,True,60
164,T52_S007__BASELINE,BASELINE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
164,T52_S007__BASELINE,BASELINE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
165,T52_S007__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
165,T52_S007__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,True,False,True,20
166,T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Ascension,ascension,1,False,True,False,True,0
166,T52_S007__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,43,,Quick Attack,quick attack,3,False,False,False,False,20
