section4r_row_id,scenario_id,condition_id,turn_number,acting_side,active_card,attack_name,energy_requirement,observed_energy,energy_observed,energy_source,energy_status,energy_ready,action_legal,confirmed_energy_ready_but_not_legal,confirmed_legal_with_insufficient_energy,legal_with_unknown_energy
27,T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
27,T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
28,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
28,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
29,T52_S002__HP_PRESSURE,HP_PRESSURE,2,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
30,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
30,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
31,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
31,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
32,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
33,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
33,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
34,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
35,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
35,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
36,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
37,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
37,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
38,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
39,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
39,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
40,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
41,T52_S003__BASELINE,BASELINE,1,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
42,T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
42,T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
43,T52_S003__BASELINE,BASELINE,3,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
44,T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
44,T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
45,T52_S003__BASELINE,BASELINE,5,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
46,T52_S003__HP_PRESSURE,HP_PRESSURE,1,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
47,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
47,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
48,T52_S003__HP_PRESSURE,HP_PRESSURE,3,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
49,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
49,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
50,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
51,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
51,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
52,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
53,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
53,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
54,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
55,T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
55,T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
56,T52_S004__BASELINE,BASELINE,2,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
57,T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
57,T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
58,T52_S004__BASELINE,BASELINE,4,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
59,T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
59,T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
60,T52_S004__BASELINE,BASELINE,6,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
61,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
61,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
62,T52_S004__HP_PRESSURE,HP_PRESSURE,2,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
63,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
63,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
64,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
64,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
65,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
66,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
66,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
67,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
68,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,Ascension,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
68,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,Quick Attack,3,,False,,ENERGY_UNKNOWN,,False,False,False,False
69,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Charmander,Live Coal,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
70,T52_S005__BASELINE,BASELINE,1,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
71,T52_S005__BASELINE,BASELINE,2,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
72,T52_S005__BASELINE,BASELINE,3,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
73,T52_S005__BASELINE,BASELINE,4,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
74,T52_S005__BASELINE,BASELINE,5,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
75,T52_S005__BASELINE,BASELINE,6,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
76,T52_S005__BASELINE,BASELINE,7,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
77,T52_S005__BASELINE,BASELINE,8,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
78,T52_S005__BASELINE,BASELINE,9,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
79,T52_S005__BASELINE,BASELINE,10,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
80,T52_S005__BASELINE,BASELINE,11,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
81,T52_S005__BASELINE,BASELINE,12,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
82,T52_S005__HP_PRESSURE,HP_PRESSURE,1,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
83,T52_S005__HP_PRESSURE,HP_PRESSURE,2,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
84,T52_S005__HP_PRESSURE,HP_PRESSURE,3,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
85,T52_S005__HP_PRESSURE,HP_PRESSURE,4,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
86,T52_S005__HP_PRESSURE,HP_PRESSURE,5,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
87,T52_S005__HP_PRESSURE,HP_PRESSURE,6,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
88,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
89,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
90,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
91,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
92,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
93,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
94,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
95,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
96,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
97,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
98,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,11,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
99,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,12,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
100,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,13,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
101,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,14,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
102,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,15,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
103,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,16,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
104,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,17,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
105,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,18,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
106,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,19,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
107,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,20,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
108,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,21,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
109,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,22,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
110,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,23,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
111,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,24,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
112,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,25,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
113,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,26,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
114,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,27,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
115,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,28,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
116,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,29,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
117,T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,30,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
118,T52_S006__BASELINE,BASELINE,1,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
119,T52_S006__BASELINE,BASELINE,2,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
120,T52_S006__BASELINE,BASELINE,3,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
121,T52_S006__BASELINE,BASELINE,4,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
122,T52_S006__BASELINE,BASELINE,5,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
123,T52_S006__BASELINE,BASELINE,6,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
124,T52_S006__BASELINE,BASELINE,7,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
125,T52_S006__BASELINE,BASELINE,8,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
126,T52_S006__BASELINE,BASELINE,9,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
127,T52_S006__BASELINE,BASELINE,10,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
128,T52_S006__BASELINE,BASELINE,11,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
129,T52_S006__HP_PRESSURE,HP_PRESSURE,1,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
130,T52_S006__HP_PRESSURE,HP_PRESSURE,2,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
131,T52_S006__HP_PRESSURE,HP_PRESSURE,3,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
132,T52_S006__HP_PRESSURE,HP_PRESSURE,4,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
133,T52_S006__HP_PRESSURE,HP_PRESSURE,5,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,True,False,False,True
134,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
135,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
136,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
137,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
138,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
139,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
140,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
141,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
142,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
143,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
144,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,11,Opponent,Bulbasaur,Bind Down,1,,False,,ENERGY_UNKNOWN,,False,False,False,False
145,T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,12,Player,Meowth,Tuck Tail,3,,False,,ENERGY_UNKNOWN,,True,False,False,True
