decision_number,turn_number,current_player,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,fallback_used,search_depth,nodes,scenario_id,condition_id,section4r_row_id,scenario_id_resolved,condition_id_resolved,turn_number_resolved,acting_side_resolved,active_card_resolved,legal_moves_resolved,selected_move_resolved,acting_energy_resolved,battle_phase_resolved,acting_damage_resolved,official_card_id,verified_printed_attacks,verified_printed_attack_count,legal_printed_attacks,legal_control_actions,legal_printed_attack_count,legal_control_action_count,genuine_multi_attack_state,printed_attack_plus_control_state,control_only_state
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE,10,T52_S001__HP_PRESSURE,HP_PRESSURE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S001__HP_PRESSURE,HP_PRESSURE,11,T52_S001__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,12,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,13,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
3,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,14,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,15,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
5,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,16,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
6,6,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,17,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
7,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,18,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
8,8,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,19,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
9,9,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,20,T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE,21,T52_S002__BASELINE,BASELINE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
2,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE,22,T52_S002__BASELINE,BASELINE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.886,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE,23,T52_S002__BASELINE,BASELINE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
4,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE,24,T52_S002__BASELINE,BASELINE,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
5,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE,25,T52_S002__BASELINE,BASELINE,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
6,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__BASELINE,BASELINE,26,T52_S002__BASELINE,BASELINE,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
7,7,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,1.0,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__BASELINE,BASELINE,27,T52_S002__BASELINE,BASELINE,7,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.964,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE,28,T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
2,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE,29,T52_S002__HP_PRESSURE,HP_PRESSURE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S002__HP_PRESSURE,HP_PRESSURE,30,T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,31,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
2,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,32,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
3,3,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,33,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
4,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,34,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
5,5,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,35,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
6,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,36,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
7,7,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,37,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
8,8,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,38,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
9,9,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,39,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
10,10,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,40,T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Bulbasaur,"[""Bind Down""]",Bind Down,,UNKNOWN,,650,"[""Bind Down""]",1,"[""Bind Down""]",[],1,0,False,False,False
1,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__BASELINE,BASELINE,41,T52_S003__BASELINE,BASELINE,1,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S003__BASELINE,BASELINE,42,T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
3,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__BASELINE,BASELINE,43,T52_S003__BASELINE,BASELINE,3,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.872,LEGAL_MODEL_PREDICTION,False,0,1,T52_S003__BASELINE,BASELINE,44,T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
5,5,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__BASELINE,BASELINE,45,T52_S003__BASELINE,BASELINE,5,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
1,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__HP_PRESSURE,HP_PRESSURE,46,T52_S003__HP_PRESSURE,HP_PRESSURE,1,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,False,0,1,T52_S003__HP_PRESSURE,HP_PRESSURE,47,T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
3,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__HP_PRESSURE,HP_PRESSURE,48,T52_S003__HP_PRESSURE,HP_PRESSURE,3,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,False,0,1,T52_S003__HP_PRESSURE,HP_PRESSURE,49,T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,50,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
2,2,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,51,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
3,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,52,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
4,4,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,53,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
5,5,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,54,T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,LEGAL_MODEL_PREDICTION,False,0,1,T52_S004__BASELINE,BASELINE,55,T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
2,2,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S004__BASELINE,BASELINE,56,T52_S004__BASELINE,BASELINE,2,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,False,0,1,T52_S004__BASELINE,BASELINE,57,T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
4,4,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S004__BASELINE,BASELINE,58,T52_S004__BASELINE,BASELINE,4,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
5,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.956,LEGAL_MODEL_PREDICTION,False,0,1,T52_S004__BASELINE,BASELINE,59,T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
6,6,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S004__BASELINE,BASELINE,60,T52_S004__BASELINE,BASELINE,6,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
1,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.962,LEGAL_MODEL_PREDICTION,False,0,1,T52_S004__HP_PRESSURE,HP_PRESSURE,61,T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
2,2,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S004__HP_PRESSURE,HP_PRESSURE,62,T52_S004__HP_PRESSURE,HP_PRESSURE,2,Player,Charmander,"[""Live Coal""]",Live Coal,,UNKNOWN,,788,"[""Live Coal""]",1,"[""Live Coal""]",[],1,0,False,False,False
3,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,False,0,1,T52_S004__HP_PRESSURE,HP_PRESSURE,63,T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension"", ""Quick Attack""]",[],2,0,True,False,False
1,1,Opponent,Eevee,"[""Ascension""]",Ascension,Ascension,1.0,ONLY_LEGAL_MOVE,False,0,1,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,64,T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Opponent,Eevee,"[""Ascension""]",Ascension,,UNKNOWN,,43,"[""Ascension"", ""Quick Attack""]",2,"[""Ascension""]",[],1,0,False,False,False
