mirror_pair_id,comparison_case_id,case_role,evaluation_side,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,legal_moves,legal_move_count,observed_selected_move,observed_confidence,side_swapped,state_context_preserved,ready_for_policy_evaluation
4WC_PAIR_009,4WC_PAIR_009__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,5,5,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,True,True,True
4WC_PAIR_010,4WC_PAIR_010__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__BASELINE,BASELINE,7,7,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.994,False,True,True
4WC_PAIR_010,4WC_PAIR_010__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__BASELINE,BASELINE,7,7,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.994,True,True,True
4WC_PAIR_011,4WC_PAIR_011__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.958,False,True,True
4WC_PAIR_011,4WC_PAIR_011__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.958,True,True,True
4WC_PAIR_012,4WC_PAIR_012__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,False,True,True
4WC_PAIR_012,4WC_PAIR_012__MIRRORED_PLAYER,MIRRORED,Player,T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,True,True,True
4WC_PAIR_013,4WC_PAIR_013__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__BASELINE,BASELINE,2,2,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,False,True,True
4WC_PAIR_013,4WC_PAIR_013__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__BASELINE,BASELINE,2,2,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,True,True,True
4WC_PAIR_014,4WC_PAIR_014__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__BASELINE,BASELINE,4,4,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.866,False,True,True
4WC_PAIR_014,4WC_PAIR_014__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__BASELINE,BASELINE,4,4,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.866,True,True,True
4WC_PAIR_015,4WC_PAIR_015__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,False,True,True
4WC_PAIR_015,4WC_PAIR_015__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,True,True,True
4WC_PAIR_016,4WC_PAIR_016__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,False,True,True
4WC_PAIR_016,4WC_PAIR_016__MIRRORED_PLAYER,MIRRORED,Player,T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,True,True,True
4WC_PAIR_017,4WC_PAIR_017__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,1,1,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.852,False,True,True
4WC_PAIR_017,4WC_PAIR_017__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,1,1,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.852,True,True,True
4WC_PAIR_018,4WC_PAIR_018__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,3,3,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,False,True,True
4WC_PAIR_018,4WC_PAIR_018__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,3,3,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,True,True,True
4WC_PAIR_019,4WC_PAIR_019__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__BASELINE,BASELINE,5,5,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.95,False,True,True
4WC_PAIR_019,4WC_PAIR_019__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__BASELINE,BASELINE,5,5,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.95,True,True,True
4WC_PAIR_020,4WC_PAIR_020__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.956,False,True,True
4WC_PAIR_020,4WC_PAIR_020__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.956,True,True,True
4WC_PAIR_021,4WC_PAIR_021__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,False,True,True
4WC_PAIR_021,4WC_PAIR_021__MIRRORED_PLAYER,MIRRORED,Player,T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Eevee,Charmander,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,True,True,True
4WC_PAIR_022,4WC_PAIR_022__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S007__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,False,True,True
4WC_PAIR_022,4WC_PAIR_022__MIRRORED_PLAYER,MIRRORED,Player,T52_S007__BASELINE,BASELINE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,True,True,True
4WC_PAIR_023,4WC_PAIR_023__OBSERVED_OPPONENT,OBSERVED,Opponent,T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,False,True,True
4WC_PAIR_023,4WC_PAIR_023__MIRRORED_PLAYER,MIRRORED,Player,T52_S007__HP_PRESSURE,HP_PRESSURE,1,1,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.962,True,True,True
