expanded_pair_id,comparison_case_id,evaluation_side,source_pair_id,source_scenario_id,source_condition_id,source_decision_number,source_turn_number,expansion_variant_id,expansion_variant_description,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,legal_moves,legal_move_count,observed_selected_move,observed_confidence,minimum_required_energy,multi_action_energy_ready,state_context_source,ready_for_policy_evaluation,state_signature,evaluation_batch_number
4WE_PAIR_002_V02,4WE_PAIR_002_V02__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_002_V02,4WE_PAIR_002_V02__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_002_V03,4WE_PAIR_002_V03__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_002_V03,4WE_PAIR_002_V03__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_002_V04,4WE_PAIR_002_V04__OPPONENT,Opponent,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_002_V04,4WE_PAIR_002_V04__PLAYER,Player,4WC_PAIR_002,T52_S001__BASELINE,BASELINE,4,4,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.868,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_003_V01,4WE_PAIR_003_V01__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_003_V01,4WE_PAIR_003_V01__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_003_V02,4WE_PAIR_003_V02__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_003_V02,4WE_PAIR_003_V02__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_003_V03,4WE_PAIR_003_V03__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_003_V03,4WE_PAIR_003_V03__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_003_V04,4WE_PAIR_003_V04__OPPONENT,Opponent,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_003_V04,4WE_PAIR_003_V04__PLAYER,Player,4WC_PAIR_003,T52_S001__BASELINE,BASELINE,6,6,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=6|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_004_V01,4WE_PAIR_004_V01__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_004_V01,4WE_PAIR_004_V01__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_004_V02,4WE_PAIR_004_V02__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_004_V02,4WE_PAIR_004_V02__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_004_V03,4WE_PAIR_004_V03__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_004_V03,4WE_PAIR_004_V03__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_004_V04,4WE_PAIR_004_V04__OPPONENT,Opponent,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_004_V04,4WE_PAIR_004_V04__PLAYER,Player,4WC_PAIR_004,T52_S001__BASELINE,BASELINE,8,8,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.992,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__BASELINE|BASELINE|TURN=8|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_005_V01,4WE_PAIR_005_V01__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_005_V01,4WE_PAIR_005_V01__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_005_V02,4WE_PAIR_005_V02__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_005_V02,4WE_PAIR_005_V02__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_005_V03,4WE_PAIR_005_V03__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_005_V03,4WE_PAIR_005_V03__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_005_V04,4WE_PAIR_005_V04__OPPONENT,Opponent,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_005_V04,4WE_PAIR_005_V04__PLAYER,Player,4WC_PAIR_005,T52_S001__HP_PRESSURE,HP_PRESSURE,2,2,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.978,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=2|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
4WE_PAIR_006_V01,4WE_PAIR_006_V01__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_006_V01,4WE_PAIR_006_V01__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,OBSERVED_ENERGY_CONTEXT,Preserve the observed acting and opposing energy values.,Eevee,Bulbasaur,,,3.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",3
4WE_PAIR_006_V02,4WE_PAIR_006_V02__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_006_V02,4WE_PAIR_006_V02__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,MINIMUM_MULTI_ACTION_ENERGY,Set Eevee to the minimum energy required for both actions.,Eevee,Bulbasaur,,,2.0,3.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=3.0|MOVES=['Ascension', 'Quick Attack']",2
4WE_PAIR_006_V03,4WE_PAIR_006_V03__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_006_V03,4WE_PAIR_006_V03__PLAYER,Player,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,SYMMETRIC_TWO_ENERGY,Give both active Pokémon two attached energy.,Eevee,Bulbasaur,,,2.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=2.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",4
4WE_PAIR_006_V04,4WE_PAIR_006_V04__OPPONENT,Opponent,4WC_PAIR_006,T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,EEVEE_ENERGY_ADVANTAGE,Give Eevee three energy against an opponent with two energy.,Eevee,Bulbasaur,,,3.0,2.0,"['Ascension', 'Quick Attack']",2,Quick Attack,0.98,2.0,True,SECTION_4W_C_MATCHED_PAIR,True,"T52_S001__HP_PRESSURE|HP_PRESSURE|TURN=4|ACTING=Eevee|OPPOSING=Bulbasaur|AE=3.0|OE=2.0|MOVES=['Ascension', 'Quick Attack']",1
