scenario_id,condition_id,decision_number,turn_number,acting_side,opposing_side,acting_card,opposing_card,acting_hp,opposing_hp,acting_energy,opposing_energy,acting_energy_observed,opposing_energy_observed,legal_moves,legal_move_count,selected_move,selected_move_is_legal,routing_reason,confidence,legal_move_source,policy_history_record_available,runner_decision_type,runner_depth_argument,instrumentation_sequence,defending_card,defending_energy,defending_energy_observed,acting_energy_attribute,defending_energy_attribute,selected_move_is_control_action,verified_energy_requirement,selected_attack_energy_ready,energy_validation_status,active_card,energy_observation_complete,printed_attack_selected,confirmed_legal_with_insufficient_energy,verified_energy_ready
T52_S001__HP_PRESSURE,HP_PRESSURE,3,3,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,11,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.98,POLICY_HISTORY,True,AgentDecision,0,12,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,13,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,14,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,15,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,16,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,17,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,18,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,19,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,20,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,21,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__BASELINE,BASELINE,1,1,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.852,POLICY_HISTORY,True,AgentDecision,0,22,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__BASELINE,BASELINE,2,2,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,23,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__BASELINE,BASELINE,3,3,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.88,POLICY_HISTORY,True,AgentDecision,0,24,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__BASELINE,BASELINE,4,4,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,25,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__BASELINE,BASELINE,5,5,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.98,POLICY_HISTORY,True,AgentDecision,0,26,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__BASELINE,BASELINE,6,6,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,27,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__BASELINE,BASELINE,7,7,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.994,POLICY_HISTORY,True,AgentDecision,0,28,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.958,POLICY_HISTORY,True,AgentDecision,0,29,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__HP_PRESSURE,HP_PRESSURE,2,2,Player,Opponent,Bulbasaur,Eevee,,,3.0,3.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,30,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Player,Eevee,Bulbasaur,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.98,POLICY_HISTORY,True,AgentDecision,0,31,Bulbasaur,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,32,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,33,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,34,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,35,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,36,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,6,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,37,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,7,7,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,38,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,8,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,39,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,9,9,Opponent,Player,Eevee,Bulbasaur,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,40,Bulbasaur,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,10,Player,Opponent,Bulbasaur,Eevee,,,3.0,1.0,True,True,"[""Bind Down""]",1,Bind Down,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,41,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Bulbasaur,True,True,False,True
T52_S003__BASELINE,BASELINE,1,1,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,42,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__BASELINE,BASELINE,2,2,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.868,POLICY_HISTORY,True,AgentDecision,0,43,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__BASELINE,BASELINE,3,3,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,44,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__BASELINE,BASELINE,4,4,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.866,POLICY_HISTORY,True,AgentDecision,0,45,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__BASELINE,BASELINE,5,5,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,46,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__HP_PRESSURE,HP_PRESSURE,1,1,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,47,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__HP_PRESSURE,HP_PRESSURE,2,2,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.962,POLICY_HISTORY,True,AgentDecision,0,48,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__HP_PRESSURE,HP_PRESSURE,3,3,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,49,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__HP_PRESSURE,HP_PRESSURE,4,4,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.962,POLICY_HISTORY,True,AgentDecision,0,50,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Player,Opponent,Charmander,Eevee,,,3.0,1.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,51,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Opponent,Player,Eevee,Charmander,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,52,Charmander,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Player,Opponent,Charmander,Eevee,,,3.0,1.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,53,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Opponent,Player,Eevee,Charmander,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,54,Charmander,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Player,Opponent,Charmander,Eevee,,,3.0,1.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,55,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__BASELINE,BASELINE,1,1,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.852,POLICY_HISTORY,True,AgentDecision,0,56,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__BASELINE,BASELINE,2,2,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,57,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__BASELINE,BASELINE,3,3,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.868,POLICY_HISTORY,True,AgentDecision,0,58,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__BASELINE,BASELINE,4,4,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,59,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__BASELINE,BASELINE,5,5,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.95,POLICY_HISTORY,True,AgentDecision,0,60,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__BASELINE,BASELINE,6,6,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,61,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__HP_PRESSURE,HP_PRESSURE,1,1,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.956,POLICY_HISTORY,True,AgentDecision,0,62,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__HP_PRESSURE,HP_PRESSURE,2,2,Player,Opponent,Charmander,Eevee,,,3.0,3.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,63,Eevee,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__HP_PRESSURE,HP_PRESSURE,3,3,Opponent,Player,Eevee,Charmander,,,3.0,3.0,True,True,"[""Ascension"", ""Quick Attack""]",2,Quick Attack,True,LEGAL_MODEL_PREDICTION,0.98,POLICY_HISTORY,True,AgentDecision,0,64,Charmander,3.0,True,attached_energy,attached_energy,False,2.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,1,1,Opponent,Player,Eevee,Charmander,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,65,Charmander,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,2,2,Player,Opponent,Charmander,Eevee,,,3.0,1.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,66,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,3,3,Opponent,Player,Eevee,Charmander,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,67,Charmander,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,4,4,Player,Opponent,Charmander,Eevee,,,3.0,1.0,True,True,"[""Live Coal""]",1,Live Coal,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,68,Eevee,1.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Charmander,True,True,False,True
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,5,5,Opponent,Player,Eevee,Charmander,,,1.0,3.0,True,True,"[""Ascension""]",1,Ascension,True,ONLY_LEGAL_MOVE,1.0,POLICY_HISTORY,True,AgentDecision,0,69,Charmander,3.0,True,attached_energy,attached_energy,False,1.0,True,VERIFIED_ENERGY_READY,Eevee,True,True,False,True
