source_file,file_name,rows,columns,authority_score,excluded_generated_source,card_id_column,card_name_column,expansion_column,move_column,damage_column,effect_column,explicit_card_schema,exact_tournament_card_matches,candidate_authoritative_source
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_move_records_manual_review.csv,section4a_move_records_manual_review.csv,114,15,-100,True,,card_name,,move_name,damage,,True,114,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\section4a_single_pass_turn_results.csv,section4a_single_pass_turn_results.csv,56,15,-100,True,,pokemon_name,,move_name,damage,,True,56,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_safe_action_catalog.csv,section4a_safe_action_catalog.csv,37,16,-100,True,,card_name,,move_name,damage,,True,37,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_additional_source_backed_moves.csv,section4a_additional_source_backed_moves.csv,32,15,-100,True,,card_name,,move_name,damage,,True,32,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4c_candidate_provenance_audit.csv,section4c_candidate_provenance_audit.csv,32,27,-100,True,,card_name,,move_name,damage,,True,32,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4c_rejected_false_candidates.csv,section4c_rejected_false_candidates.csv,32,27,-100,True,,card_name,,move_name,damage,,True,32,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4b_transition_validated_candidate_catalog.csv,section4b_transition_validated_candidate_catalog.csv,32,21,-100,True,,card_name,,move_name,damage,,True,32,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4b_candidate_transition_results.csv,section4b_candidate_transition_results.csv,32,22,-100,True,,card_name,,move_name,,,True,32,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_attack_profile.csv,section4p_attack_profile.csv,10,12,-100,True,card_id,card_name,,attack_name,,,True,10,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4h_targeted_pdf_card_matches.csv,section4h_targeted_pdf_card_matches.csv,9,8,-100,True,,card_name,,,,,False,9,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4l_card_action_matches.csv,section4l_card_action_matches.csv,8,16,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_card_visual_profile.csv,section4p_card_visual_profile.csv,8,18,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4i_official_card_index_rows.csv,section4i_official_card_index_rows.csv,8,10,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4n_saved_official_card_images.csv,section4n_saved_official_card_images.csv,8,18,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4o_verified_official_card_images.csv,section4o_verified_official_card_images.csv,8,18,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4m_card_destination_detail.csv,section4m_card_destination_detail.csv,8,23,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4k_official_card_image_links.csv,section4k_official_card_image_links.csv,8,18,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4m_card_destination_matches.csv,section4m_card_destination_matches.csv,8,15,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4k_card_text_positions.csv,section4k_card_text_positions.csv,8,6,-100,True,,card_name,,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook51\section6\section6f_first_full_battle_turns.csv,section6f_first_full_battle_turns.csv,8,8,-100,True,,pokemon_name,,move_name,,,True,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_version_confidence.csv,section4p_version_confidence.csv,8,25,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_simulator_match.csv,section4p_simulator_match.csv,8,21,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4n_selected_image_candidates.csv,section4n_selected_image_candidates.csv,8,24,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4n_destination_image_inventory.csv,section4n_destination_image_inventory.csv,8,23,-100,True,card_id,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_official_candidate_comparison.csv,section4j_official_candidate_comparison.csv,8,14,-100,True,,card_name,expansion,,,,False,8,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_complete_verified_action_catalog.csv,section4q_complete_verified_action_catalog.csv,7,19,-100,True,,card_name,expansion,,,,False,7,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_frozen_simulator_actions.csv,section4q_frozen_simulator_actions.csv,7,6,-100,True,,card_name,,,,,False,7,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_upstream_card_profile_evidence.csv,section4j_upstream_card_profile_evidence.csv,5,10,-100,True,,card_name,,,,,False,5,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_printed_vs_simulator_availability.csv,section4q_printed_vs_simulator_availability.csv,5,19,-100,True,,card_name,expansion,,,,False,5,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_verified_printed_actions.csv,section4q_verified_printed_actions.csv,5,16,-100,True,,card_name,expansion,,,,False,5,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_card_candidate_profile.csv,section4a_card_candidate_profile.csv,4,7,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4n_card_image_extraction_profile.csv,section4n_card_image_extraction_profile.csv,4,11,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_verified_card_versions.csv,section4q_verified_card_versions.csv,4,16,-100,True,,card_name,expansion,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4i_official_card_version_summary.csv,section4i_official_card_version_summary.csv,4,10,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_simulator_move_profile.csv,section4j_simulator_move_profile.csv,4,7,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4d_benchmark_metadata_comparison.csv,section4d_benchmark_metadata_comparison.csv,4,10,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4k_card_link_recovery_summary.csv,section4k_card_link_recovery_summary.csv,4,8,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_simulator_attack_profile.csv,section4p_simulator_attack_profile.csv,4,5,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_card_action_availability.csv,section4q_card_action_availability.csv,4,9,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4g_leading_tournament_card_identifiers.csv,section4g_leading_tournament_card_identifiers.csv,4,8,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4b_candidate_transitions_by_card.csv,section4b_candidate_transitions_by_card.csv,4,9,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4f_tournament_card_identifier_summary.csv,section4f_tournament_card_identifier_summary.csv,4,6,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook52\section4\analysis\section4b_card_summary.csv,section4b_card_summary.csv,4,8,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4e_tournament_card_image_summary.csv,section4e_tournament_card_image_summary.csv,4,3,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4h_pdf_identifier_summary.csv,section4h_pdf_identifier_summary.csv,4,7,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4i_section4h_identifier_repair.csv,section4i_section4h_identifier_repair.csv,4,13,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4p_leading_official_versions.csv,section4p_leading_official_versions.csv,4,12,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4h_hybrid_identifier_resolution.csv,section4h_hybrid_identifier_resolution.csv,4,8,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_leading_simulator_version_matches.csv,section4j_leading_simulator_version_matches.csv,4,7,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4j_simulator_hp_profile.csv,section4j_simulator_hp_profile.csv,4,6,-100,True,,card_name,,,,,False,4,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4q_simulator_control_actions.csv,section4q_simulator_control_actions.csv,2,19,-100,True,,card_name,expansion,,,,False,2,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4g_combined_identifier_evidence.csv,section4g_combined_identifier_evidence.csv,2,9,-100,True,card_id,card_name,expansion,attacks,,,True,2,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4g_parsed_card_objects.csv,section4g_parsed_card_objects.csv,1,12,-100,True,card_id,card_name,expansion,attacks,,,True,1,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4g_card_id_proximity_candidates.csv,section4g_card_id_proximity_candidates.csv,1,9,-100,True,card_id,card_name,,,,,False,1,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4g_identifier_support_profile.csv,section4g_identifier_support_profile.csv,1,10,-100,True,card_id,card_name,,,,,False,1,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook34\policy_dataset_bootstrap.csv,policy_dataset_bootstrap.csv,3500,16,-100,True,,pokemon_name,,move_name,,,True,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook34\policy_dataset_bootstrap.parquet,policy_dataset_bootstrap.parquet,3500,16,-100,True,,pokemon_name,,move_name,,,True,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\batch_search\section8b_search_labels.jsonl,section8b_search_labels.jsonl,2120,33,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,pokemon_cards_processed.csv,2022,43,-100,True,,,Expansion,,Damage,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\JP_Card_Data.csv,JP_Card_Data.csv,2022,17,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\raw\EN_Card_Data.csv,EN_Card_Data.csv,2022,17,-100,True,,,Expansion,,Damage,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4h_pdf_page_scan_profile.csv,section4h_pdf_page_scan_profile.csv,1306,7,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_metadata.csv,section4b_legality_aware_training_metadata.csv,1060,12,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\policy_dataset\section8c_expert_policy_dataset.jsonl,section8c_expert_policy_dataset.jsonl,1060,37,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_full_dataset.csv,section4b_legality_aware_full_dataset.csv,1060,72,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\policy_dataset\section8c_expert_policy_dataset.csv,section8c_expert_policy_dataset.csv,1060,37,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\batch_search\section8b_search_labels.csv,section8b_search_labels.csv,1060,33,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section3\feature_engineering\section3a_full_feature_dataset.csv,section3a_full_feature_dataset.csv,1060,49,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\section7c_state_variant_manifest.csv,section7c_state_variant_manifest.csv,1060,28,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_features.csv,section4b_legality_aware_training_features.csv,1060,41,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section8\batch_search\checkpoints\section8b_search_progress.csv,section8b_search_progress.csv,1060,6,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section2\dataset_splits\section2a_row_split_assignments.csv,section2a_row_split_assignments.csv,1060,3,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_group_safe_split_assignments.csv,section5a_group_safe_split_assignments.csv,1060,6,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_targets.csv,section4b_legality_aware_training_targets.csv,1060,1,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section4\section4b_legality_aware_training_weights.csv,section4b_legality_aware_training_weights.csv,1060,1,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook32\notebook32_mixed_benchmark.csv,notebook32_mixed_benchmark.csv,1000,6,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\actor_relative_search_expert_dataset.jsonl,actor_relative_search_expert_dataset.jsonl,1000,30,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\real_search_expert_dataset.jsonl,real_search_expert_dataset.jsonl,1000,25,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\expert_replay_dataset.parquet,expert_replay_dataset.parquet,1000,21,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\actor_relative_search_expert_dataset.parquet,actor_relative_search_expert_dataset.parquet,1000,30,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\data\competitive\real_search_expert_dataset.parquet,real_search_expert_dataset.parquet,1000,25,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section6\section6a_train_predictions.csv,section6a_train_predictions.csv,840,25,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5b_train_encoded_features.csv,section5b_train_encoded_features.csv,840,64,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_train_features.csv,section5a_train_features.csv,840,41,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_train_targets.csv,section5a_train_targets.csv,840,1,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section5\section5a_train_weights.csv,section5a_train_weights.csv,840,1,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section2\dataset_splits\section2a_train_dataset.csv,section2a_train_dataset.csv,740,38,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook50\section3\feature_engineering\section3a_train_feature_dataset.csv,section3a_train_feature_dataset.csv,740,49,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section3\section3b_structured_file_inventory.csv,section3b_structured_file_inventory.csv,685,6,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4d_strict_card_source_inventory.csv,section4d_strict_card_source_inventory.csv,647,15,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section3\section3b_structured_schema_discovery.csv,section3b_structured_schema_discovery.csv,647,10,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook36\production_api_inventory.csv,production_api_inventory.csv,388,3,-100,True,,name,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\self_play_dataset.csv,self_play_dataset.csv,350,9,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook28\training_examples.pkl,training_examples.pkl,350,8,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4s_repaired_attack_energy_readiness.csv,section4s_repaired_attack_energy_readiness.csv,269,17,-100,True,,,,attack_name,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4r_verified_attack_energy_readiness.csv,section4r_verified_attack_energy_readiness.csv,269,16,-100,True,,,,attack_name,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4a_move_source_agreement.csv,section4a_move_source_agreement.csv,268,8,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4l_actionable_annotations.csv,section4l_actionable_annotations.csv,264,30,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4l_annotation_structure.csv,section4l_annotation_structure.csv,264,30,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4m_annotation_destinations.csv,section4m_annotation_destinations.csv,264,19,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook54\section4\section4k_target_page_annotations.csv,section4k_target_page_annotations.csv,264,11,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook46\actor_perspective_suspicious_records.csv,actor_perspective_suspicious_records.csv,250,13,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3b_legality_aware_metadata.csv,section3b_legality_aware_metadata.csv,210,15,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section3\section3a_legality_aware_routing_analysis.csv,section3a_legality_aware_routing_analysis.csv,210,71,-100,True,,,,,,,False,0,False
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook53\section2\section2b_root_cause_decision_data.csv,section2b_root_cause_decision_data.csv,210,53,-100,True,,,,,,,False,0,False
