normalized_card_name,normalized_move_name,distinct_damage_values,damage_values,total_source_records,total_unique_source_files,maximum_source_priority,damage_conflict
Bulbasaur,[0.28 0.2 0. 0. 0. 0. 0. 0.73],1,[30.0],1,1,10,False
Bulbasaur,[0.28 0.2 1. 0. 0. 0. 0. 1.73],1,[46.0],1,1,10,False
Bulbasaur,"[0.28, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.73]",1,[30.0],1,1,10,False
Bulbasaur,"[0.28, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.73]",1,[46.0],1,1,10,False
Charmander,0.0,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,0.08,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,0.08 0.1 0. 0. 0. 0. 0. 0.38,3,"[1.0, 2.0, 50.0]",16,13,-2,True
Charmander,0.08 0.1 1. 0. 0. 0. 0. 1.38,3,"[1.0, 2.0, 16.0]",16,13,-2,True
Charmander,0.1,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,0.2,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,0.2 0.2 0. 0. 0. 0. 0. 0.55,3,"[1.0, 2.0, 50.0]",16,13,-2,True
Charmander,0.2 0.2 1. 0. 0. 0. 0. 1.55,3,"[1.0, 2.0, 20.0]",16,13,-2,True
Charmander,0.38,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,0.55,3,"[1.0, 2.0, 50.0]",13,13,-2,True
Charmander,1,3,"[1.0, 2.0, 20.0]",9,9,-5,True
Charmander,1.0,3,"[1.0, 3.0, 20.0]",11,11,-5,True
Charmander,1.38,3,"[1.0, 2.0, 16.0]",13,13,-2,True
Charmander,1.55,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Charmander,151,1,[103.0],1,1,-5,False
Charmander,2,3,"[1.0, 2.0, 20.0]",9,9,-2,True
Charmander,20,2,"[1.0, 50.0]",7,7,-2,True
Charmander,32,2,"[1.0, 8.0]",8,8,-2,True
Charmander,37,1,[50.0],1,1,-2,False
Charmander,8,2,"[1.0, 16.0]",8,8,-2,True
Charmander,81,2,"[1.0, 4.0]",7,7,-2,True
Charmander,Bite,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Fury Swipes,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Live Coal,3,"[1.0, 2.0, 20.0]",8,8,-5,True
Charmander,Pass,2,"[0.0, 2.0]",7,7,-5,True
Charmander,Razor Leaf,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Tackle,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Tail Whap,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Thunderbolt,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Vine Whip,2,"[0.0, 2.0]",8,8,-2,True
Charmander,Water Pulse,2,"[0.0, 2.0]",8,8,-2,True
Charmander,[0.08 0.1 0. 0. 0. 0. 0. 0.38],1,[50.0],1,1,10,False
Charmander,[0.08 0.1 1. 0. 0. 0. 0. 1.38],1,[16.0],1,1,10,False
Charmander,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",1,[50.0],1,1,10,False
Charmander,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",1,[16.0],1,1,10,False
Charmander,[0.2 0.2 0. 0. 0. 0. 0. 0.55],1,[50.0],1,1,10,False
Charmander,[0.2 0.2 1. 0. 0. 0. 0. 1.55],1,[20.0],1,1,10,False
Charmander,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",1,[50.0],1,1,10,False
Charmander,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",1,[20.0],1,1,10,False
Eevee,0.0,4,"[1.0, 3.0, 20.0, 31.0]",13,13,-2,True
Eevee,0.08,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Eevee,0.08 0.1 0. 0. 0. 0. 0. 0.38,3,"[1.0, 2.0, 20.0]",16,13,-2,True
Eevee,0.08 0.1 1. 0. 0. 0. 0. 1.38,3,"[1.0, 2.0, 18.0]",16,13,-2,True
Eevee,0.1,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Eevee,0.2,4,"[1.0, 3.0, 20.0, 31.0]",13,13,-2,True
Eevee,0.2 0.2 0. 0. 0. 0. 0. 0.55,3,"[1.0, 2.0, 20.0]",16,13,-2,True
Eevee,0.2 0.2 1. 0. 0. 0. 0. 1.55,3,"[1.0, 2.0, 31.0]",16,13,-2,True
Eevee,0.38,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Eevee,0.55,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Eevee,1.0,3,"[1.0, 3.0, 31.0]",13,13,-2,True
Eevee,1.38,3,"[1.0, 2.0, 18.0]",13,13,-2,True
Eevee,1.55,3,"[1.0, 2.0, 31.0]",13,13,-2,True
Eevee,151,1,[103.0],1,1,-5,False
Eevee,19,2,"[1.0, 31.0]",7,7,-2,True
Eevee,2,3,"[1.0, 2.0, 20.0]",7,7,-5,True
Eevee,32,2,"[1.0, 8.0]",8,8,-2,True
Eevee,36,1,[31.0],1,1,-2,False
Eevee,8,2,"[1.0, 18.0]",8,8,-2,True
Eevee,81,2,"[1.0, 4.0]",7,7,-2,True
Eevee,Ascension,2,"[0.0, 2.0]",8,8,-5,True
Eevee,Flame Tail,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Fury Swipes,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Quick Attack,3,"[0.0, 3.0, 20.0]",9,9,-5,True
Eevee,Razor Leaf,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Scratch,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Tackle,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Thunderbolt,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Vine Whip,2,"[0.0, 2.0]",8,8,-2,True
Eevee,Water Pulse,2,"[0.0, 2.0]",8,8,-2,True
Eevee,[0.08 0.1 0. 0. 0. 0. 0. 0.38],1,[20.0],1,1,10,False
Eevee,[0.08 0.1 1. 0. 0. 0. 0. 1.38],1,[18.0],1,1,10,False
Eevee,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",1,[20.0],1,1,10,False
Eevee,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",1,[18.0],1,1,10,False
Eevee,[0.2 0.2 0. 0. 0. 0. 0. 0.55],1,[20.0],1,1,10,False
Eevee,[0.2 0.2 1. 0. 0. 0. 0. 1.55],1,[31.0],1,1,10,False
Eevee,"[0.2, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.55]",1,[20.0],1,1,10,False
Eevee,"[0.2, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.55]",1,[31.0],1,1,10,False
Meowth,0.0,4,"[1.0, 3.0, 20.0, 60.0]",13,13,-2,True
Meowth,0.08,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Meowth,0.08 0.1 0. 0. 0. 0. 0. 0.38,3,"[1.0, 2.0, 20.0]",16,13,-2,True
Meowth,0.08 0.1 1. 0. 0. 0. 0. 1.38,3,"[1.0, 2.0, 8.0]",16,13,-2,True
Meowth,0.1,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Meowth,0.2,3,"[1.0, 2.0, 60.0]",13,13,-2,True
Meowth,0.24,3,"[1.0, 2.0, 60.0]",13,13,-2,True
Meowth,0.24 0.2 0. 0. 0. 0. 0. 0.64,3,"[1.0, 2.0, 60.0]",16,13,-2,True
Meowth,0.24 0.2 1. 0. 0. 0. 0. 1.64,3,"[1.0, 2.0, 33.0]",16,13,-2,True
Meowth,0.38,3,"[1.0, 2.0, 20.0]",13,13,-2,True
Meowth,0.639999999999999,3,"[1.0, 2.0, 60.0]",13,13,-2,True
Meowth,1,4,"[1.0, 2.0, 20.0, 60.0]",9,9,-5,True
Meowth,1.0,3,"[1.0, 3.0, 33.0]",11,11,-5,True
Meowth,1.38,3,"[1.0, 2.0, 8.0]",13,13,-2,True
Meowth,1.6400000000000001,3,"[1.0, 2.0, 33.0]",13,13,-2,True
Meowth,151,1,[103.0],1,1,-5,False
Meowth,2,4,"[2.0, 3.0, 20.0, 60.0]",7,7,-5,True
Meowth,21,2,"[1.0, 60.0]",7,7,-2,True
Meowth,32,2,"[1.0, 8.0]",8,8,-2,True
Meowth,39,1,[60.0],1,1,-2,False
Meowth,8,2,"[1.0, 8.0]",8,8,-2,True
Meowth,81,2,"[1.0, 4.0]",7,7,-2,True
Meowth,Bite,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Flame Tail,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Quick Attack,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Razor Leaf,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Scratch,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Tackle,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Tail Whap,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Thunderbolt,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Tuck Tail,3,"[0.0, 2.0, 60.0]",8,8,-5,True
Meowth,Vine Whip,2,"[0.0, 2.0]",8,8,-2,True
Meowth,Water Pulse,2,"[0.0, 2.0]",8,8,-2,True
Meowth,[0.08 0.1 0. 0. 0. 0. 0. 0.38],1,[20.0],1,1,10,False
Meowth,[0.08 0.1 1. 0. 0. 0. 0. 1.38],1,[8.0],1,1,10,False
Meowth,"[0.08, 0.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.38]",1,[20.0],1,1,10,False
Meowth,"[0.08, 0.1, 1.0, 0.0, 0.0, 0.0, 0.0, 1.38]",1,[8.0],1,1,10,False
Meowth,[0.24 0.2 0. 0. 0. 0. 0. 0.64],1,[60.0],1,1,10,False
Meowth,[0.24 0.2 1. 0. 0. 0. 0. 1.64],1,[33.0],1,1,10,False
Meowth,"[0.24, 0.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.639999999999999]",1,[60.0],1,1,10,False
Meowth,"[0.24, 0.2, 1.0, 0.0, 0.0, 0.0, 0.0, 1.6400000000000001]",1,[33.0],1,1,10,False
