scenario_id,condition_id,turn_number,acting_side,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,legal_move_list,legal_move_count,action_state_type,is_strategic_opportunity,player_card,opponent_card,starting_side,battle_winner,battle_turns,final_player_hp,final_opponent_hp,player_outcome,player_win_flag,player_loss_flag,draw_flag,acting_side_won,acting_side_lost,decision_outcome_context,confidence_band,priority_score,optimization_priority,player_controlled_decision,opponent_controlled_decision,raw_prediction_matches_selection
T52_S002__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.964,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,3,0.0,40.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.072,CRITICAL,False,True,True
T52_S002__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,3,0.0,40.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.028,CRITICAL,False,True,True
T52_S003__BASELINE,BASELINE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Player,Player,5,40.0,0.0,WIN,1,0,0,False,True,LOSING_SIDE_CONTEXT,HIGH,2.252,MEDIUM,False,True,True
T52_S003__BASELINE,BASELINE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.872,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Player,Player,5,40.0,0.0,WIN,1,0,0,False,True,LOSING_SIDE_CONTEXT,HIGH,2.2560000000000002,MEDIUM,False,True,True
T52_S003__HP_PRESSURE,HP_PRESSURE,2,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Player,Opponent,4,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.064,CRITICAL,False,True,True
T52_S003__HP_PRESSURE,HP_PRESSURE,4,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Player,Opponent,4,0.0,10.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.064,CRITICAL,False,True,True
T52_S004__BASELINE,BASELINE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.858,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,False,True,LOSING_SIDE_CONTEXT,HIGH,2.284,MEDIUM,False,True,True
T52_S004__BASELINE,BASELINE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.874,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,False,True,LOSING_SIDE_CONTEXT,HIGH,2.252,MEDIUM,False,True,True
T52_S004__BASELINE,BASELINE,5,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.956,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,2.088,MEDIUM,False,True,True
T52_S004__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.962,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Opponent,Opponent,3,0.0,30.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.076,CRITICAL,False,True,True
T52_S004__HP_PRESSURE,HP_PRESSURE,3,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.986,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Charmander,Eevee,Opponent,Opponent,3,0.0,30.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.028,CRITICAL,False,True,True
T52_S007__BASELINE,BASELINE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,1,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,6.064,HIGH,False,True,True
T52_S007__HP_PRESSURE,HP_PRESSURE,1,Opponent,Eevee,"[""Ascension"", ""Quick Attack""]",Quick Attack,Quick Attack,0.968,LEGAL_MODEL_PREDICTION,"[""Ascension"", ""Quick Attack""]",2,MULTI_ACTION,True,Bulbasaur,Eevee,Opponent,Opponent,1,0.0,20.0,LOSS,0,1,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,9.064,CRITICAL,False,True,True
