source_file,card_name,move_name,damage,energy_cost,effect_text
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,30,Tera,,Stage 1 Pokémon,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,30,Hot Magma,70,Stage 1 Pokémon,Your opponent’s Active Pokémon is now Burned.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,30,Ground Burn,140,Stage 1 Pokémon,Discard the top card of each player’s deck. This attack does 140 more damage for each Energy card discarded in this way.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,31,Allure,,Basic Pokémon,Draw 2 cards.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,31,Ground Melter,60,Basic Pokémon,"If a Stadium is in play, this attack does 60 more damage. Then, discard that Stadium."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,32,Permeating Chill,30,Stage 1 Pokémon,"At the end of your opponent’s next turn, put 9 damage counters on the Defending Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,32,Icicle Missile,70,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,33,Flock,,Basic Pokémon,"Search your deck for up to 2 Froakie and put them onto your Bench. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,33,Flop,10,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,34,Numbing Water,20,Stage 1 Pokémon,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,35,Aurora Gain,20,Basic Pokémon,Heal 20 damage from this Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,35,Undulating Slice,20×,Basic Pokémon,Put up to 9 damage counters on this Pokémon. This attack does 20 damage for each damage counter you placed in this way.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,36,Ability] Snack Seek,,Basic Pokémon,"Once during your turn, you may look at the top card of your deck. You may discard that card."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,36,Pick and Stick,,Basic Pokémon,Attach up to 2 Basic Energy cards from your discard pile to your Pokémon in any way you like.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,37,Ability] Initialization,,Basic Pokémon,"As long as this Pokémon is in the Active Spot, Pokémon with a Rule Box in play (both yours and your opponent’s) have no Abilities, except for Future Pokémon. (Pokémon {ex}, Pokémon {V}, etc. have Rule Boxes.)"
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,37,Volt Cyclone,140,Basic Pokémon,Move an Energy from this Pokémon to 1 of your Benched Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,38,Dual Headbutt,30,Basic Pokémon,This attack also does 10 damage to 1 of your Benched Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,39,Heart Sign,30,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,39,Love Resonance,80,Basic Pokémon,"If any of your Pokémon in play are the same type as any of your opponent’s Pokémon in play, this attack does 120 more damage."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,40,Tera,,Stage 2 Pokémon,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,40,Shinobi Blade,170,Stage 2 Pokémon,"You may search your deck for a card and put it into your hand. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,40,Mirage Barrage,,Stage 2 Pokémon,Discard 2 Energy from this Pokémon. This attack does 120 damage to 2 of your opponent’s Pokémon. (Don’t apply Weakness and Resistance for Benched Pokémon.)
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,41,Ground Crasher,30,Basic Pokémon,"If a Stadium is in play, this attack also does 30 damage to each of your opponent’s Benched Pokémon, and discard that Stadium. (Don’t apply Weakness and Resistance for Benched Pokémon.)"
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,41,Hammer In,110,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,42,Find a Friend,,Basic Pokémon,"Search your deck for a Pokémon, reveal it, and put it into your hand. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,42,Rolling Tackle,30,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,43,Ascension,,Basic Pokémon,"Search your deck for a card that evolves from this Pokémon and put it onto this Pokémon to evolve it. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,43,Quick Attack,20,Basic Pokémon,"Flip a coin. If heads, this attack does 20 more damage."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,44,Ability] Seasoned Skill,,Basic Pokémon,Blood Moon used by this Pokémon costs {C} less for each Prize card your opponent has taken.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,44,Blood Moon,240,Basic Pokémon,"During your next turn, this Pokémon can’t use attacks."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,45,Pinpoint Dive,,Basic Pokémon,This attack does 60 damage to 1 of your opponent’s Benched Pokémon {ex} or Benched Pokémon {V}. (Don’t apply Weakness and Resistance for Benched Pokémon.)
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,45,Rear Kick,50,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,46,Heat Blast,60,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,46,Blaze Blitz,260,Basic Pokémon,This Pokémon can’t use Blaze Blitz again until it leaves the Active Spot.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,47,Big Bite,10,Basic Pokémon,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,48,Reverse Thrust,30,Stage 1 Pokémon,Switch this Pokémon with 1 of your Benched Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,49,Ability] Torrential Heart,,Stage 2 Pokémon,"Once during your turn, you may put 5 damage counters on this Pokémon. If you do, during this turn, attacks used by this Pokémon do 120 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,49,Giant Wave,160,Stage 2 Pokémon,"During your next turn, this Pokémon can’t use Giant Wave."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,50,Lucky Find,,Basic Pokémon,"Search your deck for an Item card, reveal it, and put it into your hand. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,50,Aqua Bomb,40,Basic Pokémon,This Pokémon also does 20 damage to itself.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,51,Vanguard Punch,130,Stage 1 Pokémon,This Pokémon also does 10 damage to itself for each damage counter on it.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,51,Double Hit,90×,Stage 1 Pokémon,Flip 2 coins. This attack does 90 damage for each heads.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,52,Tera,,Stage 1 Pokémon,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,52,Tricolor Pump,,Stage 1 Pokémon,Discard up to 3 Energy cards from your hand. This attack does 60 damage to 1 of your opponent’s Pokémon for each Energy card you discarded in this way. (Don’t apply Weakness and Resistance for Benched Pokémon.)
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,52,Numbing Hold,120,Stage 1 Pokémon,"During your opponent’s next turn, the Defending Pokémon can’t retreat."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,53,Ball Roll,10×,Basic Pokémon,Flip a coin until you get tails. This attack does 10 damage for each heads.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,53,Magical Shot,40,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,54,Mirror Attack,10,Basic Pokémon,"If your opponent’s Active Pokémon is a {P} Pokémon, this attack does 30 more damage."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,55,Evolution Jammer,30,Stage 1 Pokémon,"During your opponent’s next turn, they can’t play any Pokémon from their hand to evolve their Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,55,Super Psy Bolt,100,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,56,Ability] Midnight Fluttering,,Basic Pokémon,"As long as this Pokémon is in the Active Spot, your opponent’s Active Pokémon has no Abilities, except for Midnight Fluttering."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,56,Hex Hurl,90,Basic Pokémon,Put 2 damage counters on your opponent’s Benched Pokémon in any way you like.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,57,Ability] Memory Dive,,Basic Pokémon,Each of your evolved Pokémon can use any attack from its previous Evolutions. (You still need the necessary Energy to use each attack.)
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,57,Razor Fin,30,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,58,Land Collapse,,Basic Pokémon,"Discard the top card of your opponent’s deck. If you played an Ancient Supporter card from your hand during this turn, discard 3 more cards in this way."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,58,Giant Tusk,160,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,59,Mysterious Beam,,Basic Pokémon,"Flip a coin. If heads, discard an Energy from your opponent’s Active Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,59,Suffocating Gas,30,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,60,Super Poison Breath,30,Stage 1 Pokémon,Your opponent’s Active Pokémon is now Poisoned.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,61,Vengeance Fletching,70,Basic Pokémon,This attack does 10 more damage for each Ancient card in your discard pile.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,61,Speed Wing,120,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,62,Primordial Beatdown,30×,Basic Pokémon,This attack does 30 damage for each of your Ancient Pokémon in play.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,62,Shred,130,Basic Pokémon,This attack’s damage isn’t affected by any effects on your opponent’s Active Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,63,Burst Roar,,Basic Pokémon,Discard your hand and draw 6 cards.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,63,Bellowing Thunder,70×,Basic Pokémon,You may discard any amount of Basic Energy from your Pokémon. This attack does 70 damage for each card you discarded in this way.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,64,Silent Wing,20,Basic Pokémon,Your opponent reveals their hand.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,65,Gnaw,10,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,65,Dig,30,Basic Pokémon,"Flip a coin. If heads, during your opponent’s next turn, prevent all damage from and effects of attacks done to this Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,66,Ability] Run Away Draw,,Stage 1 Pokémon,"Once during your turn, you may draw 3 cards. If you drew any cards in this way, shuffle this Pokémon and all attached cards into your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,66,Land Crush,90,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,67,Ram,50,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,68,Rigidify,,Basic Pokémon,"During your opponent’s next turn, this Pokémon takes 30 less damage from attacks (after applying Weakness and Resistance)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,68,Hang Down,20,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,69,Corkscrew Punch,20,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,69,Comet Slap,30×,Stage 1 Pokémon,Flip 3 coins. This attack does 30 damage for each heads.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,70,Expelling Tornado,,Stage 2 Pokémon,"Choose 3 of your opponent’s Benched Pokémon. If you do, shuffle all of your opponent’s Benched Pokémon that you didn’t choose, and all cards attached to those Pokémon, into their deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,70,Energy Loop,140,Stage 2 Pokémon,Put an Energy attached to this Pokémon into your hand.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,71,Flop,10,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,71,Leaf Litter Tackle,40,Basic Pokémon,Discard a {G} Energy from this Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,72,Ability] Changing Seasons,,Stage 1 Pokémon,"Once during your turn, you may search your deck for a Stadium card, reveal it, and put it into your hand. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,72,Superpowered Horns,110,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,73,Slight Intrusion,30,Basic Pokémon,This Pokémon also does 10 damage to itself.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,74,Ability] Spherical Shield,,Stage 1 Pokémon,Prevent all damage from and effects of attacks from your opponent’s Pokémon done to your Benched Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,74,Psychic,10,Stage 1 Pokémon,This attack does 30 more damage for each Energy attached to your opponent’s Active Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,75,Ability] Rapid Vernier,,Basic Pokémon,"When you play this Pokémon from your hand onto your Bench during your turn, you may switch it with your Active Pokémon. If you do, you may move any amount of Energy from your other Pokémon to this Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,75,Prism Edge,180,Basic Pokémon,"During your next turn, this Pokémon can’t use attacks."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,76,Roasting Heat,10,Basic Pokémon,"If your opponent’s Active Pokémon is Burned, this attack does 40 more damage."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,77,Fake Out,10,Basic Pokémon,"Flip a coin. If heads, your opponent’s Active Pokémon is now Paralyzed."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,78,Bite,30,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,78,Flare Strike,80,Stage 1 Pokémon,"During your next turn, this Pokémon can’t use Flare Strike."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,79,Ability] Hustle Play,,Stage 2 Pokémon,Attacks used by this Pokémon cost {C} less for each of your opponent’s Benched Pokémon.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,79,Blaze Blast,240,Stage 2 Pokémon,Your opponent’s Active Pokémon is now Burned.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,80,Ability] Cobalt Command,,Basic Pokémon,"Attacks used by your Future Pokémon, except any Iron Crown {ex}, do 20 more damage to your opponent’s Active Pokémon (before applying Weakness and Resistance)."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,80,Twin Shotels,,Basic Pokémon,"This attack does 50 damage to 2 of your opponent’s Pokémon. This attack’s damage isn’t affected by Weakness or Resistance, or by any effects on those Pokémon."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,81,Ability] Dig Dig Dig,,Basic Pokémon,"When you play this Pokémon from your hand onto your Bench during your turn, you may search your deck for up to 3 Basic {F} Energy cards and discard them. Then, shuffle your deck."
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,81,Sand Spray,20,Basic Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,82,Mud Shot,20,Stage 1 Pokémon,nan
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,82,Wild Tackle,180,Stage 1 Pokémon,This Pokémon also does 50 damage to itself.
D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\notebooks\data\processed\pokemon_cards_processed.csv,83,Tera,,Stage 1 Pokémon,"As long as this Pokémon is on your Bench, prevent all damage done to this Pokémon by attacks (both yours and your opponent’s)."
