scenario_id,condition_id,turn_number,acting_side,active_card,legal_moves,selected_move,raw_prediction,confidence,routing_reason,legal_move_list,legal_move_count,action_state_type,is_strategic_opportunity,player_card,opponent_card,starting_side,battle_winner,battle_turns,final_player_hp,final_opponent_hp,player_outcome,player_win_flag,player_loss_flag,draw_flag,acting_side_won,acting_side_lost,decision_outcome_context,confidence_band,player_has_choice
T52_S001__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Player,Player,9,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__BASELINE,BASELINE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__BASELINE,BASELINE,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__BASELINE,BASELINE,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Opponent,7,0.0,20.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__HP_PRESSURE,HP_PRESSURE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Opponent,3,0.0,40.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Player,10,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Player,10,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Player,10,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Player,10,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S002__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Bulbasaur,"[""Bind Down""]",Bind Down,Bind Down,1.0,ONLY_LEGAL_MOVE,"[""Bind Down""]",1,SINGLE_ACTION,False,Bulbasaur,Eevee,Opponent,Player,10,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__BASELINE,BASELINE,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,40.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__BASELINE,BASELINE,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,40.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__BASELINE,BASELINE,5,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,40.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__HP_PRESSURE,HP_PRESSURE,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Opponent,4,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__HP_PRESSURE,HP_PRESSURE,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Opponent,4,0.0,10.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S003__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Player,Player,5,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__BASELINE,BASELINE,2,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__BASELINE,BASELINE,4,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__BASELINE,BASELINE,6,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,20.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__HP_PRESSURE,HP_PRESSURE,2,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Opponent,3,0.0,30.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S004__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Charmander,"[""Live Coal""]",Live Coal,Live Coal,1.0,ONLY_LEGAL_MOVE,"[""Live Coal""]",1,SINGLE_ACTION,False,Charmander,Eevee,Opponent,Player,6,80.0,0.0,WIN,1,0,0,True,False,WINNING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,1,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,3,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,5,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,7,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,9,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__BASELINE,BASELINE,11,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,12,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__HP_PRESSURE,HP_PRESSURE,1,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,6,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__HP_PRESSURE,HP_PRESSURE,3,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,6,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__HP_PRESSURE,HP_PRESSURE,5,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Opponent,6,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,1,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,3,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,5,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,7,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,9,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,11,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,13,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,15,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,17,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,19,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,21,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,23,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,25,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,27,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S005__ENERGY_PRESSURE,ENERGY_PRESSURE,29,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Player,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__BASELINE,BASELINE,2,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__BASELINE,BASELINE,4,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__BASELINE,BASELINE,6,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__BASELINE,BASELINE,8,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__BASELINE,BASELINE,10,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,11,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__HP_PRESSURE,HP_PRESSURE,2,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,5,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__HP_PRESSURE,HP_PRESSURE,4,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Opponent,5,0.0,80.0,LOSS,0,1,0,False,True,LOSING_SIDE_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,2,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,4,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,6,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,8,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,10,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,12,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,14,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
T52_S006__ENERGY_PRESSURE,ENERGY_PRESSURE,16,Player,Meowth,"[""Tuck Tail""]",Tuck Tail,Tuck Tail,1.0,ONLY_LEGAL_MOVE,"[""Tuck Tail""]",1,SINGLE_ACTION,False,Meowth,Bulbasaur,Opponent,Draw,30,60.0,80.0,DRAW,0,0,1,False,False,DRAW_CONTEXT,VERY_HIGH,False
