battle_number,scenario_id,scenario_name,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,8,Opponent,['Bind Down'],Bind Down,Ascension,0.6773333333333333,0.0013333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,9,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6293333333333333,0.050666666666666665,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,10,Opponent,['Bind Down'],Bind Down,Ascension,0.652,0.0013333333333333333,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,11,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6306666666666667,0.05466666666666667,False,
5,T52_S005,Meowth_vs_Bulbasaur_Player_Start,12,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,1,Opponent,['Bind Down'],Bind Down,Ascension,0.648,0.0,True,All matching legal actions had zero policy probability.
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,2,Player,['Tuck Tail'],Tuck Tail,Ascension,0.764,0.036,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,3,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,4,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7586666666666667,0.036,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,5,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,6,Player,['Tuck Tail'],Tuck Tail,Ascension,0.704,0.03866666666666667,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,7,Opponent,['Bind Down'],Bind Down,Ascension,0.684,0.0013333333333333333,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,8,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6466666666666666,0.058666666666666666,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,9,Opponent,['Bind Down'],Bind Down,Ascension,0.652,0.0013333333333333333,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,10,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6306666666666667,0.05466666666666667,False,
6,T52_S006,Meowth_vs_Bulbasaur_Opponent_Start,11,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,
7,T52_S007,Critical_HP_Bulbasaur_vs_Eevee,9,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,1.0,1.0,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,2,Player,['Ascension'],Ascension,Ascension,0.9893333333333333,0.9893333333333333,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,3,Opponent,['Live Coal'],Live Coal,Ascension,0.9453333333333334,0.050666666666666665,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,4,Player,['Ascension'],Ascension,Ascension,0.9786666666666667,0.9786666666666667,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,5,Opponent,['Live Coal'],Live Coal,Ascension,0.9386666666666666,0.050666666666666665,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,6,Player,['Ascension'],Ascension,Ascension,0.864,0.864,False,
8,T52_S008,Low_Energy_Eevee_vs_Charmander,7,Opponent,['Live Coal'],Live Coal,Ascension,0.8066666666666666,0.072,False,
