variant_id,status,attempts,last_error,search_depth,completed_at
NB48_LOSS_204__early_pressure__954bea776c08,COMPLETED,2,,4,2026-07-30T22:02:28.845463
NB48_LOSS_204__balanced_midgame__7245ed541328,COMPLETED,2,,4,2026-07-30T22:02:28.853938
NB48_LOSS_204__player_under_pressure__70c5279f8e20,COMPLETED,2,,4,2026-07-30T22:02:28.863563
NB48_LOSS_204__opponent_under_pressure__514c9d11c151,COMPLETED,2,,4,2026-07-30T22:02:28.871736
NB48_LOSS_204__late_game_prize_pressure__376584c37a9c,COMPLETED,2,,4,2026-07-30T22:02:28.882391
NB48_LOSS_204__critical_hp_decision__821c8f3d89e9,COMPLETED,2,,4,2026-07-30T22:02:28.892514
NB48_LOSS_204__counterfactual_side_early__35e0ede11891,COMPLETED,2,,4,2026-07-30T22:02:28.900727
NB48_LOSS_204__counterfactual_side_late__f0a81cac4bb0,COMPLETED,2,,4,2026-07-30T22:02:28.910537
NB48_LOSS_216__opening_zero_energy__f2d46703abcb,COMPLETED,2,,4,2026-07-30T22:02:28.919015
NB48_LOSS_216__opening_one_energy__eabd5b37f5d3,COMPLETED,2,,4,2026-07-30T22:02:28.927800
NB48_LOSS_216__early_pressure__7bda6b7f9aa2,COMPLETED,2,,4,2026-07-30T22:02:28.935837
NB48_LOSS_216__balanced_midgame__6c9466ca2634,COMPLETED,2,,4,2026-07-30T22:02:28.945926
NB48_LOSS_216__player_under_pressure__3348aa267689,COMPLETED,2,,4,2026-07-30T22:02:28.955197
NB48_LOSS_216__opponent_under_pressure__8c89efe56663,COMPLETED,2,,4,2026-07-30T22:02:28.964370
NB48_LOSS_216__late_game_prize_pressure__894eed0c8ad3,COMPLETED,2,,4,2026-07-30T22:02:28.973951
NB48_LOSS_216__critical_hp_decision__cea3cb652181,COMPLETED,2,,4,2026-07-30T22:02:28.984256
NB48_LOSS_216__counterfactual_side_early__26795b53438d,COMPLETED,2,,4,2026-07-30T22:02:28.993250
NB48_LOSS_216__counterfactual_side_late__84b6e6281f96,COMPLETED,2,,4,2026-07-30T22:02:29.002620
NB48_LOSS_228__opening_zero_energy__4943243dc623,COMPLETED,2,,4,2026-07-30T22:02:29.016403
NB48_LOSS_228__opening_one_energy__433d51cb36b4,COMPLETED,2,,4,2026-07-30T22:02:29.028088
NB48_LOSS_228__early_pressure__a5ba2ad82f78,COMPLETED,2,,4,2026-07-30T22:02:29.039079
NB48_LOSS_228__balanced_midgame__27ab46f1c0e9,COMPLETED,2,,4,2026-07-30T22:02:29.048686
NB48_LOSS_228__player_under_pressure__2ab68617a760,COMPLETED,2,,4,2026-07-30T22:02:29.058237
NB48_LOSS_228__opponent_under_pressure__86095c345aa7,COMPLETED,2,,4,2026-07-30T22:02:29.068323
NB48_LOSS_228__late_game_prize_pressure__49207742501b,COMPLETED,2,,4,2026-07-30T22:02:29.078776
NB48_LOSS_228__critical_hp_decision__f505270a1074,COMPLETED,2,,4,2026-07-30T22:02:29.088589
NB48_LOSS_228__counterfactual_side_early__63b4a1a74f52,COMPLETED,2,,4,2026-07-30T22:02:29.098578
NB48_LOSS_228__counterfactual_side_late__f819695ede9f,COMPLETED,2,,4,2026-07-30T22:02:29.107509
NB48_LOSS_240__opening_zero_energy__ed8074dd298f,COMPLETED,2,,4,2026-07-30T22:02:29.118075
NB48_LOSS_240__opening_one_energy__3c42f234449e,COMPLETED,2,,4,2026-07-30T22:02:29.127220
NB48_LOSS_240__early_pressure__fdc7adcb78ec,COMPLETED,2,,4,2026-07-30T22:02:29.135551
NB48_LOSS_240__balanced_midgame__67c4cab2d448,COMPLETED,2,,4,2026-07-30T22:02:29.145046
NB48_LOSS_240__player_under_pressure__1e918c4601c7,COMPLETED,2,,4,2026-07-30T22:02:29.154382
NB48_LOSS_240__opponent_under_pressure__bb86e83ea7ec,COMPLETED,2,,4,2026-07-30T22:02:29.163824
NB48_LOSS_240__late_game_prize_pressure__0f56dc2fb51b,COMPLETED,2,,4,2026-07-30T22:02:29.172804
NB48_LOSS_240__critical_hp_decision__747de985f320,COMPLETED,2,,4,2026-07-30T22:02:29.182251
NB48_LOSS_240__counterfactual_side_early__70b2f56cf980,COMPLETED,2,,4,2026-07-30T22:02:29.190656
NB48_LOSS_240__counterfactual_side_late__d908aca4d7ba,COMPLETED,2,,4,2026-07-30T22:02:29.199833
NB48_LOSS_252__opening_zero_energy__ac9a1ba099a7,COMPLETED,2,,4,2026-07-30T22:02:29.208308
NB48_LOSS_252__opening_one_energy__79f1cd9377ee,COMPLETED,2,,4,2026-07-30T22:02:29.216963
NB48_LOSS_252__early_pressure__4b7e89841669,COMPLETED,2,,4,2026-07-30T22:02:29.226244
NB48_LOSS_252__balanced_midgame__1b15b6cb7dbf,COMPLETED,2,,4,2026-07-30T22:02:29.235469
NB48_LOSS_252__player_under_pressure__83856482127c,COMPLETED,2,,4,2026-07-30T22:02:29.244999
NB48_LOSS_252__opponent_under_pressure__dd72b3c484a6,COMPLETED,2,,4,2026-07-30T22:02:29.259151
NB48_LOSS_252__late_game_prize_pressure__9dc185fa442e,COMPLETED,2,,4,2026-07-30T22:02:29.269435
NB48_LOSS_252__critical_hp_decision__440f73b5083c,COMPLETED,2,,4,2026-07-30T22:02:29.282361
NB48_LOSS_252__counterfactual_side_early__8a1f3f6ded2c,COMPLETED,2,,4,2026-07-30T22:02:29.290851
NB48_LOSS_252__counterfactual_side_late__31ed18b39ba5,COMPLETED,2,,4,2026-07-30T22:02:29.301083
NB48_LOSS_264__opening_zero_energy__bcec5b00c3c1,COMPLETED,2,,4,2026-07-30T22:02:29.309968
NB48_LOSS_264__opening_one_energy__13bb28f787b9,COMPLETED,2,,4,2026-07-30T22:02:29.319663
NB48_LOSS_264__early_pressure__3737cab1a999,COMPLETED,2,,4,2026-07-30T22:02:29.330378
NB48_LOSS_264__balanced_midgame__69ed2407cc6a,COMPLETED,2,,4,2026-07-30T22:02:29.338881
NB48_LOSS_264__player_under_pressure__993a1b44fb16,COMPLETED,2,,4,2026-07-30T22:02:29.350349
NB48_LOSS_264__opponent_under_pressure__e5d27d28d48c,COMPLETED,2,,4,2026-07-30T22:02:29.359097
NB48_LOSS_264__late_game_prize_pressure__f62e74e88a37,COMPLETED,2,,4,2026-07-30T22:02:29.368622
NB48_LOSS_264__critical_hp_decision__4918dc13f369,COMPLETED,2,,4,2026-07-30T22:02:29.377902
NB48_LOSS_264__counterfactual_side_early__2895b96960af,COMPLETED,2,,4,2026-07-30T22:02:29.387032
NB48_LOSS_264__counterfactual_side_late__b72cdacca4d5,COMPLETED,2,,4,2026-07-30T22:02:29.396473
NB48_LOSS_276__opening_zero_energy__00df344beb7e,COMPLETED,2,,4,2026-07-30T22:02:29.404666
NB48_LOSS_276__opening_one_energy__9842ef471fd2,COMPLETED,2,,4,2026-07-30T22:02:29.413786
NB48_LOSS_276__early_pressure__534fcbd05ae9,COMPLETED,2,,4,2026-07-30T22:02:29.422635
NB48_LOSS_276__balanced_midgame__fa167464fbbf,COMPLETED,2,,4,2026-07-30T22:02:29.431337
NB48_LOSS_276__player_under_pressure__6ade1f58f467,COMPLETED,2,,4,2026-07-30T22:02:29.440344
NB48_LOSS_276__opponent_under_pressure__a8fd3c59c8c4,COMPLETED,2,,4,2026-07-30T22:02:29.448886
NB48_LOSS_276__late_game_prize_pressure__a7748e9f03cd,COMPLETED,2,,4,2026-07-30T22:02:29.458148
NB48_LOSS_276__critical_hp_decision__5ab4c2d8abfd,COMPLETED,2,,4,2026-07-30T22:02:29.467518
NB48_LOSS_276__counterfactual_side_early__1490e6d59d33,COMPLETED,2,,4,2026-07-30T22:02:29.476574
NB48_LOSS_276__counterfactual_side_late__c183e036798b,COMPLETED,2,,4,2026-07-30T22:02:29.487356
NB48_LOSS_288__opening_zero_energy__d4d08e8f7a7c,COMPLETED,2,,4,2026-07-30T22:02:29.500727
NB48_LOSS_288__opening_one_energy__41d3c96dccd6,COMPLETED,2,,4,2026-07-30T22:02:29.511243
NB48_LOSS_288__early_pressure__e5cd10152fe3,COMPLETED,2,,4,2026-07-30T22:02:29.520617
NB48_LOSS_288__balanced_midgame__dd2ed0176737,COMPLETED,2,,4,2026-07-30T22:02:29.530113
NB48_LOSS_288__player_under_pressure__a02dd3e36f4b,COMPLETED,2,,4,2026-07-30T22:02:29.538868
NB48_LOSS_288__opponent_under_pressure__abd195bd6660,COMPLETED,2,,4,2026-07-30T22:02:29.547202
NB48_LOSS_288__late_game_prize_pressure__731538a2d7c6,COMPLETED,2,,4,2026-07-30T22:02:29.556569
NB48_LOSS_288__critical_hp_decision__f4e2e201e76e,COMPLETED,2,,4,2026-07-30T22:02:29.565810
NB48_LOSS_288__counterfactual_side_early__1b5822bf7e54,COMPLETED,2,,4,2026-07-30T22:02:29.574192
NB48_LOSS_288__counterfactual_side_late__f8b69eb8be61,COMPLETED,2,,4,2026-07-30T22:02:29.583028
NB48_LOSS_300__opening_zero_energy__689fe6dc5e62,COMPLETED,2,,4,2026-07-30T22:02:29.591184
NB48_LOSS_300__opening_one_energy__75cd0c27dd82,COMPLETED,2,,4,2026-07-30T22:02:29.599287
NB48_LOSS_300__early_pressure__afd0c18169af,COMPLETED,2,,4,2026-07-30T22:02:29.607562
NB48_LOSS_300__balanced_midgame__7be2d7bd2dc2,COMPLETED,2,,4,2026-07-30T22:02:29.615929
NB48_LOSS_300__player_under_pressure__8640ae759784,COMPLETED,2,,4,2026-07-30T22:02:29.625536
NB48_LOSS_300__opponent_under_pressure__c7553082ed98,COMPLETED,2,,4,2026-07-30T22:02:29.633676
NB48_LOSS_300__late_game_prize_pressure__6990d63d4689,COMPLETED,2,,4,2026-07-30T22:02:29.642905
NB48_LOSS_300__critical_hp_decision__88c98302b6ce,COMPLETED,2,,4,2026-07-30T22:02:29.651875
NB48_LOSS_300__counterfactual_side_early__6a2c80ce0e0e,COMPLETED,2,,4,2026-07-30T22:02:29.659865
NB48_LOSS_300__counterfactual_side_late__a2fb48598e69,COMPLETED,2,,4,2026-07-30T22:02:29.668513
NB48_LOSS_202__opening_zero_energy__edf2ad7fa5d7,COMPLETED,2,,4,2026-07-30T22:02:29.676436
NB48_LOSS_202__opening_one_energy__ab2c5f38346d,COMPLETED,2,,4,2026-07-30T22:02:29.684369
NB48_LOSS_202__early_pressure__c57ff1534cac,COMPLETED,2,,4,2026-07-30T22:02:29.692677
NB48_LOSS_202__balanced_midgame__407073fe698b,COMPLETED,2,,4,2026-07-30T22:02:29.700115
NB48_LOSS_202__player_under_pressure__5d966d30bc27,COMPLETED,2,,4,2026-07-30T22:02:29.708924
NB48_LOSS_202__opponent_under_pressure__27667240158e,COMPLETED,2,,4,2026-07-30T22:02:29.721366
NB48_LOSS_202__late_game_prize_pressure__1d221c2d7674,COMPLETED,2,,4,2026-07-30T22:02:29.730117
NB48_LOSS_202__critical_hp_decision__f440b9ca157b,COMPLETED,2,,4,2026-07-30T22:02:29.738970
NB48_LOSS_202__counterfactual_side_early__709a15577344,COMPLETED,2,,4,2026-07-30T22:02:29.747927
NB48_LOSS_202__counterfactual_side_late__f57171c00484,COMPLETED,2,,4,2026-07-30T22:02:29.756091
NB48_LOSS_206__opening_zero_energy__35672529806e,COMPLETED,2,,4,2026-07-30T22:02:29.767193
NB48_LOSS_206__opening_one_energy__e6e4c6eb8693,COMPLETED,2,,4,2026-07-30T22:02:29.776394
NB48_LOSS_206__early_pressure__989ae904ea8f,COMPLETED,2,,4,2026-07-30T22:02:29.786656
NB48_LOSS_206__balanced_midgame__74e9ec925fcf,COMPLETED,2,,4,2026-07-30T22:02:29.796306
NB48_LOSS_206__player_under_pressure__058acdc3b2fa,COMPLETED,2,,4,2026-07-30T22:02:29.806136
NB48_LOSS_206__opponent_under_pressure__f1ac5e310ccd,COMPLETED,2,,4,2026-07-30T22:02:29.815201
NB48_LOSS_206__late_game_prize_pressure__28813226caf0,COMPLETED,2,,4,2026-07-30T22:02:29.824261
NB48_LOSS_206__critical_hp_decision__bb1c0eed9c53,COMPLETED,2,,4,2026-07-30T22:02:29.833722
NB48_LOSS_206__counterfactual_side_early__3b899be5ba61,COMPLETED,2,,4,2026-07-30T22:02:29.842958
NB48_LOSS_206__counterfactual_side_late__3db845d2f1b3,COMPLETED,2,,4,2026-07-30T22:02:29.851842
NB48_LOSS_214__opening_zero_energy__601a2b55c9f0,COMPLETED,2,,4,2026-07-30T22:02:29.860360
NB48_LOSS_214__opening_one_energy__87ef7ddfaeab,COMPLETED,2,,4,2026-07-30T22:02:29.868375
NB48_LOSS_214__early_pressure__1b58a8eedfcf,COMPLETED,2,,4,2026-07-30T22:02:29.876646
NB48_LOSS_214__balanced_midgame__c85eb9419afb,COMPLETED,2,,4,2026-07-30T22:02:29.884738
NB48_LOSS_214__player_under_pressure__1fa48d0faf62,COMPLETED,2,,4,2026-07-30T22:02:29.893698
NB48_LOSS_214__opponent_under_pressure__1d12da509494,COMPLETED,2,,4,2026-07-30T22:02:29.901057
NB48_LOSS_214__late_game_prize_pressure__ae99b3d011ab,COMPLETED,2,,4,2026-07-30T22:02:29.910276
NB48_LOSS_214__critical_hp_decision__eafcbd2404cf,COMPLETED,2,,4,2026-07-30T22:02:29.919351
NB48_LOSS_214__counterfactual_side_early__81675742a2d2,COMPLETED,2,,4,2026-07-30T22:02:29.928157
NB48_LOSS_214__counterfactual_side_late__c9740dd638be,COMPLETED,2,,4,2026-07-30T22:02:29.936202
NB48_LOSS_218__opening_zero_energy__b4185f4b938d,COMPLETED,2,,4,2026-07-30T22:02:29.950953
NB48_LOSS_218__opening_one_energy__5a6c3d01011c,COMPLETED,2,,4,2026-07-30T22:02:29.961048
NB48_LOSS_218__early_pressure__2ce5136df477,COMPLETED,2,,4,2026-07-30T22:02:29.972038
NB48_LOSS_218__balanced_midgame__278c271750fa,COMPLETED,2,,4,2026-07-30T22:02:29.983133
NB48_LOSS_218__player_under_pressure__07601bdf2184,COMPLETED,2,,4,2026-07-30T22:02:29.993462
NB48_LOSS_218__opponent_under_pressure__38ae179b4ef0,COMPLETED,2,,4,2026-07-30T22:02:30.002536
NB48_LOSS_218__late_game_prize_pressure__5267333c8b2f,COMPLETED,2,,4,2026-07-30T22:02:30.011851
NB48_LOSS_218__critical_hp_decision__5b7d60a1eb95,COMPLETED,2,,4,2026-07-30T22:02:30.021201
NB48_LOSS_218__counterfactual_side_early__5f1111ab7941,COMPLETED,2,,4,2026-07-30T22:02:30.030649
NB48_LOSS_218__counterfactual_side_late__58e630537645,COMPLETED,2,,4,2026-07-30T22:02:30.039389
NB48_LOSS_226__opening_zero_energy__2e44d8b0157f,COMPLETED,2,,4,2026-07-30T22:02:30.047645
NB48_LOSS_226__opening_one_energy__ab29aeb74f21,COMPLETED,2,,4,2026-07-30T22:02:30.055139
NB48_LOSS_226__early_pressure__f6427d4fcd76,COMPLETED,2,,4,2026-07-30T22:02:30.064795
NB48_LOSS_226__balanced_midgame__934cf9877ff8,COMPLETED,2,,4,2026-07-30T22:02:30.072388
NB48_LOSS_226__player_under_pressure__c72733907abf,COMPLETED,2,,4,2026-07-30T22:02:30.081720
NB48_LOSS_226__opponent_under_pressure__619165bfbfc4,COMPLETED,2,,4,2026-07-30T22:02:30.089539
NB48_LOSS_226__late_game_prize_pressure__6f19235fadfc,COMPLETED,2,,4,2026-07-30T22:02:30.099658
NB48_LOSS_226__critical_hp_decision__41449ad8a139,COMPLETED,2,,4,2026-07-30T22:02:30.110686
NB48_LOSS_226__counterfactual_side_early__dd3ef72ec770,COMPLETED,2,,4,2026-07-30T22:02:30.119344
NB48_LOSS_226__counterfactual_side_late__1403abb2ec78,COMPLETED,2,,4,2026-07-30T22:02:30.128893
NB48_LOSS_230__opening_zero_energy__a261be720a71,COMPLETED,2,,4,2026-07-30T22:02:30.137935
NB48_LOSS_230__opening_one_energy__2feb7b93f2cd,COMPLETED,2,,4,2026-07-30T22:02:30.148164
NB48_LOSS_230__early_pressure__bd4af04895fb,COMPLETED,2,,4,2026-07-30T22:02:30.158011
NB48_LOSS_230__balanced_midgame__21c81036be65,COMPLETED,2,,4,2026-07-30T22:02:30.168733
NB48_LOSS_230__player_under_pressure__cc06266f9949,COMPLETED,2,,4,2026-07-30T22:02:30.180081
NB48_LOSS_230__opponent_under_pressure__dd46361538b1,COMPLETED,2,,4,2026-07-30T22:02:30.194502
NB48_LOSS_230__late_game_prize_pressure__a063bc072403,COMPLETED,2,,4,2026-07-30T22:02:30.205116
NB48_LOSS_230__critical_hp_decision__839f0f240c50,COMPLETED,2,,4,2026-07-30T22:02:30.217439
NB48_LOSS_230__counterfactual_side_early__318290dbe50e,COMPLETED,2,,4,2026-07-30T22:02:30.230176
NB48_LOSS_230__counterfactual_side_late__107a1c510a66,COMPLETED,2,,4,2026-07-30T22:02:30.239779
NB48_LOSS_238__opening_zero_energy__a279de2bdb52,COMPLETED,2,,4,2026-07-30T22:02:30.248455
NB48_LOSS_238__opening_one_energy__268a16790a05,COMPLETED,2,,4,2026-07-30T22:02:30.256829
NB48_LOSS_238__early_pressure__a4a2bfb88072,COMPLETED,2,,4,2026-07-30T22:02:30.265171
NB48_LOSS_238__balanced_midgame__11f1b807875a,COMPLETED,2,,4,2026-07-30T22:02:30.273607
NB48_LOSS_238__player_under_pressure__c4c89f08d1b0,COMPLETED,2,,4,2026-07-30T22:02:30.282500
NB48_LOSS_238__opponent_under_pressure__43f10458845f,COMPLETED,2,,4,2026-07-30T22:02:30.290967
NB48_LOSS_238__late_game_prize_pressure__3bbbeba879da,COMPLETED,2,,4,2026-07-30T22:02:30.300227
NB48_LOSS_238__critical_hp_decision__da7568823404,COMPLETED,2,,4,2026-07-30T22:02:30.309557
NB48_LOSS_238__counterfactual_side_early__8a8f0d77e17f,COMPLETED,2,,4,2026-07-30T22:02:30.318501
NB48_LOSS_238__counterfactual_side_late__83144822eebd,COMPLETED,2,,4,2026-07-30T22:02:30.327558
NB48_LOSS_242__opening_zero_energy__6ba5cf310b59,COMPLETED,2,,4,2026-07-30T22:02:30.337491
NB48_LOSS_242__opening_one_energy__46e23040b598,COMPLETED,2,,4,2026-07-30T22:02:30.348297
NB48_LOSS_242__early_pressure__f3d87349f2c6,COMPLETED,2,,4,2026-07-30T22:02:30.358670
NB48_LOSS_242__balanced_midgame__3e52b5fae3ee,COMPLETED,2,,4,2026-07-30T22:02:30.368080
