game_number,game_id,winner,total_turns,final_score,replay_steps,transcript_characters
45,8bae3d4c-579d-48d4-9bbc-1e474566a198,TrainingAgent,3,170.0,3,1024
46,2c9e7763-bf44-4260-8b85-246a8db8b098,TrainingAgent,4,140.0,4,1288
47,f1796e6b-090e-4b0a-b0f3-05a8466e31df,TrainingAgent,3,170.0,3,1024
48,71661174-e216-4f0a-9959-5bf59cf6ac47,TrainingAgent,4,140.0,4,1288
49,23761276-65b1-48a1-a0a4-b030bbfdbcd1,TrainingAgent,3,170.0,3,1024
50,0134a89f-0a76-484f-9bad-6f249f7ea1b8,TrainingAgent,4,140.0,4,1288
51,298831cc-b3b9-4cc6-844d-6a110fe20241,TrainingAgent,3,170.0,3,1024
52,da0031d7-48a8-4df4-b4ab-bbd137ea4e45,TrainingAgent,4,140.0,4,1288
53,3e72eb99-b08d-4d21-8008-e9e5f6e80f19,TrainingAgent,3,170.0,3,1024
54,62cf1076-d838-4417-bc5b-1849473500e9,TrainingAgent,4,140.0,4,1288
55,75de995e-52c0-4948-bb01-0a07ab6773a9,TrainingAgent,3,170.0,3,1024
56,b03736f5-9453-41e2-b822-966ac36d5c09,TrainingAgent,4,140.0,4,1288
57,89b5b1d2-3861-453c-a67e-9ce1780280ce,TrainingAgent,3,170.0,3,1024
58,905d9026-b5c6-48f6-aa9b-8cdb3ce5ae5c,TrainingAgent,4,140.0,4,1288
59,43b00927-c565-4a00-abdf-1668738a51fc,TrainingAgent,3,170.0,3,1024
60,796f5d7e-3c1b-4d15-af59-7c43412ff509,TrainingAgent,4,140.0,4,1288
61,843e8dda-f13a-4899-92c7-36e23735d3ae,TrainingAgent,3,170.0,3,1024
62,4f8df385-829f-4928-84d1-0199713d87fe,TrainingAgent,4,140.0,4,1288
63,006fc175-08e4-4c97-b42e-c975c8fe8244,TrainingAgent,3,170.0,3,1024
64,9f159572-565a-4224-8521-c1cb4a0356dd,TrainingAgent,4,140.0,4,1288
65,49ce6c24-61a7-4415-9637-c42427106818,TrainingAgent,3,170.0,3,1024
66,5eda2625-e23b-43e2-83bb-7bfeb3a54c55,TrainingAgent,4,140.0,4,1288
67,ec00e12e-bbad-4236-a34a-1bf7317d5790,TrainingAgent,3,170.0,3,1024
68,267d2791-915a-4895-a728-b0a6098c8c48,TrainingAgent,4,140.0,4,1288
69,5a52f7e8-e2b2-472b-ba0f-2257d3714246,TrainingAgent,3,170.0,3,1024
70,5b65ea9f-a769-4169-8961-0e5524181605,TrainingAgent,4,140.0,4,1288
71,afc2f47a-de57-4a6e-934c-78af4dddd002,TrainingAgent,3,170.0,3,1024
72,d8ca2703-673b-456d-96c2-80600ba2921e,TrainingAgent,4,140.0,4,1288
73,20c82c0e-8323-40cb-937f-713d8c3618aa,TrainingAgent,3,170.0,3,1024
74,366bd7f5-8188-4b7e-8266-40f729e90877,TrainingAgent,4,140.0,4,1288
75,6185d530-2d25-4f6f-a046-a5cb8aca0125,TrainingAgent,3,170.0,3,1024
76,39cab634-e451-4c36-93af-fb74f325ba3c,TrainingAgent,4,140.0,4,1288
77,f3485c43-3328-425a-a179-1f477e711d69,TrainingAgent,3,170.0,3,1024
78,2c6151ab-875d-41e3-9f38-d7aafbaca007,TrainingAgent,4,140.0,4,1288
79,d88f5992-73ee-4c30-858b-7eb4f9f7598e,TrainingAgent,3,170.0,3,1024
80,0c177bfc-1ade-480b-a4c9-81aefad6ab91,TrainingAgent,4,140.0,4,1288
81,2702ca63-3277-4363-a956-fa060cabd145,TrainingAgent,3,170.0,3,1024
82,802793f4-0697-4220-b5fc-65f71dda450a,TrainingAgent,4,140.0,4,1288
83,da158b8e-0fed-4196-9cd2-294ef31543ff,TrainingAgent,3,170.0,3,1024
84,af96d5f8-3cd8-4491-be28-32f2f302b012,TrainingAgent,4,140.0,4,1288
85,8a0a12a0-3aa9-4fe4-a556-d79552d10f79,TrainingAgent,3,170.0,3,1024
86,0b0c0f75-e041-4ac6-8c0a-deca9de7b1ff,TrainingAgent,4,140.0,4,1288
87,aca7aa10-b7fc-4e32-aa1d-1d1c1d6b28bf,TrainingAgent,3,170.0,3,1024
88,b9cf7621-a958-472d-bd94-d240149f2ea5,TrainingAgent,4,140.0,4,1288
89,b3bc1a9e-1e8c-4999-9716-5f30f8f0f7a8,TrainingAgent,3,170.0,3,1024
90,215cf4b7-1284-4b7c-b220-b688a7dee88c,TrainingAgent,4,140.0,4,1288
91,a669741c-0467-4df6-b911-23377ba9b1fc,TrainingAgent,3,170.0,3,1024
92,56f09289-5b93-43e1-b0c6-54e9540d6ac1,TrainingAgent,4,140.0,4,1288
93,411b9f6a-c184-44f5-88a9-919ec81ce99a,TrainingAgent,3,170.0,3,1024
94,d8557ee4-76e3-4c94-beec-5c2dafff353b,TrainingAgent,4,140.0,4,1288
95,96ed3987-2af2-4c58-9e88-756a194c873c,TrainingAgent,3,170.0,3,1024
96,bd5b6558-2d8f-4fb5-8e89-87ac01a89177,TrainingAgent,4,140.0,4,1288
97,f3102fe7-1633-4c06-b067-1fc0d0127b6e,TrainingAgent,3,170.0,3,1024
98,cb53106f-594d-463e-9580-3bac02e8c4bc,TrainingAgent,4,140.0,4,1288
99,780c5e27-cc38-4bec-bc81-573c12a9a1b7,TrainingAgent,3,170.0,3,1024
100,60cf5648-3df6-48bb-bc26-1bb20196b640,TrainingAgent,4,140.0,4,1288
