source_scenario_id,scenario_row_count,source_match_id,source_side,curriculum_priority_mean,hard_example_rank_min,sample_weight_mean,source_side_normalized,split_stratum,dataset_split
NB48_LOSS_146,10,146,Opponent,4.0,55,1.5048,opponent,146__opponent,train
NB48_LOSS_147,10,147,Player,2.0,98,1.2353,player,147__player,train
NB48_LOSS_150,10,150,Opponent,4.0,56,1.5048,opponent,150__opponent,train
NB48_LOSS_152,10,152,Opponent,5.333333333333333,39,1.5048,opponent,152__opponent,train
NB48_LOSS_154,10,154,Opponent,4.0,57,1.5048,opponent,154__opponent,train
NB48_LOSS_159,10,159,Player,2.0,99,1.2353,player,159__player,train
NB48_LOSS_170,10,170,Opponent,4.0,61,1.5048,opponent,170__opponent,train
NB48_LOSS_174,10,174,Opponent,4.0,62,1.5048,opponent,174__opponent,train
NB48_LOSS_178,10,178,Opponent,4.0,63,1.5048,opponent,178__opponent,train
NB48_LOSS_188,10,188,Opponent,5.333333333333333,42,1.5048,opponent,188__opponent,train
NB48_LOSS_190,10,190,Opponent,4.0,66,1.5048,opponent,190__opponent,train
NB48_LOSS_194,10,194,Opponent,4.0,67,1.5048,opponent,194__opponent,train
NB48_LOSS_198,10,198,Opponent,4.0,68,1.5048,opponent,198__opponent,train
NB48_LOSS_200,10,200,Opponent,5.333333333333333,43,1.5048,opponent,200__opponent,train
NB48_LOSS_202,10,202,Opponent,6.0,18,1.5048,opponent,202__opponent,train
NB48_LOSS_204,10,204,Opponent,8.0,9,1.5048,opponent,204__opponent,train
NB48_LOSS_206,10,206,Opponent,6.0,19,1.5048,opponent,206__opponent,train
NB48_LOSS_211,10,211,Player,3.0,71,1.2353,player,211__player,train
NB48_LOSS_214,10,214,Opponent,6.0,20,1.5048,opponent,214__opponent,train
NB48_LOSS_216,10,216,Opponent,8.0,10,1.5048,opponent,216__opponent,train
NB48_LOSS_218,10,218,Opponent,6.0,21,1.5048,opponent,218__opponent,train
NB48_LOSS_222,10,222,Opponent,9.0,2,1.5048,opponent,222__opponent,train
NB48_LOSS_223,10,223,Player,3.0,72,1.2353,player,223__player,train
NB48_LOSS_230,10,230,Opponent,6.0,23,1.5048,opponent,230__opponent,train
NB48_LOSS_234,10,234,Opponent,9.0,3,1.5048,opponent,234__opponent,train
NB48_LOSS_235,10,235,Player,3.0,73,1.2353,player,235__player,train
NB48_LOSS_238,10,238,Opponent,6.0,24,1.5048,opponent,238__opponent,train
NB48_LOSS_242,10,242,Opponent,6.0,25,1.5048,opponent,242__opponent,train
NB48_LOSS_246,10,246,Opponent,9.0,4,1.5048,opponent,246__opponent,train
NB48_LOSS_247,10,247,Player,3.0,74,1.2353,player,247__player,train
NB48_LOSS_250,10,250,Opponent,6.0,26,1.5048,opponent,250__opponent,train
NB48_LOSS_258,10,258,Opponent,9.0,5,1.5048,opponent,258__opponent,train
NB48_LOSS_259,10,259,Player,3.0,75,1.2353,player,259__player,train
NB48_LOSS_264,10,264,Opponent,8.0,14,1.5048,opponent,264__opponent,train
NB48_LOSS_266,10,266,Opponent,6.0,29,1.5048,opponent,266__opponent,train
NB48_LOSS_270,10,270,Opponent,9.0,6,1.5048,opponent,270__opponent,train
NB48_LOSS_271,10,271,Player,3.0,76,1.2353,player,271__player,train
NB48_LOSS_274,10,274,Opponent,6.0,30,1.5048,opponent,274__opponent,train
NB48_LOSS_278,10,278,Opponent,6.0,31,1.5048,opponent,278__opponent,train
NB48_LOSS_282,10,282,Opponent,9.0,7,1.5048,opponent,282__opponent,train
NB48_LOSS_283,10,283,Player,3.0,77,1.2353,player,283__player,train
NB48_LOSS_286,10,286,Opponent,6.0,32,1.5048,opponent,286__opponent,train
NB48_LOSS_288,10,288,Opponent,8.0,16,1.5048,opponent,288__opponent,train
NB48_LOSS_290,10,290,Opponent,6.0,33,1.5048,opponent,290__opponent,train
NB48_LOSS_294,10,294,Opponent,9.0,8,1.5048,opponent,294__opponent,train
NB48_LOSS_295,10,295,Player,3.0,78,1.2353,player,295__player,train
NB48_LOSS_298,10,298,Opponent,6.0,34,1.5048,opponent,298__opponent,train
NB48_LOSS_2,10,2,Opponent,2.0,85,1.5048,opponent,2__opponent,validation
NB48_LOSS_40,10,40,Opponent,2.6666666666666665,80,1.5048,opponent,40__opponent,validation
NB48_LOSS_71,10,71,Player,1.0,105,1.2353,player,71__player,validation
NB48_LOSS_82,10,82,Opponent,2.0,93,1.5048,opponent,82__opponent,validation
NB48_LOSS_83,10,83,Player,1.0,106,1.2353,player,83__player,validation
NB48_LOSS_94,10,94,Opponent,2.0,94,1.5048,opponent,94__opponent,validation
NB48_LOSS_114,10,114,Opponent,4.0,47,1.5048,opponent,114__opponent,validation
NB48_LOSS_166,10,166,Opponent,4.0,60,1.5048,opponent,166__opponent,validation
NB48_LOSS_182,10,182,Opponent,4.0,64,1.5048,opponent,182__opponent,validation
NB48_LOSS_183,10,183,Player,2.0,101,1.2353,player,183__player,validation
NB48_LOSS_226,10,226,Opponent,6.0,22,1.5048,opponent,226__opponent,validation
NB48_LOSS_228,10,228,Opponent,8.0,11,1.5048,opponent,228__opponent,validation
NB48_LOSS_240,10,240,Opponent,8.0,12,1.5048,opponent,240__opponent,validation
NB48_LOSS_254,10,254,Opponent,6.0,27,1.5048,opponent,254__opponent,validation
NB48_LOSS_262,10,262,Opponent,6.0,28,1.5048,opponent,262__opponent,validation
NB48_LOSS_276,10,276,Opponent,8.0,15,1.5048,opponent,276__opponent,validation
