variant_id,source_scenario_id,dataset_split
NB48_LOSS_118__counterfactual_side_early__3a3839c7a7a6,NB48_LOSS_118,train
NB48_LOSS_118__counterfactual_side_late__cf78ffd50cbd,NB48_LOSS_118,train
NB48_LOSS_118__critical_hp_decision__0a6e50de3771,NB48_LOSS_118,train
NB48_LOSS_118__early_pressure__d34e7667602c,NB48_LOSS_118,train
NB48_LOSS_118__late_game_prize_pressure__4c0c450d050d,NB48_LOSS_118,train
NB48_LOSS_118__opening_one_energy__e1669675b0dc,NB48_LOSS_118,train
NB48_LOSS_118__opening_zero_energy__caaf8e18fc2c,NB48_LOSS_118,train
NB48_LOSS_118__opponent_under_pressure__dbe5d5c24728,NB48_LOSS_118,train
NB48_LOSS_118__player_under_pressure__48c38c7648ec,NB48_LOSS_118,train
NB48_LOSS_122__balanced_midgame__87250ce26397,NB48_LOSS_122,train
NB48_LOSS_122__counterfactual_side_early__4e84bb63c378,NB48_LOSS_122,train
NB48_LOSS_122__counterfactual_side_late__0df4f0e8f6dc,NB48_LOSS_122,train
NB48_LOSS_122__critical_hp_decision__89f38d910c68,NB48_LOSS_122,train
NB48_LOSS_122__early_pressure__0dc9b19831f2,NB48_LOSS_122,train
NB48_LOSS_122__late_game_prize_pressure__62f09ebb13e9,NB48_LOSS_122,train
NB48_LOSS_122__opening_one_energy__03d50a3aeb83,NB48_LOSS_122,train
NB48_LOSS_122__opening_zero_energy__b1c465502b79,NB48_LOSS_122,train
NB48_LOSS_122__opponent_under_pressure__bc5db4d15430,NB48_LOSS_122,train
NB48_LOSS_122__player_under_pressure__bb450082c558,NB48_LOSS_122,train
NB48_LOSS_123__balanced_midgame__f7d8c4bbf670,NB48_LOSS_123,test
NB48_LOSS_123__counterfactual_side_early__7d826a236356,NB48_LOSS_123,test
NB48_LOSS_123__counterfactual_side_late__45667389c9ee,NB48_LOSS_123,test
NB48_LOSS_123__critical_hp_decision__41a31f717375,NB48_LOSS_123,test
NB48_LOSS_123__early_pressure__0dfc0444848d,NB48_LOSS_123,test
NB48_LOSS_123__late_game_prize_pressure__ede7934d7c41,NB48_LOSS_123,test
NB48_LOSS_123__opening_one_energy__262309e2238f,NB48_LOSS_123,test
NB48_LOSS_123__opening_zero_energy__a453bbb61252,NB48_LOSS_123,test
NB48_LOSS_123__opponent_under_pressure__134ac2cf4c2a,NB48_LOSS_123,test
NB48_LOSS_123__player_under_pressure__3a069279e8c7,NB48_LOSS_123,test
NB48_LOSS_126__balanced_midgame__cac7693e50ee,NB48_LOSS_126,train
NB48_LOSS_126__counterfactual_side_early__4d39272541de,NB48_LOSS_126,train
NB48_LOSS_126__counterfactual_side_late__0194b51fe618,NB48_LOSS_126,train
NB48_LOSS_126__critical_hp_decision__b1186dd2d827,NB48_LOSS_126,train
NB48_LOSS_126__early_pressure__2de64ad746c1,NB48_LOSS_126,train
NB48_LOSS_126__late_game_prize_pressure__31b694e36380,NB48_LOSS_126,train
NB48_LOSS_126__opening_one_energy__6027d5249c4f,NB48_LOSS_126,train
NB48_LOSS_126__opening_zero_energy__a445ef92e6b0,NB48_LOSS_126,train
NB48_LOSS_126__opponent_under_pressure__90b85cc8af28,NB48_LOSS_126,train
NB48_LOSS_126__player_under_pressure__cdec29cf20f6,NB48_LOSS_126,train
NB48_LOSS_128__balanced_midgame__34682b9d82de,NB48_LOSS_128,train
NB48_LOSS_128__counterfactual_side_early__237592b806ee,NB48_LOSS_128,train
NB48_LOSS_128__counterfactual_side_late__da2160b7ad51,NB48_LOSS_128,train
NB48_LOSS_128__critical_hp_decision__87bc251a7760,NB48_LOSS_128,train
NB48_LOSS_128__early_pressure__bace1ce49dc1,NB48_LOSS_128,train
NB48_LOSS_128__late_game_prize_pressure__cc3b74fbe1c2,NB48_LOSS_128,train
NB48_LOSS_128__opening_one_energy__69799ed2a5a6,NB48_LOSS_128,train
NB48_LOSS_128__opening_zero_energy__cfff8229931c,NB48_LOSS_128,train
NB48_LOSS_128__opponent_under_pressure__b489f6be0c68,NB48_LOSS_128,train
NB48_LOSS_128__player_under_pressure__14c0991e79ab,NB48_LOSS_128,train
NB48_LOSS_130__balanced_midgame__d4660f2ec4bd,NB48_LOSS_130,train
NB48_LOSS_130__counterfactual_side_early__ad8c37f83282,NB48_LOSS_130,train
NB48_LOSS_130__counterfactual_side_late__30d92584b141,NB48_LOSS_130,train
NB48_LOSS_130__critical_hp_decision__5ca9f29d2c7a,NB48_LOSS_130,train
NB48_LOSS_130__early_pressure__9a5b9400f1ce,NB48_LOSS_130,train
NB48_LOSS_130__late_game_prize_pressure__3966361485a6,NB48_LOSS_130,train
NB48_LOSS_130__opening_one_energy__4c5971d39c0f,NB48_LOSS_130,train
NB48_LOSS_130__opening_zero_energy__dee25ca75ca0,NB48_LOSS_130,train
NB48_LOSS_130__opponent_under_pressure__b0e002054de1,NB48_LOSS_130,train
NB48_LOSS_130__player_under_pressure__23e53d8f1db0,NB48_LOSS_130,train
NB48_LOSS_134__balanced_midgame__973223dfb997,NB48_LOSS_134,train
NB48_LOSS_134__counterfactual_side_early__1cc4adc5caae,NB48_LOSS_134,train
NB48_LOSS_134__counterfactual_side_late__53238d2d9352,NB48_LOSS_134,train
NB48_LOSS_134__critical_hp_decision__60c39950a9ee,NB48_LOSS_134,train
NB48_LOSS_134__early_pressure__5ec353e6546e,NB48_LOSS_134,train
NB48_LOSS_134__late_game_prize_pressure__7d69319f645f,NB48_LOSS_134,train
NB48_LOSS_134__opening_one_energy__cdbd89e746d1,NB48_LOSS_134,train
NB48_LOSS_134__opening_zero_energy__c3b9e6f95df8,NB48_LOSS_134,train
NB48_LOSS_134__opponent_under_pressure__74f9c4056858,NB48_LOSS_134,train
NB48_LOSS_134__player_under_pressure__9cc1e8529b96,NB48_LOSS_134,train
NB48_LOSS_135__balanced_midgame__41f0acad301a,NB48_LOSS_135,train
NB48_LOSS_135__counterfactual_side_early__59d2fd0c57d3,NB48_LOSS_135,train
NB48_LOSS_135__counterfactual_side_late__a258fab3705a,NB48_LOSS_135,train
NB48_LOSS_135__critical_hp_decision__e9f635fc63c3,NB48_LOSS_135,train
NB48_LOSS_135__early_pressure__e51ae4e71549,NB48_LOSS_135,train
NB48_LOSS_135__late_game_prize_pressure__c271ebc35993,NB48_LOSS_135,train
NB48_LOSS_135__opening_one_energy__fd1b26dc8fa2,NB48_LOSS_135,train
NB48_LOSS_135__opening_zero_energy__f5742c38662c,NB48_LOSS_135,train
NB48_LOSS_135__opponent_under_pressure__45f8d3e5bed5,NB48_LOSS_135,train
NB48_LOSS_135__player_under_pressure__3efd11199c11,NB48_LOSS_135,train
NB48_LOSS_138__balanced_midgame__828a49c1ee44,NB48_LOSS_138,train
NB48_LOSS_138__counterfactual_side_early__3316107d86b8,NB48_LOSS_138,train
NB48_LOSS_138__counterfactual_side_late__eb24c79df892,NB48_LOSS_138,train
NB48_LOSS_138__critical_hp_decision__8e2880a722c6,NB48_LOSS_138,train
NB48_LOSS_138__early_pressure__96890149f868,NB48_LOSS_138,train
NB48_LOSS_138__late_game_prize_pressure__4890b8da69c5,NB48_LOSS_138,train
NB48_LOSS_138__opening_one_energy__765aa9cdfbb2,NB48_LOSS_138,train
NB48_LOSS_138__opening_zero_energy__5c7d66309ebe,NB48_LOSS_138,train
NB48_LOSS_138__opponent_under_pressure__34682413654e,NB48_LOSS_138,train
NB48_LOSS_138__player_under_pressure__d47d0f0feafd,NB48_LOSS_138,train
NB48_LOSS_140__balanced_midgame__28f98ab4f286,NB48_LOSS_140,train
NB48_LOSS_140__counterfactual_side_early__4a470d98247f,NB48_LOSS_140,train
NB48_LOSS_140__counterfactual_side_late__7a81fde28039,NB48_LOSS_140,train
NB48_LOSS_140__critical_hp_decision__52615c3f4be4,NB48_LOSS_140,train
NB48_LOSS_140__early_pressure__2a55d051bab5,NB48_LOSS_140,train
NB48_LOSS_140__late_game_prize_pressure__2a69fcf6693a,NB48_LOSS_140,train
NB48_LOSS_140__opening_one_energy__5919308393e1,NB48_LOSS_140,train
NB48_LOSS_140__opening_zero_energy__7fb6bf33ae65,NB48_LOSS_140,train
NB48_LOSS_140__opponent_under_pressure__90ad9a74f29a,NB48_LOSS_140,train
NB48_LOSS_140__player_under_pressure__d93a9a497473,NB48_LOSS_140,train
NB48_LOSS_142__balanced_midgame__4814b496bded,NB48_LOSS_142,train
NB48_LOSS_142__counterfactual_side_early__fb3bd98e6462,NB48_LOSS_142,train
NB48_LOSS_142__counterfactual_side_late__ec123371c982,NB48_LOSS_142,train
NB48_LOSS_142__critical_hp_decision__6af8da86d3dc,NB48_LOSS_142,train
NB48_LOSS_142__early_pressure__3dac010af349,NB48_LOSS_142,train
NB48_LOSS_142__late_game_prize_pressure__0c1e8662f01b,NB48_LOSS_142,train
NB48_LOSS_142__opening_one_energy__20116fd2a80c,NB48_LOSS_142,train
NB48_LOSS_142__opening_zero_energy__2462d3150ac4,NB48_LOSS_142,train
NB48_LOSS_142__opponent_under_pressure__bef0e9e1c5d2,NB48_LOSS_142,train
NB48_LOSS_142__player_under_pressure__d28d32534196,NB48_LOSS_142,train
NB48_LOSS_146__balanced_midgame__e6a8e1494834,NB48_LOSS_146,train
NB48_LOSS_146__counterfactual_side_early__472dde0397e9,NB48_LOSS_146,train
NB48_LOSS_146__counterfactual_side_late__34d1ddc260e6,NB48_LOSS_146,train
NB48_LOSS_146__critical_hp_decision__5e1caa0cb9e0,NB48_LOSS_146,train
NB48_LOSS_146__early_pressure__b1c65fa4554e,NB48_LOSS_146,train
NB48_LOSS_146__late_game_prize_pressure__2e40d42570ec,NB48_LOSS_146,train
NB48_LOSS_146__opening_one_energy__26dd61c466a8,NB48_LOSS_146,train
NB48_LOSS_146__opening_zero_energy__cd6e6bc65236,NB48_LOSS_146,train
NB48_LOSS_146__opponent_under_pressure__de576df0c7ad,NB48_LOSS_146,train
NB48_LOSS_146__player_under_pressure__104be7fa5db5,NB48_LOSS_146,train
NB48_LOSS_147__balanced_midgame__228f1d11acd7,NB48_LOSS_147,train
NB48_LOSS_147__counterfactual_side_early__fef6822200b4,NB48_LOSS_147,train
NB48_LOSS_147__counterfactual_side_late__a9b341356dc3,NB48_LOSS_147,train
NB48_LOSS_147__critical_hp_decision__5bbc1524cd80,NB48_LOSS_147,train
NB48_LOSS_147__early_pressure__d3d6aeba1281,NB48_LOSS_147,train
NB48_LOSS_147__late_game_prize_pressure__106e609fdb5a,NB48_LOSS_147,train
NB48_LOSS_147__opening_one_energy__c0cbf00ecf2c,NB48_LOSS_147,train
NB48_LOSS_147__opening_zero_energy__998a605fa3c3,NB48_LOSS_147,train
NB48_LOSS_147__opponent_under_pressure__85e53a72ca06,NB48_LOSS_147,train
NB48_LOSS_147__player_under_pressure__57dacf3f12ff,NB48_LOSS_147,train
NB48_LOSS_150__balanced_midgame__c89bfc1b7095,NB48_LOSS_150,train
NB48_LOSS_150__counterfactual_side_early__c8ec9af9039e,NB48_LOSS_150,train
NB48_LOSS_150__counterfactual_side_late__a0967855628a,NB48_LOSS_150,train
NB48_LOSS_150__critical_hp_decision__ec52872d8714,NB48_LOSS_150,train
NB48_LOSS_150__early_pressure__0c78137e831d,NB48_LOSS_150,train
NB48_LOSS_150__late_game_prize_pressure__261ab31426a0,NB48_LOSS_150,train
NB48_LOSS_150__opening_one_energy__4603165fddd5,NB48_LOSS_150,train
NB48_LOSS_150__opening_zero_energy__ca4cf38b6f3e,NB48_LOSS_150,train
NB48_LOSS_150__opponent_under_pressure__1ebd939c1b05,NB48_LOSS_150,train
NB48_LOSS_150__player_under_pressure__f271609219fc,NB48_LOSS_150,train
NB48_LOSS_152__balanced_midgame__7253afa320d4,NB48_LOSS_152,train
NB48_LOSS_152__counterfactual_side_early__2a8d280cfe1f,NB48_LOSS_152,train
NB48_LOSS_152__counterfactual_side_late__a15b1391dcdc,NB48_LOSS_152,train
NB48_LOSS_152__critical_hp_decision__0b8f18944034,NB48_LOSS_152,train
NB48_LOSS_152__early_pressure__c159892d39d9,NB48_LOSS_152,train
NB48_LOSS_152__late_game_prize_pressure__cf7b9d89b773,NB48_LOSS_152,train
NB48_LOSS_152__opening_one_energy__6d71d0d8854a,NB48_LOSS_152,train
NB48_LOSS_152__opening_zero_energy__09d08d9f55fe,NB48_LOSS_152,train
NB48_LOSS_152__opponent_under_pressure__43b71aa4d409,NB48_LOSS_152,train
NB48_LOSS_152__player_under_pressure__6e35c3b407d4,NB48_LOSS_152,train
NB48_LOSS_154__balanced_midgame__2c5c0c4da373,NB48_LOSS_154,train
NB48_LOSS_154__counterfactual_side_early__8fce4ab44f81,NB48_LOSS_154,train
NB48_LOSS_154__counterfactual_side_late__22d721319735,NB48_LOSS_154,train
NB48_LOSS_154__critical_hp_decision__57dd6576cb0a,NB48_LOSS_154,train
NB48_LOSS_154__early_pressure__59d78658dcd6,NB48_LOSS_154,train
NB48_LOSS_154__late_game_prize_pressure__586d751e74ce,NB48_LOSS_154,train
NB48_LOSS_154__opening_one_energy__c7747657abbf,NB48_LOSS_154,train
NB48_LOSS_154__opening_zero_energy__2f1b9caf5b85,NB48_LOSS_154,train
NB48_LOSS_154__opponent_under_pressure__c1ddef9330de,NB48_LOSS_154,train
NB48_LOSS_154__player_under_pressure__674ad46c3597,NB48_LOSS_154,train
NB48_LOSS_158__balanced_midgame__5e664de6a114,NB48_LOSS_158,test
NB48_LOSS_158__counterfactual_side_early__b4764bd0710d,NB48_LOSS_158,test
NB48_LOSS_158__counterfactual_side_late__395f761b8ca2,NB48_LOSS_158,test
NB48_LOSS_158__critical_hp_decision__531157cdbb4d,NB48_LOSS_158,test
NB48_LOSS_158__early_pressure__d81fba6d7c74,NB48_LOSS_158,test
NB48_LOSS_158__late_game_prize_pressure__cac092b4ae14,NB48_LOSS_158,test
NB48_LOSS_158__opening_one_energy__7dead509ccb9,NB48_LOSS_158,test
NB48_LOSS_158__opening_zero_energy__ed4335a54ad3,NB48_LOSS_158,test
NB48_LOSS_158__opponent_under_pressure__ef2faad73aeb,NB48_LOSS_158,test
NB48_LOSS_158__player_under_pressure__13bb1f9a8dea,NB48_LOSS_158,test
NB48_LOSS_159__balanced_midgame__5d24d4cd2ea4,NB48_LOSS_159,train
NB48_LOSS_159__counterfactual_side_early__f4866e4d270b,NB48_LOSS_159,train
NB48_LOSS_159__counterfactual_side_late__4f6d9bd7b62c,NB48_LOSS_159,train
NB48_LOSS_159__critical_hp_decision__3724894b8db1,NB48_LOSS_159,train
NB48_LOSS_159__early_pressure__4ff2707a5dd3,NB48_LOSS_159,train
NB48_LOSS_159__late_game_prize_pressure__f82cbb7e5e0e,NB48_LOSS_159,train
NB48_LOSS_159__opening_one_energy__4d5a6d8a2a20,NB48_LOSS_159,train
NB48_LOSS_159__opening_zero_energy__08eba4568264,NB48_LOSS_159,train
NB48_LOSS_159__opponent_under_pressure__590c104c0574,NB48_LOSS_159,train
NB48_LOSS_159__player_under_pressure__43cb7ffa614c,NB48_LOSS_159,train
NB48_LOSS_162__balanced_midgame__66fc07c5c70e,NB48_LOSS_162,test
NB48_LOSS_162__counterfactual_side_early__8150fff39c40,NB48_LOSS_162,test
NB48_LOSS_162__counterfactual_side_late__eda5b6031858,NB48_LOSS_162,test
NB48_LOSS_162__critical_hp_decision__c7b44cfb0238,NB48_LOSS_162,test
NB48_LOSS_162__early_pressure__52e8598c9c09,NB48_LOSS_162,test
NB48_LOSS_162__late_game_prize_pressure__361a998ea16f,NB48_LOSS_162,test
NB48_LOSS_162__opening_one_energy__23d382ad62d5,NB48_LOSS_162,test
NB48_LOSS_162__opening_zero_energy__5e50d798d7a1,NB48_LOSS_162,test
NB48_LOSS_162__opponent_under_pressure__8b4f8ad479d0,NB48_LOSS_162,test
NB48_LOSS_162__player_under_pressure__82b3bdf50531,NB48_LOSS_162,test
NB48_LOSS_164__balanced_midgame__d53f93e0e818,NB48_LOSS_164,test
NB48_LOSS_164__counterfactual_side_early__79952cb96149,NB48_LOSS_164,test
NB48_LOSS_164__counterfactual_side_late__09e048fe9aa6,NB48_LOSS_164,test
NB48_LOSS_164__critical_hp_decision__a6fceba8ba65,NB48_LOSS_164,test
NB48_LOSS_164__early_pressure__952e669d4fb5,NB48_LOSS_164,test
NB48_LOSS_164__late_game_prize_pressure__71a9e5f6e238,NB48_LOSS_164,test
NB48_LOSS_164__opening_one_energy__fb88acffec25,NB48_LOSS_164,test
NB48_LOSS_164__opening_zero_energy__65de92316e55,NB48_LOSS_164,test
NB48_LOSS_164__opponent_under_pressure__92aa42e4802d,NB48_LOSS_164,test
NB48_LOSS_164__player_under_pressure__9b9a1c766faa,NB48_LOSS_164,test
NB48_LOSS_166__balanced_midgame__a056dc648ce0,NB48_LOSS_166,validation
NB48_LOSS_166__counterfactual_side_early__131dc92ce858,NB48_LOSS_166,validation
NB48_LOSS_166__counterfactual_side_late__ca11e0feb30b,NB48_LOSS_166,validation
NB48_LOSS_166__critical_hp_decision__aa27c7436345,NB48_LOSS_166,validation
NB48_LOSS_166__early_pressure__a0afe7f0e6e8,NB48_LOSS_166,validation
NB48_LOSS_166__late_game_prize_pressure__66b0a4030332,NB48_LOSS_166,validation
NB48_LOSS_166__opening_one_energy__b49c6d0d9d88,NB48_LOSS_166,validation
NB48_LOSS_166__opening_zero_energy__56d3e5f574a4,NB48_LOSS_166,validation
NB48_LOSS_166__opponent_under_pressure__566a09f03fd5,NB48_LOSS_166,validation
NB48_LOSS_166__player_under_pressure__926f7c18842e,NB48_LOSS_166,validation
NB48_LOSS_170__balanced_midgame__5ec28db25fad,NB48_LOSS_170,train
NB48_LOSS_170__counterfactual_side_early__d5bef20430c1,NB48_LOSS_170,train
NB48_LOSS_170__counterfactual_side_late__944df658b409,NB48_LOSS_170,train
NB48_LOSS_170__critical_hp_decision__a8d232b94598,NB48_LOSS_170,train
NB48_LOSS_170__early_pressure__57944c67721a,NB48_LOSS_170,train
NB48_LOSS_170__late_game_prize_pressure__a856579de822,NB48_LOSS_170,train
NB48_LOSS_170__opening_one_energy__f91b8f130647,NB48_LOSS_170,train
NB48_LOSS_170__opening_zero_energy__11adf26e1162,NB48_LOSS_170,train
NB48_LOSS_170__opponent_under_pressure__2df70ade867b,NB48_LOSS_170,train
NB48_LOSS_170__player_under_pressure__d0fd8847bc55,NB48_LOSS_170,train
NB48_LOSS_171__balanced_midgame__447ca00796dc,NB48_LOSS_171,test
NB48_LOSS_171__counterfactual_side_early__b9c1287f5fd8,NB48_LOSS_171,test
NB48_LOSS_171__counterfactual_side_late__2203f683d217,NB48_LOSS_171,test
NB48_LOSS_171__critical_hp_decision__2c956b6eefe8,NB48_LOSS_171,test
NB48_LOSS_171__early_pressure__8ac54fb008a4,NB48_LOSS_171,test
NB48_LOSS_171__late_game_prize_pressure__f5ab8c36ae1b,NB48_LOSS_171,test
NB48_LOSS_171__opening_one_energy__1f6367d96bb7,NB48_LOSS_171,test
NB48_LOSS_171__opening_zero_energy__d3301569ed7a,NB48_LOSS_171,test
NB48_LOSS_171__opponent_under_pressure__9d45c0e647d6,NB48_LOSS_171,test
NB48_LOSS_171__player_under_pressure__5926776d4ad5,NB48_LOSS_171,test
NB48_LOSS_174__balanced_midgame__d1481f6363ea,NB48_LOSS_174,train
