turn_number,legal_move_count_recomputed,acting_energy,defending_energy,energy_difference,absolute_energy_difference,acting_damage,defending_damage,damage_difference,absolute_damage_difference,single_legal_move_flag,multi_legal_move_flag,model_choice_required_flag,legacy_selector_required_flag,confidence,is_legal__ascension,is_legal__bind_down,is_legal__live_coal,is_legal__pass,is_legal__quick_attack,is_legal__tuck_tail,active_card_can_use__ascension,active_card_can_use__bind_down,active_card_can_use__live_coal,active_card_can_use__pass,active_card_can_use__quick_attack,active_card_can_use__tuck_tail,current_player,condition_id,active_card,inactive_card,legal_move_signature,battle_phase,energy_band,damage_band,confidence_band,routing_mode
7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5266666666666666,0,1,0,0,0,0,0,1,0,1,0,0,Player,HP_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,LOW,SINGLE_LEGAL_DIRECT
8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8946666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Bulbasaur,ascension | quick attack,LATE,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7733333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,EARLY,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
4.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8786666666666667,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
5.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7413333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
6.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8653333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
7.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7066666666666667,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
8.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8093333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,LATE,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
9.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.64,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
10.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7546666666666667,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,LATE,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
11.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.612,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.652,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,EARLY,READY,UNKNOWN,MEDIUM,MULTI_LEGAL_MODEL
2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7146666666666667,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,EARLY,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.7693333333333333,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,EARLY,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6373333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8186666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.528,0,1,0,0,0,0,0,1,0,1,0,0,Player,BASELINE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,LOW,SINGLE_LEGAL_DIRECT
7.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8946666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.78,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.568,0,1,0,0,0,0,0,1,0,1,0,0,Player,HP_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
7.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.888,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Bulbasaur,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8933333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,EARLY,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
4.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7733333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
5.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8786666666666667,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
6.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7133333333333334,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
7.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8586666666666667,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
8.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6973333333333334,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
9.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.784,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,LATE,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
10.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.64,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
11.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7546666666666667,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Bulbasaur,ascension,LATE,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
12.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.612,0,1,0,0,0,0,0,1,0,1,0,0,Player,ENERGY_PRESSURE,Bulbasaur,Eevee,bind down,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6013333333333334,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,EARLY,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
2.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.7773333333333333,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Charmander,ascension | quick attack,EARLY,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7213333333333334,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,EARLY,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
4.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8346666666666667,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Charmander,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.644,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
5.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7173333333333334,0,0,1,0,0,0,0,0,1,1,0,0,Player,HP_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
6.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8986666666666666,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Charmander,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
7.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5346666666666666,0,0,1,0,0,0,0,0,1,1,0,0,Player,HP_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,LOW,SINGLE_LEGAL_DIRECT
8.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.9226666666666666,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Charmander,ascension | quick attack,LATE,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,EARLY,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
4.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.86,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Charmander,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
5.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.772,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
6.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7733333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Charmander,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
7.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.644,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
1.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.668,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Charmander,ascension | quick attack,EARLY,READY,UNKNOWN,MEDIUM,MULTI_LEGAL_MODEL
2.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7546666666666667,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,EARLY,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
3.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.784,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Charmander,ascension | quick attack,EARLY,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
4.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.684,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.8493333333333334,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,BASELINE,Eevee,Charmander,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5186666666666667,0,0,1,0,0,0,0,0,1,1,0,0,Player,BASELINE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,LOW,SINGLE_LEGAL_DIRECT
5.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.788,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Charmander,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
6.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5933333333333334,0,0,1,0,0,0,0,0,1,1,0,0,Player,HP_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
7.0,2.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,0,0.896,1,0,0,0,1,0,1,0,0,0,1,0,Opponent,HP_PRESSURE,Eevee,Charmander,ascension | quick attack,MID,READY,UNKNOWN,HIGH,MULTI_LEGAL_MODEL
3.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8813333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Charmander,ascension,EARLY,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
4.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.8,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
5.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.86,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Charmander,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
6.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7413333333333333,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,MID,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
7.0,1.0,1.0,3.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7533333333333333,1,0,0,0,0,0,1,0,0,0,1,0,Opponent,ENERGY_PRESSURE,Eevee,Charmander,ascension,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
8.0,1.0,3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6333333333333333,0,0,1,0,0,0,0,0,1,1,0,0,Player,ENERGY_PRESSURE,Charmander,Eevee,live coal,LATE,READY,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.62,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,EARLY,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
2.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.804,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,EARLY,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
3.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7586666666666667,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,EARLY,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
4.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7893333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7573333333333333,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.756,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6626666666666666,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,MID,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6773333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6293333333333333,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.652,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
11.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6306666666666667,0,0,0,0,0,1,0,0,0,0,0,1,Player,BASELINE,Meowth,Bulbasaur,tuck tail,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
12.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6533333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,BASELINE,Bulbasaur,Meowth,bind down,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
5.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.7586666666666667,0,0,0,0,0,1,0,0,0,0,0,1,Player,HP_PRESSURE,Meowth,Bulbasaur,tuck tail,MID,LOW,UNKNOWN,HIGH,SINGLE_LEGAL_DIRECT
6.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.728,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,HP_PRESSURE,Bulbasaur,Meowth,bind down,MID,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
7.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6546666666666666,0,0,0,0,0,1,0,0,0,0,0,1,Player,HP_PRESSURE,Meowth,Bulbasaur,tuck tail,MID,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
8.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6706666666666666,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,HP_PRESSURE,Bulbasaur,Meowth,bind down,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
9.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6306666666666667,0,0,0,0,0,1,0,0,0,0,0,1,Player,HP_PRESSURE,Meowth,Bulbasaur,tuck tail,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
10.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0.6533333333333333,0,1,0,0,0,0,0,1,0,1,0,0,Opponent,HP_PRESSURE,Bulbasaur,Meowth,bind down,LATE,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.5653333333333334,0,0,0,0,0,1,0,0,0,0,0,1,Player,ENERGY_PRESSURE,Meowth,Bulbasaur,tuck tail,EARLY,LOW,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
4.0,1.0,0.0,2.0,-2.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0,0.592,0,0,0,1,0,0,0,1,0,1,0,0,Opponent,ENERGY_PRESSURE,Bulbasaur,Meowth,pass,MID,ZERO,UNKNOWN,MEDIUM,SINGLE_LEGAL_DIRECT
