scenario_id,base_scenario_id,condition_id,turn_number,current_player,player_card,opponent_card,winner,raw_predicted_move,selected_move,routed_move,routing_reason,routing_mode,fallback_used,masking_changed_action_recomputed
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,3.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,4.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,5.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,6.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,7.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,8.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,9.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,10.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,11.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__BASELINE,T52_S002,BASELINE,1.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__BASELINE,T52_S002,BASELINE,2.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__BASELINE,T52_S002,BASELINE,3.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__BASELINE,T52_S002,BASELINE,4.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__BASELINE,T52_S002,BASELINE,5.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__BASELINE,T52_S002,BASELINE,6.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__BASELINE,T52_S002,BASELINE,7.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,5.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,6.0,Player,Bulbasaur,Eevee,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,7.0,Opponent,Bulbasaur,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,3.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,4.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,5.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,6.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,7.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,8.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,9.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,10.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,11.0,Opponent,Bulbasaur,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,12.0,Player,Bulbasaur,Eevee,Player,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__BASELINE,T52_S003,BASELINE,1.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__BASELINE,T52_S003,BASELINE,2.0,Opponent,Charmander,Eevee,Player,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S003__BASELINE,T52_S003,BASELINE,3.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__BASELINE,T52_S003,BASELINE,4.0,Opponent,Charmander,Eevee,Player,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S003__BASELINE,T52_S003,BASELINE,5.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,5.0,Player,Charmander,Eevee,Opponent,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,6.0,Opponent,Charmander,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,7.0,Player,Charmander,Eevee,Opponent,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,8.0,Opponent,Charmander,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,3.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,4.0,Opponent,Charmander,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,5.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,6.0,Opponent,Charmander,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,7.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__BASELINE,T52_S004,BASELINE,1.0,Opponent,Charmander,Eevee,Player,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S004__BASELINE,T52_S004,BASELINE,2.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__BASELINE,T52_S004,BASELINE,3.0,Opponent,Charmander,Eevee,Player,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S004__BASELINE,T52_S004,BASELINE,4.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__BASELINE,T52_S004,BASELINE,5.0,Opponent,Charmander,Eevee,Player,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S004__BASELINE,T52_S004,BASELINE,6.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,5.0,Opponent,Charmander,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,6.0,Player,Charmander,Eevee,Opponent,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,7.0,Opponent,Charmander,Eevee,Opponent,Quick Attack,Quick Attack,Quick Attack,RAW_MODEL_PREDICTION_LEGAL,MULTI_LEGAL_MODEL,False,False
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,3.0,Opponent,Charmander,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,4.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,5.0,Opponent,Charmander,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,6.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,7.0,Opponent,Charmander,Eevee,Player,Ascension,Ascension,Ascension,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,False
T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,8.0,Player,Charmander,Eevee,Player,Ascension,Live Coal,Live Coal,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,1.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,2.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,3.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,4.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,5.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,6.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,7.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,8.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,9.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,10.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,11.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__BASELINE,T52_S005,BASELINE,12.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,5.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,6.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,7.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,8.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,9.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,10.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,3.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,4.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,5.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,6.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,7.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,8.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,9.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,10.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,11.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,12.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,13.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,14.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,15.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,16.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,17.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,18.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,19.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,20.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,21.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,22.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,23.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,24.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,25.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,26.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,27.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,28.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,29.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,30.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,31.0,Player,Meowth,Bulbasaur,Draw,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,32.0,Opponent,Meowth,Bulbasaur,Draw,Ascension,Pass,Pass,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S006__BASELINE,T52_S006,BASELINE,1.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,True,True
T52_S006__BASELINE,T52_S006,BASELINE,2.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S006__BASELINE,T52_S006,BASELINE,3.0,Opponent,Meowth,Bulbasaur,Opponent,Ascension,Bind Down,Bind Down,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
T52_S006__BASELINE,T52_S006,BASELINE,4.0,Player,Meowth,Bulbasaur,Opponent,Ascension,Tuck Tail,Tuck Tail,ONLY_LEGAL_MOVE,SINGLE_LEGAL_DIRECT,False,True
