battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action,legal_move_list,legal_move_count_recomputed,normalized_raw_prediction,normalized_selected_move,normalized_legal_moves,raw_prediction_legal,masking_changed_action_recomputed,masking_changed_action_stored,decision_category,selected_probability_numeric,selected_masked_probability_numeric,raw_to_selected_probability_gap,masked_probability_gain,condition_name,player_card,opponent_card,starting_side,winner,recorded_turns,starting_player_hp,starting_opponent_hp,starting_player_energy,starting_opponent_energy
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,9,Player,['Bind Down'],Bind Down,Ascension,0.64,0.1266666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1266666666666666,0.0,0.5133333333333334,-0.1266666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,10,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.7546666666666667,0.0,0.0,-0.7546666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
3,T52_S001__ENERGY_PRESSURE,T52_S001,ENERGY_PRESSURE,11,Player,['Bind Down'],Bind Down,Ascension,0.612,0.1266666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1266666666666666,0.0,0.4853333333333334,-0.1266666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Player,Player,9,80.0,50.0,3,1
4,T52_S002__BASELINE,T52_S002,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.652,0.652,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.652,0.0,0.0,-0.652,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,2,Player,['Bind Down'],Bind Down,Ascension,0.7146666666666667,0.1106666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1106666666666666,0.0,0.6040000000000001,-0.1106666666666666,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7693333333333333,0.7693333333333333,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.7693333333333333,0.0,0.0,-0.7693333333333333,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,4,Player,['Bind Down'],Bind Down,Ascension,0.6373333333333333,0.1373333333333333,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1373333333333333,0.0,0.5,-0.1373333333333333,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8186666666666667,0.8186666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8186666666666667,0.0,0.0,-0.8186666666666667,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,6,Player,['Bind Down'],Bind Down,Ascension,0.528,0.1226666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1226666666666666,0.0,0.40533333333333343,-0.1226666666666666,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
4,T52_S002__BASELINE,T52_S002,BASELINE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8946666666666667,0.0,0.0,-0.8946666666666667,Baseline,Bulbasaur,Eevee,Opponent,Opponent,7,80.0,50.0,3,3
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.78,0.78,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.78,0.0,0.0,-0.78,Player HP Pressure,Bulbasaur,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,6,Player,['Bind Down'],Bind Down,Ascension,0.568,0.1013333333333333,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1013333333333333,0.0,0.4666666666666667,-0.1013333333333333,Player HP Pressure,Bulbasaur,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.888,0.888,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.888,0.0,0.0,-0.888,Player HP Pressure,Bulbasaur,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8933333333333333,0.8933333333333333,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8933333333333333,0.0,0.0,-0.8933333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,4,Player,['Bind Down'],Bind Down,Ascension,0.7733333333333333,0.1093333333333333,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1093333333333333,0.0,0.664,-0.1093333333333333,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8786666666666667,0.0,0.0,-0.8786666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,6,Player,['Bind Down'],Bind Down,Ascension,0.7133333333333334,0.132,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.132,0.0,0.5813333333333334,-0.132,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,7,Opponent,['Ascension'],Ascension,Ascension,0.8586666666666667,0.8586666666666667,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8586666666666667,0.0,0.0,-0.8586666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,8,Player,['Bind Down'],Bind Down,Ascension,0.6973333333333334,0.1386666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1386666666666666,0.0,0.5586666666666668,-0.1386666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,9,Opponent,['Ascension'],Ascension,Ascension,0.784,0.784,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.784,0.0,0.0,-0.784,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,10,Player,['Bind Down'],Bind Down,Ascension,0.64,0.1266666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1266666666666666,0.0,0.5133333333333334,-0.1266666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,11,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.7546666666666667,0.0,0.0,-0.7546666666666667,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,12,Player,['Bind Down'],Bind Down,Ascension,0.612,0.1266666666666666,False,,True,"[""Bind Down""]",1,ascension,bind down,"[""bind down""]",False,True,True,MASKED,0.1266666666666666,0.0,0.4853333333333334,-0.1266666666666666,Opponent Energy Pressure,Bulbasaur,Eevee,Opponent,Player,10,80.0,50.0,3,1
7,T52_S003__BASELINE,T52_S003,BASELINE,1,Player,['Live Coal'],Live Coal,Ascension,0.6013333333333334,0.0626666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0626666666666666,0.0,0.5386666666666667,-0.0626666666666666,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
7,T52_S003__BASELINE,T52_S003,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7773333333333333,0.7773333333333333,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.7773333333333333,0.0,0.0,-0.7773333333333333,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
7,T52_S003__BASELINE,T52_S003,BASELINE,3,Player,['Live Coal'],Live Coal,Ascension,0.7213333333333334,0.0946666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0946666666666666,0.0,0.6266666666666668,-0.0946666666666666,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
7,T52_S003__BASELINE,T52_S003,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8346666666666667,0.8346666666666667,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8346666666666667,0.0,0.0,-0.8346666666666667,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
7,T52_S003__BASELINE,T52_S003,BASELINE,5,Player,['Live Coal'],Live Coal,Ascension,0.644,0.096,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.096,0.0,0.548,-0.096,Baseline,Charmander,Eevee,Player,Player,5,80.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,5,Player,['Live Coal'],Live Coal,Ascension,0.7173333333333334,0.0773333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0773333333333333,0.0,0.6400000000000001,-0.0773333333333333,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8986666666666666,0.8986666666666666,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8986666666666666,0.0,0.0,-0.8986666666666666,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,7,Player,['Live Coal'],Live Coal,Ascension,0.5346666666666666,0.096,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.096,0.0,0.43866666666666665,-0.096,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.9226666666666666,0.9226666666666666,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.9226666666666666,0.0,0.0,-0.9226666666666666,Player HP Pressure,Charmander,Eevee,Player,Opponent,4,40.0,50.0,3,3
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,3,Player,['Live Coal'],Live Coal,Ascension,0.8,0.0773333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0773333333333333,0.0,0.7226666666666668,-0.0773333333333333,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.86,0.0,0.0,-0.86,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,5,Player,['Live Coal'],Live Coal,Ascension,0.772,0.0946666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0946666666666666,0.0,0.6773333333333335,-0.0946666666666666,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.7733333333333333,0.7733333333333333,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.7733333333333333,0.0,0.0,-0.7733333333333333,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,7,Player,['Live Coal'],Live Coal,Ascension,0.644,0.1106666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.1106666666666666,0.0,0.5333333333333334,-0.1106666666666666,Opponent Energy Pressure,Charmander,Eevee,Player,Player,5,80.0,50.0,3,1
10,T52_S004__BASELINE,T52_S004,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.668,0.668,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.668,0.0,0.0,-0.668,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,2,Player,['Live Coal'],Live Coal,Ascension,0.7546666666666667,0.0773333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0773333333333333,0.0,0.6773333333333335,-0.0773333333333333,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.784,0.784,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.784,0.0,0.0,-0.784,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,4,Player,['Live Coal'],Live Coal,Ascension,0.684,0.0933333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0933333333333333,0.0,0.5906666666666668,-0.0933333333333333,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8493333333333334,0.8493333333333334,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.8493333333333334,0.0,0.0,-0.8493333333333334,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
10,T52_S004__BASELINE,T52_S004,BASELINE,6,Player,['Live Coal'],Live Coal,Ascension,0.5186666666666667,0.0826666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0826666666666666,0.0,0.4360000000000001,-0.0826666666666666,Baseline,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,3
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.788,0.788,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.788,0.0,0.0,-0.788,Player HP Pressure,Charmander,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,6,Player,['Live Coal'],Live Coal,Ascension,0.5933333333333334,0.0693333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0693333333333333,0.0,0.524,-0.0693333333333333,Player HP Pressure,Charmander,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.896,0.896,False,,False,"[""Ascension"", ""Quick Attack""]",2,quick attack,quick attack,"[""ascension"", ""quick attack""]",True,False,False,DIRECT,0.896,0.0,0.0,-0.896,Player HP Pressure,Charmander,Eevee,Opponent,Opponent,3,40.0,50.0,3,3
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8813333333333333,0.8813333333333333,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.8813333333333333,0.0,0.0,-0.8813333333333333,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,4,Player,['Live Coal'],Live Coal,Ascension,0.8,0.0773333333333333,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0773333333333333,0.0,0.7226666666666668,-0.0773333333333333,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False,"[""Ascension""]",1,ascension,ascension,"[""ascension""]",True,False,False,DIRECT,0.86,0.0,0.0,-0.86,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,6,Player,['Live Coal'],Live Coal,Ascension,0.7413333333333333,0.0946666666666666,False,,True,"[""Live Coal""]",1,ascension,live coal,"[""live coal""]",False,True,True,MASKED,0.0946666666666666,0.0,0.6466666666666667,-0.0946666666666666,Opponent Energy Pressure,Charmander,Eevee,Opponent,Player,6,80.0,50.0,3,1
