variant_id,source_scenario_id,source_match_id,queue_position,variant_name,variant_seed,side_mode,source_normalized_side,variant_normalized_side,current_player,baseline_name,player_card,opponent_card,turn_number,player_energy,opponent_energy,player_damage,opponent_damage,player_damage_fraction,opponent_damage_fraction,prize_cards_remaining,hand_size,terminal,legal_move_count,accepted,curriculum_priority,hard_example_rank,trace_file
NB48_LOSS_222__opening_one_energy__ced5f9929120,NB48_LOSS_222,222,2,opening_one_energy,2092278060,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__early_pressure__19c7bcdb1c90,NB48_LOSS_222,222,2,early_pressure,4068614619,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__balanced_midgame__5a5ebf9b26d0,NB48_LOSS_222,222,2,balanced_midgame,1313702203,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__player_under_pressure__b48388b677da,NB48_LOSS_222,222,2,player_under_pressure,868967605,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__opponent_under_pressure__476e1aa13eed,NB48_LOSS_222,222,2,opponent_under_pressure,1242451263,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__late_game_prize_pressure__deeb5d2f91b1,NB48_LOSS_222,222,2,late_game_prize_pressure,2099815799,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__critical_hp_decision__98475b8b7670,NB48_LOSS_222,222,2,critical_hp_decision,2647080031,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__counterfactual_side_early__81ce15008cd8,NB48_LOSS_222,222,2,counterfactual_side_early,3686608998,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_222__counterfactual_side_late__38e661db0541,NB48_LOSS_222,222,2,counterfactual_side_late,960303230,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,2,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_222.jsonl
NB48_LOSS_234__opening_zero_energy__5f3a21c5a62b,NB48_LOSS_234,234,3,opening_zero_energy,1487216124,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__opening_one_energy__6c4aa92646ac,NB48_LOSS_234,234,3,opening_one_energy,2448674477,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__early_pressure__2d7034c2a9c3,NB48_LOSS_234,234,3,early_pressure,164921494,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__balanced_midgame__dc62956812d9,NB48_LOSS_234,234,3,balanced_midgame,3777449514,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__player_under_pressure__ab8f5a65f89a,NB48_LOSS_234,234,3,player_under_pressure,1904706779,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__opponent_under_pressure__f22447d340e2,NB48_LOSS_234,234,3,opponent_under_pressure,3453512612,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__late_game_prize_pressure__9216eb531d51,NB48_LOSS_234,234,3,late_game_prize_pressure,2378138903,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__critical_hp_decision__e9a52c5278c6,NB48_LOSS_234,234,3,critical_hp_decision,3880544233,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__counterfactual_side_early__6c2a3891c8ce,NB48_LOSS_234,234,3,counterfactual_side_early,2853441454,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_234__counterfactual_side_late__f95a6d06abce,NB48_LOSS_234,234,3,counterfactual_side_late,986374758,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,3,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_234.jsonl
NB48_LOSS_246__opening_zero_energy__3f2777ed6a06,NB48_LOSS_246,246,4,opening_zero_energy,2742149848,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__opening_one_energy__318c0af4397c,NB48_LOSS_246,246,4,opening_one_energy,992451134,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__early_pressure__3d353b4df5e8,NB48_LOSS_246,246,4,early_pressure,3589660738,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__balanced_midgame__f8b4f7afff69,NB48_LOSS_246,246,4,balanced_midgame,2570585844,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__player_under_pressure__34242d5612bb,NB48_LOSS_246,246,4,player_under_pressure,3560138924,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__opponent_under_pressure__251b76bb8eed,NB48_LOSS_246,246,4,opponent_under_pressure,859371191,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__late_game_prize_pressure__24ac9c211fe0,NB48_LOSS_246,246,4,late_game_prize_pressure,1536914747,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__critical_hp_decision__6e8b48ffdd18,NB48_LOSS_246,246,4,critical_hp_decision,3937623865,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__counterfactual_side_early__16086c75452f,NB48_LOSS_246,246,4,counterfactual_side_early,3341808555,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_246__counterfactual_side_late__3f9c8499ce24,NB48_LOSS_246,246,4,counterfactual_side_late,2778995187,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,4,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_246.jsonl
NB48_LOSS_258__opening_zero_energy__82d75fb052bd,NB48_LOSS_258,258,5,opening_zero_energy,3436763872,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__opening_one_energy__04e3886609b0,NB48_LOSS_258,258,5,opening_one_energy,3704668173,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__early_pressure__2c88c03d6f85,NB48_LOSS_258,258,5,early_pressure,1892325878,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__balanced_midgame__da32bb0f965f,NB48_LOSS_258,258,5,balanced_midgame,3318951592,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__player_under_pressure__f5885c207c90,NB48_LOSS_258,258,5,player_under_pressure,4105126210,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__opponent_under_pressure__e317f34be415,NB48_LOSS_258,258,5,opponent_under_pressure,3438056520,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__late_game_prize_pressure__4798cfaaae10,NB48_LOSS_258,258,5,late_game_prize_pressure,1006705329,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__critical_hp_decision__119f7d28d2d2,NB48_LOSS_258,258,5,critical_hp_decision,1126547497,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__counterfactual_side_early__27626f857410,NB48_LOSS_258,258,5,counterfactual_side_early,2894981689,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_258__counterfactual_side_late__0517d09425f2,NB48_LOSS_258,258,5,counterfactual_side_late,2097802910,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,5,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_258.jsonl
NB48_LOSS_270__opening_zero_energy__af96808b8645,NB48_LOSS_270,270,6,opening_zero_energy,842652807,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,1,0,0,0.0,0.0,0.0,0.0,6,7,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__opening_one_energy__113e517ff1ad,NB48_LOSS_270,270,6,opening_one_energy,1878413566,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,2,1,1,0.0,0.0,0.0,0.0,6,6,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__early_pressure__cf9b5e4d5b9b,NB48_LOSS_270,270,6,early_pressure,3656251184,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,2,12.0,2.5,0.15,0.05,5,6,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__balanced_midgame__2b34ad5e0555,NB48_LOSS_270,270,6,balanced_midgame,531131523,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,5,2,2,20.0,12.5,0.25,0.25,4,5,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__player_under_pressure__cb14bf981252,NB48_LOSS_270,270,6,player_under_pressure,2187018052,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,2,3,40.0,7.5,0.5,0.15,4,4,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__opponent_under_pressure__f33c2aeacf3b,NB48_LOSS_270,270,6,opponent_under_pressure,3899465352,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,6,3,2,12.0,25.0,0.15,0.5,4,5,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__late_game_prize_pressure__28d6d35ed34a,NB48_LOSS_270,270,6,late_game_prize_pressure,1601992844,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,9,3,3,32.0,20.0,0.4,0.4,2,3,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__critical_hp_decision__bc847660e5cf,NB48_LOSS_270,270,6,critical_hp_decision,3030897004,PRESERVE,Opponent,Opponent,Opponent,Depth-6 Search Baseline,Bulbasaur,Eevee,10,4,4,56.0,27.5,0.7,0.55,2,3,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__counterfactual_side_early__d2bcb494a9c8,NB48_LOSS_270,270,6,counterfactual_side_early,2949205028,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,3,1,1,8.0,5.0,0.1,0.1,5,6,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
NB48_LOSS_270__counterfactual_side_late__174065f35dd7,NB48_LOSS_270,270,6,counterfactual_side_late,2378605231,FLIP,Opponent,Player,Player,Depth-6 Search Baseline,Bulbasaur,Eevee,8,3,3,36.0,22.5,0.45,0.45,3,4,False,1,True,9.0,6,D:\02_AI_and_Data\Kaggle-AI-Agents\PTCG_AI_Battle_Challenge\reports\notebook49\section7\scenario_traces\state_variants\NB48_LOSS_270.jsonl
