comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_010_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_003_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_004_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_010_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_004_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_003_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_003_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_010_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_010_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True
4WE_PAIR_004_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True
4WE_PAIR_004_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_007_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_017_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_007_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_017_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True
4WE_PAIR_016_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12400000000000001,0.04133333333333333,0.248,Quick Attack,Quick Attack,True
4WE_PAIR_020_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.124,0.04133333333333333,0.248,Quick Attack,Quick Attack,True
4WE_PAIR_015_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True
4WE_PAIR_021_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True
4WE_PAIR_005_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True
4WE_PAIR_006_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True
4WE_PAIR_012_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True
4WE_PAIR_015_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_016_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_021_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_001_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_002_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_002_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_009_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_009_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_013_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_014_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_014_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_018_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_019_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_019_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_020_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.118,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_006_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.116,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_007_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.04133333333333333,0.248,Quick Attack,Quick Attack,True
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_011_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True
4WE_PAIR_004_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_004_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.03800000000000001,0.2280000000000001,Quick Attack,Quick Attack,True
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_005_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_012_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_017_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.04066666666666666,0.244,Quick Attack,Quick Attack,True
4WE_PAIR_003_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.03866666666666666,0.23199999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_010_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.03866666666666666,0.23199999999999996,Quick Attack,Quick Attack,True
4WE_PAIR_003_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_010_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_022_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_022_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_003_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_003_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_004_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_004_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_007_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.228,Quick Attack,Quick Attack,True
4WE_PAIR_010_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_010_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_017_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.228,Quick Attack,Quick Attack,True
4WE_PAIR_007_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.037333333333333336,0.224,Quick Attack,Quick Attack,True
4WE_PAIR_017_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.037333333333333336,0.224,Quick Attack,Quick Attack,True
4WE_PAIR_006_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.112,0.03733333333333335,0.2240000000000001,Quick Attack,Quick Attack,True
4WE_PAIR_005_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.112,0.03733333333333333,0.22399999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_012_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.112,0.03733333333333333,0.22399999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_007_V01__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11199999999999999,0.04,0.24,Quick Attack,Quick Attack,True
4WE_PAIR_011_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11199999999999999,0.03733333333333333,0.22399999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_020_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11199999999999999,0.03733333333333333,0.22399999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_020_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11199999999999999,0.03733333333333333,0.22399999999999998,Quick Attack,Quick Attack,True
4WE_PAIR_005_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_006_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_012_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_015_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_016_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_021_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_016_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11,0.03666666666666668,0.22000000000000008,Quick Attack,Quick Attack,True
4WE_PAIR_007_V01__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03933333333333334,0.23600000000000002,Quick Attack,Quick Attack,True
4WE_PAIR_017_V01__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03933333333333334,0.23600000000000002,Quick Attack,Quick Attack,True
4WE_PAIR_017_V01__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03933333333333334,0.23600000000000002,Quick Attack,Quick Attack,True
4WE_PAIR_002_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_009_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03933333333333333,0.236,Quick Attack,Quick Attack,True
4WE_PAIR_007_V04__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.10999999999999999,0.03866666666666667,0.232,Quick Attack,Quick Attack,True
