battle_number,scenario_id,base_scenario_id,condition_id,turn_number,current_player,legal_moves,selected_move,raw_predicted_move,confidence,selected_probability,fallback_used,fallback_reason,masking_changed_action
4,T52_S002__BASELINE,T52_S002,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8186666666666667,0.8186666666666667,False,,False
4,T52_S002__BASELINE,T52_S002,BASELINE,6,Player,['Bind Down'],Bind Down,Ascension,0.528,0.12266666666666666,False,,True
4,T52_S002__BASELINE,T52_S002,BASELINE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8946666666666667,0.8946666666666667,False,,False
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.78,0.78,False,,False
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,6,Player,['Bind Down'],Bind Down,Ascension,0.568,0.10133333333333333,False,,True
5,T52_S002__HP_PRESSURE,T52_S002,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.888,0.888,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8933333333333333,0.8933333333333333,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,4,Player,['Bind Down'],Bind Down,Ascension,0.7733333333333333,0.10933333333333334,False,,True
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.8786666666666667,0.8786666666666667,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,6,Player,['Bind Down'],Bind Down,Ascension,0.7133333333333334,0.132,False,,True
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,7,Opponent,['Ascension'],Ascension,Ascension,0.8586666666666667,0.8586666666666667,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,8,Player,['Bind Down'],Bind Down,Ascension,0.6973333333333334,0.13866666666666666,False,,True
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,9,Opponent,['Ascension'],Ascension,Ascension,0.784,0.784,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,10,Player,['Bind Down'],Bind Down,Ascension,0.64,0.12666666666666668,False,,True
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,11,Opponent,['Ascension'],Ascension,Ascension,0.7546666666666667,0.7546666666666667,False,,False
6,T52_S002__ENERGY_PRESSURE,T52_S002,ENERGY_PRESSURE,12,Player,['Bind Down'],Bind Down,Ascension,0.612,0.12666666666666668,False,,True
7,T52_S003__BASELINE,T52_S003,BASELINE,1,Player,['Live Coal'],Live Coal,Ascension,0.6013333333333334,0.06266666666666666,False,,True
7,T52_S003__BASELINE,T52_S003,BASELINE,2,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.7773333333333333,0.7773333333333333,False,,False
7,T52_S003__BASELINE,T52_S003,BASELINE,3,Player,['Live Coal'],Live Coal,Ascension,0.7213333333333334,0.09466666666666666,False,,True
7,T52_S003__BASELINE,T52_S003,BASELINE,4,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8346666666666667,0.8346666666666667,False,,False
7,T52_S003__BASELINE,T52_S003,BASELINE,5,Player,['Live Coal'],Live Coal,Ascension,0.644,0.096,False,,True
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,5,Player,['Live Coal'],Live Coal,Ascension,0.7173333333333334,0.07733333333333334,False,,True
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,6,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8986666666666666,0.8986666666666666,False,,False
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,7,Player,['Live Coal'],Live Coal,Ascension,0.5346666666666666,0.096,False,,True
8,T52_S003__HP_PRESSURE,T52_S003,HP_PRESSURE,8,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.9226666666666666,0.9226666666666666,False,,False
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,3,Player,['Live Coal'],Live Coal,Ascension,0.8,0.07733333333333334,False,,True
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,4,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,5,Player,['Live Coal'],Live Coal,Ascension,0.772,0.09466666666666666,False,,True
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,6,Opponent,['Ascension'],Ascension,Ascension,0.7733333333333333,0.7733333333333333,False,,False
9,T52_S003__ENERGY_PRESSURE,T52_S003,ENERGY_PRESSURE,7,Player,['Live Coal'],Live Coal,Ascension,0.644,0.11066666666666666,False,,True
10,T52_S004__BASELINE,T52_S004,BASELINE,1,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.668,0.668,False,,False
10,T52_S004__BASELINE,T52_S004,BASELINE,2,Player,['Live Coal'],Live Coal,Ascension,0.7546666666666667,0.07733333333333334,False,,True
10,T52_S004__BASELINE,T52_S004,BASELINE,3,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.784,0.784,False,,False
10,T52_S004__BASELINE,T52_S004,BASELINE,4,Player,['Live Coal'],Live Coal,Ascension,0.684,0.09333333333333334,False,,True
10,T52_S004__BASELINE,T52_S004,BASELINE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.8493333333333334,0.8493333333333334,False,,False
10,T52_S004__BASELINE,T52_S004,BASELINE,6,Player,['Live Coal'],Live Coal,Ascension,0.5186666666666667,0.08266666666666667,False,,True
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,5,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.788,0.788,False,,False
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,6,Player,['Live Coal'],Live Coal,Ascension,0.5933333333333334,0.06933333333333333,False,,True
11,T52_S004__HP_PRESSURE,T52_S004,HP_PRESSURE,7,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,0.896,0.896,False,,False
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,3,Opponent,['Ascension'],Ascension,Ascension,0.8813333333333333,0.8813333333333333,False,,False
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,4,Player,['Live Coal'],Live Coal,Ascension,0.8,0.07733333333333334,False,,True
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,5,Opponent,['Ascension'],Ascension,Ascension,0.86,0.86,False,,False
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,6,Player,['Live Coal'],Live Coal,Ascension,0.7413333333333333,0.09466666666666666,False,,True
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,7,Opponent,['Ascension'],Ascension,Ascension,0.7533333333333333,0.7533333333333333,False,,False
12,T52_S004__ENERGY_PRESSURE,T52_S004,ENERGY_PRESSURE,8,Player,['Live Coal'],Live Coal,Ascension,0.6333333333333333,0.11066666666666666,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,1,Player,['Tuck Tail'],Tuck Tail,Ascension,0.62,0.029333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,2,Opponent,['Bind Down'],Bind Down,Ascension,0.804,0.0013333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,3,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7586666666666667,0.036,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,4,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,5,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7573333333333333,0.036,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,6,Opponent,['Bind Down'],Bind Down,Ascension,0.756,0.0013333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,7,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6626666666666666,0.058666666666666666,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,8,Opponent,['Bind Down'],Bind Down,Ascension,0.6773333333333333,0.0013333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,9,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6293333333333333,0.050666666666666665,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,10,Opponent,['Bind Down'],Bind Down,Ascension,0.652,0.0013333333333333333,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,11,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6306666666666667,0.05466666666666667,False,,True
13,T52_S005__BASELINE,T52_S005,BASELINE,12,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,5,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7586666666666667,0.036,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,6,Opponent,['Bind Down'],Bind Down,Ascension,0.728,0.0013333333333333333,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,7,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6546666666666666,0.058666666666666666,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,8,Opponent,['Bind Down'],Bind Down,Ascension,0.6706666666666666,0.0013333333333333333,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,9,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6306666666666667,0.05466666666666667,False,,True
14,T52_S005__HP_PRESSURE,T52_S005,HP_PRESSURE,10,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,3,Player,['Tuck Tail'],Tuck Tail,Ascension,0.5653333333333334,0.032,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,4,Opponent,['Pass'],Pass,Ascension,0.592,0.24133333333333334,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,5,Player,['Tuck Tail'],Tuck Tail,Ascension,0.5706666666666667,0.032,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,6,Opponent,['Pass'],Pass,Ascension,0.5626666666666666,0.24,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,7,Player,['Tuck Tail'],Tuck Tail,Ascension,0.5,0.05466666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,8,Opponent,['Pass'],Pass,Ascension,0.5186666666666667,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,9,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,10,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,11,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,12,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,13,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,14,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,15,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,16,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,17,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,18,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,19,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,20,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,21,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,22,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,23,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,24,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,25,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,26,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,27,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,28,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,29,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,30,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,31,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
15,T52_S005__ENERGY_PRESSURE,T52_S005,ENERGY_PRESSURE,32,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,1,Opponent,['Bind Down'],Bind Down,Ascension,0.648,0.0,True,All matching legal actions had zero policy probability.,True
16,T52_S006__BASELINE,T52_S006,BASELINE,2,Player,['Tuck Tail'],Tuck Tail,Ascension,0.764,0.036,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,3,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,4,Player,['Tuck Tail'],Tuck Tail,Ascension,0.7586666666666667,0.036,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,5,Opponent,['Bind Down'],Bind Down,Ascension,0.7893333333333333,0.0013333333333333333,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,6,Player,['Tuck Tail'],Tuck Tail,Ascension,0.704,0.03866666666666667,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,7,Opponent,['Bind Down'],Bind Down,Ascension,0.684,0.0013333333333333333,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,8,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6466666666666666,0.058666666666666666,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,9,Opponent,['Bind Down'],Bind Down,Ascension,0.652,0.0013333333333333333,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,10,Player,['Tuck Tail'],Tuck Tail,Ascension,0.6306666666666667,0.05466666666666667,False,,True
16,T52_S006__BASELINE,T52_S006,BASELINE,11,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,,True
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,5,Opponent,['Bind Down'],Bind Down,Ascension,0.7866666666666666,0.0013333333333333333,False,,True
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,6,Player,['Tuck Tail'],Tuck Tail,Ascension,0.696,0.03866666666666667,False,,True
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,7,Opponent,['Bind Down'],Bind Down,Ascension,0.676,0.0013333333333333333,False,,True
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,8,Player,['Tuck Tail'],Tuck Tail,Ascension,0.648,0.06266666666666666,False,,True
17,T52_S006__HP_PRESSURE,T52_S006,HP_PRESSURE,9,Opponent,['Bind Down'],Bind Down,Ascension,0.6533333333333333,0.0013333333333333333,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,3,Opponent,['Pass'],Pass,Ascension,0.588,0.24666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,4,Player,['Tuck Tail'],Tuck Tail,Ascension,0.5706666666666667,0.032,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,5,Opponent,['Pass'],Pass,Ascension,0.592,0.24133333333333334,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,6,Player,['Tuck Tail'],Tuck Tail,Ascension,0.5386666666666666,0.034666666666666665,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,7,Opponent,['Pass'],Pass,Ascension,0.5226666666666666,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,8,Player,['Tuck Tail'],Tuck Tail,Ascension,0.49333333333333335,0.05466666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,9,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,10,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,11,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,12,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,13,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,14,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,15,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,16,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,17,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,18,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,19,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,20,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,21,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,22,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,23,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,24,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,25,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,26,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,27,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,28,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,29,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,30,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,31,Opponent,['Pass'],Pass,Ascension,0.5013333333333333,0.236,False,,True
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,32,Player,['Tuck Tail'],Tuck Tail,Ascension,0.476,0.04666666666666667,False,,True
19,T52_S007__BASELINE,T52_S007,BASELINE,9,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,1.0,1.0,False,,False
20,T52_S007__HP_PRESSURE,T52_S007,HP_PRESSURE,13,Opponent,"['Ascension', 'Quick Attack']",Quick Attack,Quick Attack,1.0,1.0,False,,False
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,11,Opponent,['Ascension'],Ascension,Ascension,0.552,0.552,False,,False
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,12,Player,['Bind Down'],Bind Down,Ascension,0.4666666666666667,0.112,False,,True
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,13,Opponent,['Ascension'],Ascension,Ascension,0.536,0.536,False,,False
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,14,Player,['Bind Down'],Bind Down,Ascension,0.452,0.112,False,,True
