battle_number,scenario_id,base_scenario_id,condition_id,record_number,turn_number,acting_side,pokemon_name,move_name,damage,score,player_hp_after,opponent_hp_after,next_side
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,10,12,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,11,13,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,12,14,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,13,15,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,14,16,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,15,17,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,16,18,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,17,19,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,18,20,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,19,21,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,20,22,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,21,23,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,22,24,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,23,25,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,24,26,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,25,27,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,26,28,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,27,29,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,28,30,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,29,31,Opponent,Bulbasaur,Pass,0.0,0.5013333333333333,60.0,80.0,Player
18,T52_S006__ENERGY_PRESSURE,T52_S006,ENERGY_PRESSURE,30,32,Player,Meowth,Tuck Tail,0.0,0.476,60.0,80.0,Opponent
19,T52_S007__BASELINE,T52_S007,BASELINE,1,9,Opponent,Eevee,Quick Attack,20.0,1.0,0.0,20.0,Player
20,T52_S007__HP_PRESSURE,T52_S007,HP_PRESSURE,1,13,Opponent,Eevee,Quick Attack,20.0,1.0,0.0,20.0,Player
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,1,11,Opponent,Eevee,Ascension,0.0,0.552,20.0,20.0,Player
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,2,12,Player,Bulbasaur,Bind Down,10.0,0.4666666666666667,20.0,10.0,Opponent
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,3,13,Opponent,Eevee,Ascension,0.0,0.536,20.0,10.0,Player
21,T52_S007__ENERGY_PRESSURE,T52_S007,ENERGY_PRESSURE,4,14,Player,Bulbasaur,Bind Down,10.0,0.452,20.0,0.0,Opponent
22,T52_S008__BASELINE,T52_S008,BASELINE,1,2,Player,Eevee,Ascension,0.0,0.9893333333333333,50.0,80.0,Opponent
22,T52_S008__BASELINE,T52_S008,BASELINE,2,3,Opponent,Charmander,Live Coal,20.0,0.9453333333333334,30.0,80.0,Player
22,T52_S008__BASELINE,T52_S008,BASELINE,3,4,Player,Eevee,Ascension,0.0,0.9786666666666667,30.0,80.0,Opponent
22,T52_S008__BASELINE,T52_S008,BASELINE,4,5,Opponent,Charmander,Live Coal,20.0,0.9386666666666666,10.0,80.0,Player
22,T52_S008__BASELINE,T52_S008,BASELINE,5,6,Player,Eevee,Ascension,0.0,0.864,10.0,80.0,Opponent
22,T52_S008__BASELINE,T52_S008,BASELINE,6,7,Opponent,Charmander,Live Coal,20.0,0.8066666666666666,0.0,80.0,Player
23,T52_S008__HP_PRESSURE,T52_S008,HP_PRESSURE,1,6,Player,Eevee,Ascension,0.0,0.928,25.0,80.0,Opponent
