comparison_case_id,quick_attack_absolute_difference,ascension_absolute_difference,prediction_agreement
4WE_PAIR_004_V04__PLAYER,0.16200000000000003,0.092,True
4WE_PAIR_005_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_005_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_005_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_005_V02__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_005_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_005_V03__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_005_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_005_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_006_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_006_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_006_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_006_V02__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_006_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_006_V03__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_006_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_006_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_007_V01__OPPONENT,0.15600000000000003,0.088,True
4WE_PAIR_007_V01__PLAYER,0.15600000000000003,0.086,True
4WE_PAIR_007_V02__OPPONENT,0.132,0.062,True
4WE_PAIR_007_V02__PLAYER,0.132,0.06,True
4WE_PAIR_007_V03__OPPONENT,0.132,0.062,True
4WE_PAIR_007_V03__PLAYER,0.132,0.06,True
4WE_PAIR_007_V04__OPPONENT,0.15600000000000003,0.088,True
4WE_PAIR_007_V04__PLAYER,0.15600000000000003,0.086,True
4WE_PAIR_008_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_008_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_008_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_008_V02__PLAYER,0.136,0.064,True
4WE_PAIR_008_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_008_V03__PLAYER,0.136,0.064,True
4WE_PAIR_008_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_008_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_009_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_009_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_009_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_009_V02__PLAYER,0.136,0.064,True
4WE_PAIR_009_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_009_V03__PLAYER,0.136,0.064,True
4WE_PAIR_009_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_009_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_010_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_010_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_010_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_010_V02__PLAYER,0.136,0.064,True
4WE_PAIR_010_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_010_V03__PLAYER,0.136,0.064,True
4WE_PAIR_010_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_010_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_011_V01__OPPONENT,0.16599999999999993,0.104,True
4WE_PAIR_011_V01__PLAYER,0.16599999999999993,0.10200000000000001,True
4WE_PAIR_011_V02__OPPONENT,0.126,0.06600000000000002,True
4WE_PAIR_011_V02__PLAYER,0.126,0.066,True
4WE_PAIR_011_V03__OPPONENT,0.126,0.06600000000000002,True
4WE_PAIR_011_V03__PLAYER,0.126,0.066,True
4WE_PAIR_011_V04__OPPONENT,0.16599999999999993,0.104,True
4WE_PAIR_011_V04__PLAYER,0.16599999999999993,0.10200000000000001,True
4WE_PAIR_012_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_012_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_012_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_012_V02__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_012_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_012_V03__PLAYER,0.132,0.07200000000000001,True
4WE_PAIR_012_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_012_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_013_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_013_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_013_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_013_V02__PLAYER,0.136,0.064,True
4WE_PAIR_013_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_013_V03__PLAYER,0.136,0.064,True
4WE_PAIR_013_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_013_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_014_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_014_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_014_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_014_V02__PLAYER,0.136,0.064,True
4WE_PAIR_014_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_014_V03__PLAYER,0.136,0.064,True
4WE_PAIR_014_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_014_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_015_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_015_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_015_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_015_V02__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_015_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_015_V03__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_015_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_015_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_016_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_016_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_016_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_016_V02__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_016_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_016_V03__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_016_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_016_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_017_V01__OPPONENT,0.15600000000000003,0.088,True
4WE_PAIR_017_V01__PLAYER,0.15600000000000003,0.086,True
4WE_PAIR_017_V02__OPPONENT,0.132,0.062,True
4WE_PAIR_017_V02__PLAYER,0.132,0.06,True
4WE_PAIR_017_V03__OPPONENT,0.132,0.062,True
4WE_PAIR_017_V03__PLAYER,0.132,0.06,True
4WE_PAIR_017_V04__OPPONENT,0.15600000000000003,0.088,True
4WE_PAIR_017_V04__PLAYER,0.15600000000000003,0.086,True
4WE_PAIR_018_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_018_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_018_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_018_V02__PLAYER,0.136,0.064,True
4WE_PAIR_018_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_018_V03__PLAYER,0.136,0.064,True
4WE_PAIR_018_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_018_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_019_V01__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_019_V01__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_019_V02__OPPONENT,0.136,0.066,True
4WE_PAIR_019_V02__PLAYER,0.136,0.064,True
4WE_PAIR_019_V03__OPPONENT,0.136,0.066,True
4WE_PAIR_019_V03__PLAYER,0.136,0.064,True
4WE_PAIR_019_V04__OPPONENT,0.16000000000000003,0.092,True
4WE_PAIR_019_V04__PLAYER,0.16000000000000003,0.09,True
4WE_PAIR_020_V01__OPPONENT,0.16599999999999993,0.104,True
4WE_PAIR_020_V01__PLAYER,0.16599999999999993,0.102,True
4WE_PAIR_020_V02__OPPONENT,0.126,0.06599999999999999,True
4WE_PAIR_020_V02__PLAYER,0.126,0.066,True
4WE_PAIR_020_V03__OPPONENT,0.126,0.06599999999999999,True
4WE_PAIR_020_V03__PLAYER,0.126,0.066,True
4WE_PAIR_020_V04__OPPONENT,0.16599999999999993,0.104,True
4WE_PAIR_020_V04__PLAYER,0.16599999999999993,0.102,True
4WE_PAIR_021_V01__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_021_V01__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_021_V02__OPPONENT,0.132,0.072,True
4WE_PAIR_021_V02__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_021_V03__OPPONENT,0.132,0.072,True
4WE_PAIR_021_V03__PLAYER,0.132,0.07199999999999998,True
4WE_PAIR_021_V04__OPPONENT,0.17199999999999993,0.11,True
4WE_PAIR_021_V04__PLAYER,0.17199999999999993,0.108,True
4WE_PAIR_022_V01__OPPONENT,0.16599999999999993,0.10400000000000001,True
4WE_PAIR_022_V01__PLAYER,0.16599999999999993,0.10200000000000001,True
4WE_PAIR_022_V02__OPPONENT,0.126,0.068,True
4WE_PAIR_022_V02__PLAYER,0.126,0.066,True
4WE_PAIR_022_V03__OPPONENT,0.126,0.068,True
4WE_PAIR_022_V03__PLAYER,0.126,0.066,True
4WE_PAIR_022_V04__OPPONENT,0.16599999999999993,0.10400000000000001,True
4WE_PAIR_022_V04__PLAYER,0.16599999999999993,0.10200000000000001,True
4WE_PAIR_023_V01__OPPONENT,0.16599999999999993,0.10400000000000001,True
4WE_PAIR_023_V01__PLAYER,0.16599999999999993,0.10200000000000001,True
4WE_PAIR_023_V02__OPPONENT,0.126,0.068,True
4WE_PAIR_023_V02__PLAYER,0.126,0.066,True
4WE_PAIR_023_V03__OPPONENT,0.126,0.068,True
4WE_PAIR_023_V03__PLAYER,0.126,0.066,True
4WE_PAIR_023_V04__OPPONENT,0.16599999999999993,0.10400000000000001,True
4WE_PAIR_023_V04__PLAYER,0.16599999999999993,0.10200000000000001,True
