comparison_case_id,source_scenario_id,evaluation_side,feature_name,reconstructed_value,saved_value
4WE_PAIR_001_V01__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V04__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_002_V04__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V01__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V01__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V02__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V02__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V03__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V03__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V04__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_003_V04__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V01__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V01__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V02__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V02__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V03__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V03__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V04__OPPONENT,T52_S001__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_004_V04__PLAYER,T52_S001__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V01__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V01__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V02__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V02__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V03__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V03__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V04__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_005_V04__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V01__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V01__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V02__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V02__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V03__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V03__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V04__OPPONENT,T52_S001__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_006_V04__PLAYER,T52_S001__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V01__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V01__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V02__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V02__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V03__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V03__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V04__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_007_V04__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V01__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V01__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V02__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V02__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V03__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V03__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V04__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_008_V04__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V01__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V01__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V02__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V02__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V03__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V03__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V04__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_009_V04__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V01__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V01__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V02__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V02__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V03__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V03__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V04__OPPONENT,T52_S002__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_010_V04__PLAYER,T52_S002__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V01__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V01__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V02__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V02__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V03__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V03__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V04__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_011_V04__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V01__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V01__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V02__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V02__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V03__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V03__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V04__OPPONENT,T52_S002__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_012_V04__PLAYER,T52_S002__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V01__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V01__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V02__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V02__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V03__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V03__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V04__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_013_V04__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V01__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V01__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V02__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V02__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V03__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V03__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V04__OPPONENT,T52_S003__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_014_V04__PLAYER,T52_S003__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V01__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V01__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V02__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V02__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V03__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V03__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V04__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_015_V04__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V01__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V01__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V02__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V02__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V03__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V03__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V04__OPPONENT,T52_S003__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_016_V04__PLAYER,T52_S003__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V01__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V01__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V02__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V02__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V03__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V03__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V04__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_017_V04__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V01__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V01__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V02__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V02__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V03__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V03__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V04__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_018_V04__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V01__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V01__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V02__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V02__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V03__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V03__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V04__OPPONENT,T52_S004__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_019_V04__PLAYER,T52_S004__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V01__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V01__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V02__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V02__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V03__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V03__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V04__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_020_V04__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V01__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V01__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V02__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V02__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V03__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V03__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V04__OPPONENT,T52_S004__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_021_V04__PLAYER,T52_S004__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V01__OPPONENT,T52_S007__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V01__PLAYER,T52_S007__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V02__OPPONENT,T52_S007__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V02__PLAYER,T52_S007__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V03__OPPONENT,T52_S007__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V03__PLAYER,T52_S007__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V04__OPPONENT,T52_S007__BASELINE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_022_V04__PLAYER,T52_S007__BASELINE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V01__OPPONENT,T52_S007__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V01__PLAYER,T52_S007__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V02__OPPONENT,T52_S007__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V02__PLAYER,T52_S007__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V03__OPPONENT,T52_S007__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V03__PLAYER,T52_S007__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V04__OPPONENT,T52_S007__HP_PRESSURE,Opponent,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
4WE_PAIR_023_V04__PLAYER,T52_S007__HP_PRESSURE,Player,legal_move_signature,ascension | quick attack,Ascension | Quick Attack
