comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match,maximum_probability_difference,mean_probability_difference,l1_probability_difference,global_rank
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,25
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,26
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,27
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,28
4WE_PAIR_004_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,29
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,30
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,31
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,32
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,33
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,34
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,35
4WE_PAIR_003_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,36
4WE_PAIR_003_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,37
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,38
4WE_PAIR_010_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,39
4WE_PAIR_010_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,40
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,41
4WE_PAIR_004_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,42
4WE_PAIR_004_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,43
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,44
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True,0.15000000000000002,0.05200000000000001,0.31200000000000006,45
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True,0.15000000000000002,0.05200000000000001,0.31200000000000006,46
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14800000000000002,0.05133333333333334,0.30800000000000005,47
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14800000000000002,0.05133333333333334,0.30800000000000005,48
4WE_PAIR_007_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05133333333333334,0.30800000000000005,49
4WE_PAIR_017_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05133333333333334,0.30800000000000005,50
4WE_PAIR_007_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05066666666666667,0.30400000000000005,51
4WE_PAIR_017_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05066666666666667,0.30400000000000005,52
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,53
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,54
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,55
4WE_PAIR_016_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12400000000000001,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.12400000000000001,0.04133333333333333,0.248,56
4WE_PAIR_020_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.124,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.124,0.04133333333333333,0.248,57
4WE_PAIR_015_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True,0.12200000000000001,0.04066666666666666,0.244,58
4WE_PAIR_021_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True,0.12200000000000001,0.04066666666666666,0.244,59
4WE_PAIR_005_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,60
4WE_PAIR_006_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,61
4WE_PAIR_012_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,62
4WE_PAIR_015_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,63
4WE_PAIR_016_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,64
4WE_PAIR_021_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,65
4WE_PAIR_001_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,66
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,67
4WE_PAIR_002_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,68
4WE_PAIR_002_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,69
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,70
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,71
4WE_PAIR_009_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,72
4WE_PAIR_009_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,73
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,74
4WE_PAIR_013_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,75
4WE_PAIR_014_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,76
4WE_PAIR_014_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,77
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,78
4WE_PAIR_018_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,79
4WE_PAIR_019_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,80
4WE_PAIR_019_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,81
4WE_PAIR_020_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.118,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.118,0.03933333333333333,0.236,82
4WE_PAIR_006_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.116,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.116,0.03866666666666666,0.23199999999999998,83
4WE_PAIR_007_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.11599999999999999,0.04133333333333333,0.248,84
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,85
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,86
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,87
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,88
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,89
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,90
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,91
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,92
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,93
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,94
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,95
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,96
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,97
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,98
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,99
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,100
4WE_PAIR_011_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,101
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,102
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,103
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,104
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,105
4WE_PAIR_004_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666666,0.23199999999999998,106
4WE_PAIR_004_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.11400000000000002,0.038,0.22799999999999998,107
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.03800000000000001,0.2280000000000001,Quick Attack,Quick Attack,True,0.114,0.03800000000000001,0.2280000000000001,108
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.114,0.038,0.22799999999999998,109
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.114,0.038,0.22799999999999998,110
4WE_PAIR_005_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.114,0.038,0.22799999999999998,111
4WE_PAIR_012_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.114,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.114,0.038,0.22799999999999998,112
4WE_PAIR_017_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.04066666666666666,0.244,Quick Attack,Quick Attack,True,0.11399999999999999,0.04066666666666666,0.244,113
4WE_PAIR_003_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.03866666666666666,0.23199999999999996,Quick Attack,Quick Attack,True,0.11399999999999999,0.03866666666666666,0.23199999999999996,114
4WE_PAIR_010_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.03866666666666666,0.23199999999999996,Quick Attack,Quick Attack,True,0.11399999999999999,0.03866666666666666,0.23199999999999996,115
4WE_PAIR_003_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.11399999999999999,0.038,0.22799999999999998,116
4WE_PAIR_010_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.11399999999999999,0.038,0.22799999999999998,117
4WE_PAIR_022_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.11399999999999999,0.038,0.22799999999999998,118
4WE_PAIR_022_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11399999999999999,0.038,0.22799999999999998,Quick Attack,Quick Attack,True,0.11399999999999999,0.038,0.22799999999999998,119
4WE_PAIR_007_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.228,Quick Attack,Quick Attack,True,0.11200000000000002,0.038,0.228,120
4WE_PAIR_017_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11200000000000002,0.038,0.228,Quick Attack,Quick Attack,True,0.11200000000000002,0.038,0.228,121
