feature_name,R0,R1,R2,R3,strategies_retained,mean_importance_all_models,mean_importance_when_retained,maximum_importance,minimum_retained_importance,importance_range_when_retained,feature_type,base_feature,cross_strategy_rank
categorical__active_card_Eevee,0.010387669879507785,0.015594930543991631,0.02224472523800183,0.03594467843321539,4,0.021043001023679158,0.021043001023679158,0.03594467843321539,0.010387669879507785,0.025557008553707603,categorical,active_card_Eevee,29
numeric__player_damage,0.012877161080213584,0.017646091621184468,0.019515166150121662,0.030931890138602716,4,0.02024257724753061,0.02024257724753061,0.030931890138602716,0.012877161080213584,0.018054729058389132,numeric,player_damage,30
numeric__acting_energy,0.012824873033617432,0.021461949876440466,0.015572534329332446,0.019481321908528935,4,0.01733516978697982,0.01733516978697982,0.021461949876440466,0.012824873033617432,0.008637076842823034,numeric,acting_energy,31
numeric__turn_number,0.006311689883094547,0.01769727609030641,0.015709813488297895,0.026197338736102638,4,0.016479029549450373,0.016479029549450373,0.026197338736102638,0.006311689883094547,0.01988564885300809,numeric,turn_number,32
categorical__player_card_Bulbasaur,0.006800404505808597,0.008741451794383332,0.017312701774389917,0.03024015848125746,4,0.01577367913895983,0.01577367913895983,0.03024015848125746,0.006800404505808597,0.023439753975448865,categorical,player_card_Bulbasaur,33
numeric__hand_size,0.007001490321288065,0.012614558344730247,0.013140486901955045,0.025160347631059867,4,0.014479220799758306,0.014479220799758306,0.025160347631059867,0.007001490321288065,0.018158857309771802,numeric,hand_size,34
numeric__opponent_energy,0.00914249325314893,0.011502573916167344,0.013358641666392126,0.021486661074302617,4,0.013872592477502754,0.013872592477502754,0.021486661074302617,0.00914249325314893,0.012344167821153686,numeric,opponent_energy,35
numeric__defending_damage,0.007000276011686795,0.010548337467120108,0.014530043245445462,0.02301610524625142,4,0.013773690492625945,0.013773690492625945,0.02301610524625142,0.007000276011686795,0.016015829234564627,numeric,defending_damage,36
numeric__defending_energy,0.0059299044397129064,0.011750601597740704,0.01287224830251158,0.02360134971317429,4,0.01353852601328487,0.01353852601328487,0.02360134971317429,0.0059299044397129064,0.017671445273461386,numeric,defending_energy,37
numeric__active_card_can_use__quick_attack,0.009477987997493992,0.016326408488913906,0.0,0.0,2,0.006451099121601975,0.01290219824320395,0.016326408488913906,0.009477987997493992,0.006848420491419914,numeric,active_card_can_use__quick_attack,38
categorical__energy_band_LOW,0.006843447273126755,0.011524882600921669,0.011702726085083067,0.019717663488655262,4,0.012447179861946687,0.012447179861946687,0.019717663488655262,0.006843447273126755,0.012874216215528507,categorical,energy_band_LOW,39
categorical__active_card_Meowth,0.007925693274709126,0.008467705716619216,0.01311734756443873,0.019582793681815015,4,0.012273385059395521,0.012273385059395521,0.019582793681815015,0.007925693274709126,0.011657100407105889,categorical,active_card_Meowth,40
numeric__player_energy,0.006211947941157503,0.010243946878303777,0.011563141080689971,0.02008423120133379,4,0.012025816775371262,0.012025816775371262,0.02008423120133379,0.006211947941157503,0.013872283260176288,numeric,player_energy,41
categorical__energy_band_ZERO,0.006180617618801085,0.007619873889572012,0.011867128301918965,0.01957893197048806,4,0.01131163794519503,0.01131163794519503,0.01957893197048806,0.006180617618801085,0.013398314351686973,categorical,energy_band_ZERO,42
numeric__active_card_can_use__ascension,0.010588879553898967,0.010669451720269577,0.0,0.0,2,0.005314582818542136,0.010629165637084272,0.010669451720269577,0.010588879553898967,8.057216637060924e-05,numeric,active_card_can_use__ascension,43
categorical__energy_band_READY,0.008131806014026412,0.015239687036149707,0.008465844417723004,0.009723053548353311,4,0.010390097754063108,0.010390097754063108,0.015239687036149707,0.008131806014026412,0.0071078810221232944,categorical,energy_band_READY,44
categorical__player_card_Meowth,0.004670039928174495,0.006230145132352078,0.008800780280100107,0.016891461531684488,4,0.009148106718077791,0.009148106718077791,0.016891461531684488,0.004670039928174495,0.012221421603509993,categorical,player_card_Meowth,45
numeric__active_card_can_use__tuck_tail,0.0068625222977905945,0.010683423839638058,0.0,0.0,2,0.004386486534357163,0.008772973068714326,0.010683423839638058,0.0068625222977905945,0.0038209015418474634,numeric,active_card_can_use__tuck_tail,46
numeric__prize_cards_remaining,0.004122921991834085,0.008401505803080139,0.005255394024740589,0.00800912099519224,4,0.006447235703711763,0.006447235703711763,0.008401505803080139,0.004122921991834085,0.004278583811246054,numeric,prize_cards_remaining,47
numeric__opponent_damage,0.005098140234767254,0.004173185161997974,0.004130139217494146,0.010279938674264228,4,0.005920350822130901,0.005920350822130901,0.010279938674264228,0.004130139217494146,0.006149799456770083,numeric,opponent_damage,48
categorical__player_card_Charmander,0.0002549876145624082,0.0028103071175487123,0.003548884649595696,0.010155091874263273,4,0.004192317813992522,0.004192317813992522,0.010155091874263273,0.0002549876145624082,0.009900104259700865,categorical,player_card_Charmander,49
categorical__current_side_Player,0.002179479931220695,0.0023837665697433656,0.0037327089042817753,0.006674955828422275,4,0.0037427278084170277,0.0037427278084170277,0.006674955828422275,0.002179479931220695,0.00449547589720158,categorical,current_side_Player,50
categorical__current_side_Opponent,0.0008588810167124532,0.0016681710216639649,0.0032323135749926,0.00778789813375323,4,0.003386815936780562,0.003386815936780562,0.00778789813375323,0.0008588810167124532,0.006929017117040777,categorical,current_side_Opponent,51
categorical__battle_phase_LATE,0.001844377406287528,0.00222063800893887,0.001458819038362359,0.0029711646975973233,4,0.00212374978779652,0.00212374978779652,0.0029711646975973233,0.001458819038362359,0.0015123456592349644,categorical,battle_phase_LATE,52
categorical__player_card_Eevee,0.00033158482714277214,0.0013475250820409901,0.0008945917046901148,0.00576820538350287,4,0.0020854767493441867,0.0020854767493441867,0.00576820538350287,0.00033158482714277214,0.005436620556360098,categorical,player_card_Eevee,53
categorical__opponent_card_Eevee,0.0005881709964947218,0.0013026596488760357,0.00221950115183979,0.004111619339716495,4,0.0020554877842317606,0.0020554877842317606,0.004111619339716495,0.0005881709964947218,0.0035234483432217733,categorical,opponent_card_Eevee,54
categorical__opponent_card_Charmander,0.0001988565072085403,0.0011684919776087438,0.001224971132379785,0.004684287421832361,4,0.0018191517597573575,0.0018191517597573575,0.004684287421832361,0.0001988565072085403,0.004485430914623821,categorical,opponent_card_Charmander,55
numeric__absolute_energy_difference,0.0007873323087726295,0.000855054847521799,0.0017843733714784456,0.0031835729416457973,4,0.001652583367354668,0.001652583367354668,0.0031835729416457973,0.0007873323087726295,0.002396240632873168,numeric,absolute_energy_difference,56
categorical__damage_band_LOW_DAMAGE,0.0017095779342866514,0.0016535559472418632,0.0005088076037817745,0.001060381185578887,4,0.001233080667722294,0.001233080667722294,0.0017095779342866514,0.0005088076037817745,0.0012007703305048768,categorical,damage_band_LOW_DAMAGE,57
categorical__battle_phase_MID,0.0004373124053986601,0.0004855689334757369,0.001036848579699197,0.002721162293180329,4,0.0011702230529384808,0.0011702230529384808,0.002721162293180329,0.0004373124053986601,0.002283849887781669,categorical,battle_phase_MID,58
categorical__battle_phase_EARLY,0.000682090340665087,0.001625301939809459,0.000975121567155268,0.0010775613531257954,4,0.0010900188001889024,0.0010900188001889024,0.001625301939809459,0.000682090340665087,0.000943211599144372,categorical,battle_phase_EARLY,59
categorical__damage_band_MEDIUM_DAMAGE,0.0002923555711141322,0.0007697099446953278,0.0006134706411615327,0.001789204289739742,4,0.0008661851116776836,0.0008661851116776836,0.001789204289739742,0.0002923555711141322,0.0014968487186256098,categorical,damage_band_MEDIUM_DAMAGE,60
numeric__energy_difference,0.00014790090634880486,0.0006152663903096615,0.0005598100000726531,0.0009723191837532374,4,0.0005738241201210892,0.0005738241201210892,0.0009723191837532374,0.00014790090634880486,0.0008244182774044325,numeric,energy_difference,61
categorical__inactive_card_Bulbasaur,0.00010332103321040029,0.00021974248927044332,0.0003828350799687584,0.0012390883592140584,4,0.00048624674041591507,0.00048624674041591507,0.0012390883592140584,0.00010332103321040029,0.001135767326003658,categorical,inactive_card_Bulbasaur,62
categorical__inactive_card_Charmander,0.0001775809494743056,0.00011268699603089886,0.00035949995260155145,0.0010167427463013952,4,0.0004166276611020378,0.0004166276611020378,0.0010167427463013952,0.00011268699603089886,0.0009040557502704963,categorical,inactive_card_Charmander,63
categorical__inactive_card_Meowth,5.2559502627492256e-06,0.00011528213634393622,0.00010590434833253252,0.00010158602814727669,4,8.200711577162367e-05,8.200711577162367e-05,0.00011528213634393622,5.2559502627492256e-06,0.00011002618608118699,categorical,inactive_card_Meowth,64
