comparison_case_id,strategy_a,strategy_b,maximum_case_difference,mean_case_difference,l1_case_difference,prediction_a,prediction_b,predictions_match,maximum_probability_difference,mean_probability_difference,l1_probability_difference,global_rank,parsed_successfully,scenario_family,pair_number,case_variant,evaluation_side
4WE_PAIR_003_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,12,True,4WE,3,V03,OPPONENT
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,13,True,4WE,8,V03,OPPONENT
4WE_PAIR_010_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,14,True,4WE,10,V03,OPPONENT
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,15,True,4WE,13,V03,OPPONENT
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.164,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.164,0.05533333333333334,0.332,16,True,4WE,18,V03,OPPONENT
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.162,0.05533333333333334,0.332,17,True,4WE,1,V03,PLAYER
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05533333333333334,0.332,Quick Attack,Quick Attack,True,0.162,0.05533333333333334,0.332,18,True,4WE,8,V03,PLAYER
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,19,True,4WE,2,V02,OPPONENT
4WE_PAIR_003_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,20,True,4WE,3,V02,OPPONENT
4WE_PAIR_004_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,21,True,4WE,4,V03,OPPONENT
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,22,True,4WE,9,V02,OPPONENT
4WE_PAIR_010_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,23,True,4WE,10,V02,OPPONENT
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,24,True,4WE,14,V02,OPPONENT
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,25,True,4WE,14,V02,PLAYER
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,26,True,4WE,19,V02,OPPONENT
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.162,0.05466666666666667,0.328,Quick Attack,Quick Attack,True,0.162,0.05466666666666667,0.328,27,True,4WE,19,V02,PLAYER
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,28,True,4WE,1,V02,OPPONENT
4WE_PAIR_004_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,29,True,4WE,4,V02,OPPONENT
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,30,True,4WE,8,V02,OPPONENT
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,31,True,4WE,13,V02,OPPONENT
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,32,True,4WE,13,V02,PLAYER
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,33,True,4WE,18,V02,OPPONENT
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.16,0.054,0.324,Quick Attack,Quick Attack,True,0.16,0.054,0.324,34,True,4WE,18,V02,PLAYER
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,35,True,4WE,2,V02,PLAYER
4WE_PAIR_003_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,36,True,4WE,3,V02,PLAYER
4WE_PAIR_003_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,37,True,4WE,3,V03,PLAYER
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,38,True,4WE,9,V02,PLAYER
4WE_PAIR_010_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,39,True,4WE,10,V02,PLAYER
4WE_PAIR_010_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.158,0.054,0.324,Quick Attack,Quick Attack,True,0.158,0.054,0.324,40,True,4WE,10,V03,PLAYER
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,41,True,4WE,1,V02,PLAYER
4WE_PAIR_004_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,42,True,4WE,4,V02,PLAYER
4WE_PAIR_004_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,43,True,4WE,4,V03,PLAYER
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.156,0.05333333333333334,0.32,Quick Attack,Quick Attack,True,0.156,0.05333333333333334,0.32,44,True,4WE,8,V02,PLAYER
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True,0.15000000000000002,0.05200000000000001,0.31200000000000006,45,True,4WE,7,V03,PLAYER
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.15000000000000002,0.05200000000000001,0.31200000000000006,Quick Attack,Quick Attack,True,0.15000000000000002,0.05200000000000001,0.31200000000000006,46,True,4WE,17,V03,PLAYER
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14800000000000002,0.05133333333333334,0.30800000000000005,47,True,4WE,7,V03,OPPONENT
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14800000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14800000000000002,0.05133333333333334,0.30800000000000005,48,True,4WE,17,V03,OPPONENT
4WE_PAIR_007_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05133333333333334,0.30800000000000005,49,True,4WE,7,V02,OPPONENT
4WE_PAIR_017_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05133333333333334,0.30800000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05133333333333334,0.30800000000000005,50,True,4WE,17,V02,OPPONENT
4WE_PAIR_007_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05066666666666667,0.30400000000000005,51,True,4WE,7,V02,PLAYER
4WE_PAIR_017_V02__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.14600000000000002,0.05066666666666667,0.30400000000000005,Quick Attack,Quick Attack,True,0.14600000000000002,0.05066666666666667,0.30400000000000005,52,True,4WE,17,V02,PLAYER
4WE_PAIR_015_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,53,True,4WE,15,V03,OPPONENT
4WE_PAIR_016_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,54,True,4WE,16,V03,OPPONENT
4WE_PAIR_021_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.126,0.042,0.252,Quick Attack,Quick Attack,True,0.126,0.042,0.252,55,True,4WE,21,V03,OPPONENT
4WE_PAIR_016_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12400000000000001,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.12400000000000001,0.04133333333333333,0.248,56,True,4WE,16,V03,PLAYER
4WE_PAIR_020_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.124,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.124,0.04133333333333333,0.248,57,True,4WE,20,V03,PLAYER
4WE_PAIR_015_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True,0.12200000000000001,0.04066666666666666,0.244,58,True,4WE,15,V03,PLAYER
4WE_PAIR_021_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12200000000000001,0.04066666666666666,0.244,Quick Attack,Quick Attack,True,0.12200000000000001,0.04066666666666666,0.244,59,True,4WE,21,V03,PLAYER
4WE_PAIR_005_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,60,True,4WE,5,V03,OPPONENT
4WE_PAIR_006_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,61,True,4WE,6,V03,OPPONENT
4WE_PAIR_012_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.12000000000000001,0.04,0.24,Quick Attack,Quick Attack,True,0.12000000000000001,0.04,0.24,62,True,4WE,12,V03,OPPONENT
4WE_PAIR_015_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,63,True,4WE,15,V02,OPPONENT
4WE_PAIR_016_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,64,True,4WE,16,V02,OPPONENT
4WE_PAIR_021_V02__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11800000000000001,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.11800000000000001,0.03933333333333333,0.236,65,True,4WE,21,V02,OPPONENT
4WE_PAIR_001_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,66,True,4WE,1,V03,OPPONENT
4WE_PAIR_001_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,67,True,4WE,1,V03,PLAYER
4WE_PAIR_002_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,68,True,4WE,2,V03,OPPONENT
4WE_PAIR_002_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,69,True,4WE,2,V03,PLAYER
4WE_PAIR_008_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,70,True,4WE,8,V03,OPPONENT
4WE_PAIR_008_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,71,True,4WE,8,V03,PLAYER
4WE_PAIR_009_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,72,True,4WE,9,V03,OPPONENT
4WE_PAIR_009_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,73,True,4WE,9,V03,PLAYER
4WE_PAIR_013_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,74,True,4WE,13,V03,OPPONENT
4WE_PAIR_013_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,75,True,4WE,13,V03,PLAYER
4WE_PAIR_014_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,76,True,4WE,14,V03,OPPONENT
4WE_PAIR_014_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,77,True,4WE,14,V03,PLAYER
4WE_PAIR_018_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,78,True,4WE,18,V03,OPPONENT
4WE_PAIR_018_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,79,True,4WE,18,V03,PLAYER
4WE_PAIR_019_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,80,True,4WE,19,V03,OPPONENT
4WE_PAIR_019_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.118,0.039999999999999994,0.23999999999999996,Quick Attack,Quick Attack,True,0.118,0.039999999999999994,0.23999999999999996,81,True,4WE,19,V03,PLAYER
4WE_PAIR_020_V03__OPPONENT,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.118,0.03933333333333333,0.236,Quick Attack,Quick Attack,True,0.118,0.03933333333333333,0.236,82,True,4WE,20,V03,OPPONENT
4WE_PAIR_006_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.116,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.116,0.03866666666666666,0.23199999999999998,83,True,4WE,6,V03,PLAYER
4WE_PAIR_007_V04__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.04133333333333333,0.248,Quick Attack,Quick Attack,True,0.11599999999999999,0.04133333333333333,0.248,84,True,4WE,7,V04,PLAYER
4WE_PAIR_001_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,85,True,4WE,1,V02,PLAYER
4WE_PAIR_002_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,86,True,4WE,2,V02,PLAYER
4WE_PAIR_008_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,87,True,4WE,8,V02,PLAYER
4WE_PAIR_009_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,88,True,4WE,9,V02,PLAYER
4WE_PAIR_013_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,89,True,4WE,13,V02,PLAYER
4WE_PAIR_014_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,90,True,4WE,14,V02,PLAYER
4WE_PAIR_018_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,91,True,4WE,18,V02,PLAYER
4WE_PAIR_019_V02__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.039333333333333324,0.23599999999999996,Quick Attack,Quick Attack,True,0.11599999999999999,0.039333333333333324,0.23599999999999996,92,True,4WE,19,V02,PLAYER
4WE_PAIR_001_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,93,True,4WE,1,V02,OPPONENT
4WE_PAIR_002_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,94,True,4WE,2,V02,OPPONENT
4WE_PAIR_008_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,95,True,4WE,8,V02,OPPONENT
4WE_PAIR_009_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,96,True,4WE,9,V02,OPPONENT
4WE_PAIR_013_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,97,True,4WE,13,V02,OPPONENT
4WE_PAIR_014_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,98,True,4WE,14,V02,OPPONENT
4WE_PAIR_018_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,99,True,4WE,18,V02,OPPONENT
4WE_PAIR_019_V02__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,100,True,4WE,19,V02,OPPONENT
4WE_PAIR_011_V03__PLAYER,R0_CURRENT_BASELINE,R3_STATE_CENTRIC_POLICY,0.11599999999999999,0.03866666666666666,0.23199999999999998,Quick Attack,Quick Attack,True,0.11599999999999999,0.03866666666666666,0.23199999999999998,101,True,4WE,11,V03,PLAYER
4WE_PAIR_007_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,102,True,4WE,7,V03,OPPONENT
4WE_PAIR_007_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,103,True,4WE,7,V03,PLAYER
4WE_PAIR_017_V03__OPPONENT,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,104,True,4WE,17,V03,OPPONENT
4WE_PAIR_017_V03__PLAYER,R0_CURRENT_BASELINE,R1_REMOVE_LEGAL_SIGNATURE,0.11400000000000002,0.03866666666666667,0.232,Quick Attack,Quick Attack,True,0.11400000000000002,0.03866666666666667,0.232,105,True,4WE,17,V03,PLAYER
